Block,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17,NR/01102023/31102037/L_NR_2019_11,NR/01112023/30112023/HP-09,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/03112023/30112023/IEX-231101-05680,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,NR/01112023/30112023/HP-10,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,L_NR_2019_19,NR/01102023/31052040/LT-31,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/30042040/GNA_LT_36,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/02112023/15112023/D20231102NR21539,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2022_09,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,148.530000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,20,0,0,48.220000,2.310000,31.830000,20,144.68,0,0,26.040000

2,00:15-00:30,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,129.240000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,19.51,0,0,48.220000,2.310000,31.830000,19.51,144.68,0,0,26.040000

3,00:30-00:45,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,129.240000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,16.17,0,0,48.220000,2.310000,31.830000,16.17,144.68,0,0,26.040000

4,00:45-01:00,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,114.780000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,15.51,0,0,48.220000,2.310000,31.830000,15.51,144.68,0,0,26.040000

5,01:00-01:15,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,109.950000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,15.08,0,0,48.220000,2.310000,31.830000,15.08,144.68,0,0,26.040000

6,01:15-01:30,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,109.950000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,14.67,0,0,48.220000,2.310000,31.830000,14.67,144.68,0,0,25.080000

7,01:30-01:45,7.33,6.66,0,7.41,0.000000,0,0,2.000000,38.210000,109.950000,0.000000,48.220000,26.030000,0,7.34,93.470000,71.760000,62.690000,0,0.000000,22,0,149.190000,1.860000,26.030000,0,0,0,0.000000,48.220000,0,14.67,0,0,48.220000,2.310000,31.830000,14.67,144.68,0,0,25.080000

