Column1,Time,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,GNARE/SR/2025/01/13/4532,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/8964,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/8456,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8510,GNA/NR/2025/04/01/1333,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/9334,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/5285,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/7960,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,6.67,17.33,6,0,0,0,0,6.67,0,19.99,0,17.33,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,5.04,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.58,260.45

2,00:15-00:30,0,6.67,17.33,6,0,0,0,0,6.67,0,19.99,0,17.33,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,5.04,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.58,260.45

3,00:30-00:45,0,6.67,17.33,6,0,0,0,0,6.67,0,19.99,0,17.33,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,5.04,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.58,260.45

4,00:45-01:00,0,6.67,17.67,6,0,0,0,0,6.67,0,19.99,0,17.67,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,5.04,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.58,260.45

5,01:00-01:15,0,6.67,18,6,0,0,0,0,6.67,0,19.99,0,18,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,3.11,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.49,260.45

6,01:15-01:30,0,6.67,18,6,0,0,0,0,6.67,0,19.99,0,18,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.66,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.49,260.45

7,01:30-01:45,0,6.67,18.33,6,0,0,0,0,6.67,0,19.99,0,18.33,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.66,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.49,260.45

8,01:45-02:00,0,6.67,19,6,0,0,0,0,6.67,0,19.99,0,19,0,0,0,0,0,0,7,48.12,52.5,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.66,0,100.27,4.23,2.89,0,9.62,43.75,29.27,9.49,260.45

9,02:00-02:15,0,6.67,18,6,0,0,0,0,6.67,0,19.99,0,18,0,0,0,0,0,0,7,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.35,0,100.27,4.23,2.89,0,9.62,43.75,28.77,9.31,260.45

10,02:15-02:30,0,6.67,19.33,6,0,0,0,0,6.67,0,19.99,0,19.33,0,0,0,0,0,0,7,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.35,0,100.27,4.23,2.89,0,9.62,43.75,28.77,9.31,260.45

11,02:30-02:45,0,6.67,17.33,4,0,0,0,0,6.67,0,19.99,0,17.33,0,0,0,0,0,0,2.6,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.31,260.45

12,02:45-03:00,0,6.67,17.33,4,0,0,0,0,6.67,0,19.99,0,17.33,0,0,0,0,0,0,2.6,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.54,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.31,260.45

13,03:00-03:15,0,6.67,23.33,4,0,0,0,0,6.67,0,19.99,0,23.33,0,0,0,0,0,0,2.6,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.21,260.45

14,03:15-03:30,0,6.67,24,4,0,0,0,0,6.67,0,19.99,0,24,0,0,0,0,0,0,2.8,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.21,260.45

15,03:30-03:45,0,6.67,19.67,4,0,0,0,0,6.67,0,19.99,0,19.67,0,0,0,0,0,0,2.8,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.21,260.45

16,03:45-04:00,0,6.67,21,4,0,0,0,0,6.67,0,19.99,0,21,0,0,0,0,0,0,2.8,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.97,0,100.27,5.22,2.89,0,9.62,43.75,30.28,9.21,260.45

17,04:00-04:15,0,6.67,26.67,4,0,0,0,0,6.67,0,19.99,0,26.67,0,0,0,0,0,0,2.8,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.66,0,100.27,4.99,2.89,0,9.62,43.75,30.28,9.11,260.45

18,04:15-04:30,0,6.67,28.33,4,0,0,0,0,6.67,0,19.99,0,28.33,0,0,0,0,0,0,2.8,48.12,0,9.62,1.92,30.5,9.62,0,0,10.35,30.5,7.68,2.89,3.64,0,2.89,115.09,0,272.15,4.66,0,100.27,4.99,2.89,0,9.62,43.75,30.28,9.11,260.45

