Block,Time Block,DULHASTI,FSTPP I & II,CHAMERA1,CHAMERA3,BSIUL,CHAMERA2,DADRT2,DHAULIGNGA,BRBCL,DADRI_LF,ANTA_RF,ANTA_LF,AURY_LF,DADRI_GF,ANTA_GF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_CRF,AURY_CRF,AURY_RF,TEHRI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TANDA2,URI2,UNCHAHAR3,TALST2,TelanganaSTPP,TANAKPUR,UNCHAHAR2,URI,TALA,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,RAMPUR,RAPPB,RIHAND2,RIHAND1,SASAN,PARBATI3,RSTPSU1TO6,NTPL,RAPPC,RSTPSU7,SIMHST1,RIHAND3,SALAL,SEWA2,KOTESHWR,KKNP,KHSTPP-II,KKNPPU2,KUDGI,KOLDAM,KHSTPP-I,KISHANGANGA,MAPS,NNTPP,NLCTS2EXP,NLCIIST1,NJPC,NLCEXP,NAPP,NLCIIST2,JHAJJAR,KGSU3AND4,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,15.83,16.46,0,0,0,0,317.21,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,4.14,19.25,0,0,3.7,27.01,1.07,0,0,0,121.02,0,0,114.09,88.39,326.43,0,0,0,51.34,0,0,119.45,1.35,0,8.53,0,142.36,0,0,0,43.45,0,0,0,0,0,0,0,41.86,0,231.83,0,0,0,0,0,0,0

2,00:15-00:30,15.83,17.49,0,0,0,0,294.15,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,4.14,19.25,0,0,3.7,26.92,1.07,0,0,0,121.02,0,0,114.09,88.39,326.43,0,0,0,51.34,0,0,119.45,1.35,0,8.53,0,142.36,0,0,0,43.45,0,0,0,0,0,0,0,41.86,0,231.83,0,0,0,0,0,0,0

3,00:30-00:45,15.83,15.07,0,0,0,0,246.11,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,4.14,19.25,0,0,7.5,26.92,1.07,0,0,0,121.02,0,0,114.09,88.39,326.43,0,0,0,51.34,0,0,119.45,1.35,0,8.53,0,142.36,0,0,0,43.45,0,0,0,0,0,0,0,41.86,0,231.83,0,0,0,0,0,0,0

4,00:45-01:00,15.83,15.07,0,0,0,0,226.89,0,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,4.14,19.25,0,0,7.5,26.92,1.07,0,0,0,121.02,0,0,114.09,88.39,326.43,0,0,0,51.34,0,0,119.45,1.35,0,8.53,0,142.36,0,0,0,43.45,0,0,0,0,0,0,0,41.86,0,231.83,0,0,0,0,0,0,0

5,01:00-01:15,15.83,15.07,0,0,0,0,226.89,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,4.14,13.94,0,0,7.5,13.84,1.07,0,0,0,121.02,0,0,114.09,88.39,326.43,0,0,0,51.34,0,0,119.45,1.35,0,8.53,0,142.36,0,0,0,43.45,0,0,0,0,0,0,0,41.86,0,230.51,0,0,0,0,0,0,0

