Block,Time,KHSTPP-II,SASAN,TALA,BRBCL,KHSTPP-I,FSTPP I & II,NAPP,RAPPC,AURY_GF,KOLDAM,AURY_LF,DADRI_CRF,JHAJJAR,DADRI_GF,NJPC,TANAKPUR,UNCHAHAR4,SEWA2,ANTA_GF,CHAMERA3,KISHANGANGA,CHAMERA1,URI,ANTA_RF,ANTA_CRF,DULHASTI,ANTA_LF,URI2,KOTESHWR,DADRT2,CHAMERA2,AURY_CRF,SALAL,UNCHAHAR2,TEHRI,DADRI_RF,TANDA2,RIHAND2,SINGRAULI_HYDRO,DHAULIGNGA,RAMPUR,BSIUL,DADRI_LF,RIHAND1,AURY_RF,UNCHAHAR3,RIHAND3,UNCHAHAR1,SINGRAULI,RAPPB,PARBATI3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,95.437522,324.702788,0.000000,13.703106,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,439.211500,0.000000,173.717757,2.967718,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,26.707451,604.277800,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,133.079805,0.000000,35.347286,0,0,0,0,0

7,01:30-01:45,95.437522,324.702788,0.000000,14.612848,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,439.944645,0.000000,173.717757,2.967718,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,26.707451,556.348145,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,136.966633,0.000000,35.347286,0,0,0,0,0

8,01:45-02:00,95.437522,324.702788,0.000000,15.246168,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,439.944645,0.000000,173.717757,2.967718,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,26.707451,517.736145,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,140.212565,0.000000,35.347286,0,0,0,0,0

9,02:00-02:15,95.437522,324.702788,0.000000,15.100545,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,420.254166,0.000000,173.717757,9.768739,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,599.826647,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,143.776394,0.000000,35.347286,0,0,0,0,0

10,02:15-02:30,95.437522,324.702788,0.000000,14.894918,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,420.254166,0.000000,173.717757,9.768739,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,604.613145,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,144.149311,0.000000,35.347286,0,0,0,0,0

11,02:30-02:45,95.437522,324.702788,0.000000,12.746673,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,429.907166,0.000000,173.717757,2.967718,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,604.613145,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,144.149311,0.000000,35.347286,0,0,0,0,0

12,02:45-03:00,95.437522,324.702788,0.000000,13.286374,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,448.739011,0.000000,173.717757,2.967718,2.907001,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,604.613145,46.816884,0.000000,56.083930,43.268704,39.996511,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.637743,119.873657,21.822344,144.149311,0.000000,22.092054,0,0,0,0,0

13,03:00-03:15,95.437522,324.702788,0.000000,14.280154,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,371.989166,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,29.997384,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,22.092054,0,0,0,0,0

14,03:15-03:30,95.437522,324.702788,0.000000,14.845099,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,360.405566,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,29.997384,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,22.092054,0,0,0,0,0

15,03:30-03:45,95.437522,324.702788,0.000000,16.924869,42.772443,12.075903,47.661680,65.793651,0.000000,9.879916,0.000000,0.000000,327.585366,0.000000,173.717757,2.967718,2.887695,18.148236,0.000000,33.622609,5.367487,40.685542,31.970736,0.000000,0.000000,57.122017,0.000000,36.575718,18.917779,550.405179,46.816884,0.000000,56.083930,42.081385,29.997384,0.000000,4.909846,114.485449,1.174915,42.025433,6.511447,18.883585,0.000000,88.693019,0.000000,26.048910,119.873657,21.436224,134.908011,0.000000,7.364018,0,0,0,0,0

