Block,Time Block,JHAJJAR,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,TANAKPUR,TelanganaSTPP,UNCHAHAR3,TEHRI,URI2,URI,UNCHAHAR1,TANDA2,VALLURNTECL,UNCHAHAR4,UNCHAHAR2,FSTPP I & II,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DHAULIGNGA,DULHASTI,DADRT2,CHAMERA1,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,RAPPC,SIMHST2,TALA,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,RAPPB,RIHAND2,SASAN,TALST2,RIHAND1,NLCIIST2,NLCTS2EXP,NTPL,NNTPP,NLCIIST1,PARBATI3,RAMPUR,NJPC,MAPS,NAPP,NLCEXP,KOTESHWR,KUDGI,KOLDAM,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KHSTPP-I,KGSU1AND2,KKNPPU2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,247.78,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,13.94,0,4.39,34.99,11.53,0,0,0,11.11,17.79,0,0,1.8,19.21,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,12.27,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

2,00:15-00:30,247.78,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,13.94,0,18.08,34.99,11.53,0,0,0,11.11,17.79,0,0,1.8,17.89,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,1.34,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

3,00:30-00:45,247.78,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,13.94,0,18.08,2.65,11.53,0,0,0,11.11,17.79,0,0,1.8,16.26,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,1.34,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

4,00:45-01:00,247.78,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,13.94,0,18.08,1.38,11.53,0,0,0,11.11,17.79,0,0,1.8,14.99,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,1.34,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

5,01:00-01:15,247.78,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,13.94,0,18.08,1.38,11.53,0,0,0,11.11,15.02,0,0,1.8,13.93,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,1.34,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

6,01:15-01:30,247.78,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,13.94,0,18.08,1.38,11.53,0,0,0,11.11,15.02,0,0,1.8,10.56,0,3.7,278.52,0,0,0,0,51.31,0,0,0,134.15,1.34,0,119.4,0,114.06,264.71,0,88.36,0,0,0,0,0,0,0,0,0,41.23,0,8.52,0,0,0,94.95,0,0,43.43,0,0,0,0,0,0,0

