Block,Time,LT-36,L_NR_2012_04,L_NR_2019_11,L_NR_2020_02,L_NR_2023_04,L_NR_2012_02,L_NR_2012_01,LT-05,LT-31,LT-35,SH-06,LT-59,L_NR_2012_07,SH-07,L_NR_2019_07,L_NR_2022_09,L_NR_2023_07,L_NR_2023_10,L_NR_2021_17,L_NR_2020_06,L_NR_2018_61,L_NR_2020_07,L_NR_2019_19,L_NR_2019_05,L_NR_2022_08,L_NR_2021_16,L_NR_2021_12,L_NR_2022_10,L_NR_2020_05,L_NR_2021_13,L_NR_2021_15,L_NR_2019_06,L_NR_2021_14
1,00:00-00:15,0.000000,271.860000,4.840000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,30.930000,4.980000,74.120000,30.930000,0,16.01,0,0,0,6.67,14.53,6.66,0,0,6.67,0,0,16.01,20,0,0,0,0

2,00:15-00:30,0.000000,271.860000,4.840000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,30.930000,4.980000,74.120000,30.930000,0,15.95,0,0,0,6.67,15.04,6.66,0,0,6.67,0,0,15.95,20,0,0,0,0

3,00:30-00:45,0.000000,271.860000,4.840000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,23.360000,4.980000,74.120000,30.930000,0,15.34,0,0,0,6.67,15.71,6.66,0,0,6.67,0,0,15.34,20,0,0,0,0

4,00:45-01:00,0.000000,271.860000,4.840000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,23.360000,4.980000,74.120000,30.930000,0,15,0,0,0,6.67,16.55,6.66,0,0,6.67,0,0,15,20,0,0,0,0

5,01:00-01:15,0.000000,271.860000,4.770000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,23.360000,4.980000,74.120000,30.930000,0,15,0,0,0,6.67,17.43,6.66,0,0,6.67,0,0,15,20,0,0,0,0

6,01:15-01:30,0.000000,271.860000,4.770000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,23.360000,4.980000,74.120000,30.930000,0,15,0,0,0,6.67,18.09,6.66,0,0,6.67,0,0,15,20,0,0,0,0

7,01:30-01:45,0.000000,271.860000,4.770000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,23.360000,4.980000,74.120000,30.930000,0,15,0,0,0,6.67,23.85,6.66,0,0,6.67,0,0,15,20,0,0,0,0

8,01:45-02:00,0.000000,271.860000,4.770000,4.930000,27.780000,237.780000,101.250000,115.990000,0.000000,0.000000,25.540000,4.980000,74.120000,30.930000,0,15,0,0,0,7.5,23.81,7.5,0,0,6.67,0,0,15,22.5,0,0,0,0

9,02:00-02:15,0.000000,271.860000,4.770000,4.930000,28.790000,237.780000,101.250000,115.990000,0.000000,0.000000,25.540000,4.820000,74.120000,30.930000,0,19,0,0,0,7.5,23.74,7.5,0,0,6.67,0,0,19,22.5,0,0,0,0

10,02:15-02:30,0.000000,271.860000,4.770000,4.930000,28.790000,237.780000,101.250000,115.990000,0.000000,0.000000,25.540000,4.820000,74.120000,30.930000,0,19,0,0,0,7.5,24.22,7.5,0,0,6.67,0,0,19,22.5,0,0,0,0

