Column1,Time,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9252,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/2069,NR/01102023/06022042/L_NR_2012_07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/04/01/8964,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/01/9395,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,0,0,14.83,0,8.6,0,0,44.51,0,0,0,0,14.83,34.67,0,34.66,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,0,68.13,3.7,32,7.76,0,115.43,0,100.56,67.57,28.96,5.5,12.84,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,28.77

2,00:15-00:30,0,0,0,0,14,0,8,0,0,42,0,0,0,0,14,33.33,0,33.34,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,0,68.13,3.7,32,7.76,0,115.43,0,100.56,67.57,28.96,5.5,12.84,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,29.27

3,00:30-00:45,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,32.67,0,32.66,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,239.75,0,68.13,3.7,32,7.76,0,115.43,0,100.56,67.57,28.96,5.5,12.84,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,29.77

4,00:45-01:00,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,31,0,31,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,261.21,0,68.13,3.7,32,7.76,0,115.43,0,100.56,67.57,28.96,5.5,12.84,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,29.77

5,01:00-01:15,0,0,0,0,10,0,6.8,0,0,30,0,0,0,0,10,32.33,0,32.34,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,261.21,0,68.13,3.7,32,7.76,0,115.43,0,100.56,67.57,28.96,4.46,12.66,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,30.27

6,01:15-01:30,0,0,0,0,9.67,0,7.2,0,0,29,0,0,0,0,9.66,30.33,0,30.34,6.67,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,261.21,0,68.13,3.7,32,7.76,0,85.16,0,100.56,67.57,28.96,4.05,12.66,164.1,4.61,10.19,0,0,5.79,14.48,164.1,29.01,30.27

7,01:30-01:45,0,0,0,0,9.33,0,7.2,0,0,28,0,0,0,0,9.34,32.33,0,32.34,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,261.21,0,68.13,3.7,32,7.76,0,70.4,0,100.56,67.57,28.96,4.05,12.66,164.1,4.61,9.58,0,0,5.79,14.48,164.1,29.01,30.27

8,01:45-02:00,0,0,0,0,9.17,0,6.8,0,0,27.5,0,0,0,0,9.16,32,0,32,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,261.21,0,68.13,3.7,32,7.76,0,70.4,0,100.56,67.57,28.96,4.05,12.66,164.1,4.61,9.58,0,0,5.79,14.48,164.1,29.01,30.27

9,02:00-02:15,0,0,0,0,9,0,6.8,0,0,27,0,0,0,0,9,0,0,0,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,68.13,3.55,32,3.38,0,70.4,0,100.56,0,0,2.15,12.38,164.1,4.46,0.97,0,0,0,0,164.1,29.01,30.27

10,02:15-02:30,0,0,0,0,8.83,0,7,0,0,26.5,0,0,0,0,8.84,0,0,0,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,32,3.38,0,70.4,0,100.56,0,0,2.15,12.38,164.1,4.46,0.97,0,0,0,0,164.1,29.01,29.77

11,02:30-02:45,0,0,0,0,7,0,7,0,0,21,0,0,0,0,7,0,0,0,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,32,3.38,0,70.4,0,100.56,0,0,4.05,12.38,164.1,4.46,5.79,0,0,0,0,164.1,29.01,29.77

12,02:45-03:00,0,0,0,0,7,0,6.6,0,0,21,0,0,0,0,7,0,0,0,0,0,32,4.29,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,32,3.38,0,70.4,0,100.56,0,0,4.05,12.38,164.1,4.46,5.79,0,0,0,0,164.1,29.01,30.27

13,03:00-03:15,0,0,0,0,7,0,6.8,0,0,21,0,0,0,0,7,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,26.93,3.38,0,70.4,0,100.56,0,0,4.05,12.19,164.1,4.46,5.79,0,0,0,0,164.1,29.01,30.27

14,03:15-03:30,0,0,0,0,7,0,6.2,0,0,21,0,0,0,0,7,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,26.93,3.38,0,70.4,0,100.56,0,0,4.05,12.19,164.1,4.46,5.79,0,0,0,0,164.1,29.01,30.27

15,03:30-03:45,0,0,0,0,7,0,5.2,0,0,21,0,0,0,0,7,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,26.93,3.38,0,70.4,0,100.56,0,0,4.05,12.19,164.1,4.46,5.79,0,0,0,0,164.1,29.01,30.27

16,03:45-04:00,0,0,0,0,7,0,4.6,0,0,21,0,0,0,0,7,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.55,26.93,3.38,0,70.4,0,100.56,0,0,4.05,12.19,164.1,4.46,5.79,0,0,0,0,164.1,29.01,30.78

17,04:00-04:15,0,0,0,0,7,0,6.4,0,0,21,0,0,0,0,7,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.92,164.1,4.31,5.79,0,0,0,0,164.1,29.01,30.78

18,04:15-04:30,0,0,0,0,6.83,0,6.4,0,0,20.51,0,0,0,0,6.83,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.92,164.1,4.31,5.79,0,0,0,0,164.1,29.01,30.78

19,04:30-04:45,0,0,0,0,6.67,0,6.4,0,0,19.99,0,0,0,0,6.67,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.92,164.1,4.31,5.79,0,0,0,0,164.1,29.01,30.78

20,04:45-05:00,0,0,0,0,6.67,0,6.4,0,0,19.99,0,0,0,0,6.67,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.92,164.1,4.31,5.79,0,0,0,0,164.1,29.01,29.77

21,05:00-05:15,0,0,0,0,6.67,0,6.2,0,0,19.99,0,0,0,0,6.67,0,0,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.64,164.1,4.31,0.97,0,0,0,0,164.1,29.01,29.77

22,05:15-05:30,0,0,0,0,6.67,0,5.2,0,0,19.99,0,0,0,0,6.67,0,0.02,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,55.9,3.42,26.93,3.38,0,70.4,0,100.56,0,0,2.15,11.64,164.1,4.31,0.97,0,0,0,0,164.1,29.01,29.77

23,05:30-05:45,0,0,0,0,6.67,0,4.6,0,0,19.99,0,0,0,0,6.67,0,0.12,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,167.65,96.53,68.13,3.42,26.93,4.3,0,70.4,0,100.56,0,0,2.15,11.64,164.1,4.31,0.97,0,0,0,0,164.1,29.01,29.77

24,05:45-06:00,0,0,0,0,6.67,0.86,4.4,0,0,19.99,0,0,0,0,6.67,0,0.14,0,0,0,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,68.13,3.42,26.93,4.3,0,70.4,0,100.56,0,0,2.15,11.64,164.1,4.31,0.97,0,0,0,0,164.1,29.01,29.27

25,06:00-06:15,1,2.26,0,0,10,2.69,4,1,5.96,30,0,1,0.47,0,10,14,0.7,14,0,2.35,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,68.13,3.42,26.93,4.19,0,70.4,0,100.56,0,0,2.15,11.36,164.1,4.16,0.97,0,0,0,0,164.1,29.01,29.27

26,06:15-06:30,2,7.64,0,2,9.67,6.41,3.8,2,18.8,28.99,0,5,0.77,1,9.67,14,1.48,14,0,3.87,26.93,3.89,0,28.96,10.62,133.57,0,123.08,14.48,13.51,199.21,96.53,55.9,3.42,26.93,4.19,0,70.4,0,100.56,0,0,2.15,11.36,164.1,4.16,0.97,0,0,0,0,164.1,29.01,29.27

