Column1,Block,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/7739,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,NR/2024/24088/A/44234,NR/2024/24052/A/44181,NR/2024/24051/A/44182,WR/2024/25054/A/44287,NR/2024/24060/A/44329,NR/2024/23952/A/44220,NR/2024/24097/A/44299,NR/2024/24112/C,NR/2024/24111/C,NR/2024/24071/A/44180,Total
,,NDMC,NDMC,NDMC,NDMC,PTC,DELHI,BAWANA_GAS,PTC,KSEB,NDMC,APPCPL,PUNJAB,MANIKARAN,IEXL,IEXL,IEXL,APPCPL,NVVNL,ITCLH,IEXL,SJVNL,SJVNL,IEXL,
,,NA,NA,NA,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,KARNATAKA_STATE,TELANGANA_State,TELANGANA_State,DELHI_UT,NA,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,NA,
,,RKM_POWER,JPL2,SKS_Raigarh,RKM_POWER,BYPL,CHANJUII,BAWANA_GAS,BRPL,BYPL,TRN_ENERGY,BYPL,BAWANA_GAS,BRPL,NSLSTUNGBHDRA,NSLKSLWPRTY,NSLKSLWPRTY,BRPL,JITPL,ITCWIND,NSLSUGARALAND,TPSL_BKN2,RSRPL_BKN,TESPL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,KERALA_State,DELHI_UT,MSEB_State,PUNJAB_STATE,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,NDMC,HP,TPDDL,HARYANA,HP,KSEB,NDMC,AEML,PUNJAB,AEML,MES_Delhi,MES_Delhi,MES_Delhi,GOA_Beneficiary,NDMC,ITCLH,MES_Delhi,NDMC,NDMC,MES_Delhi,
,,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-West-South,West-North,North-West,North-North,North-West,South-West-North,South-West-North,South-West-North,North-West,East-North,South-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.35

2,00:15-00:30,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.35

3,00:30-00:45,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.35

4,00:45-01:00,25.93,25.93,8.64,25.93,31.71,2.2,0,95.13,75,8.64,0,0,0,0.96,2.88,0,0,17.29,0.43,7.68,0,0,0,328.35

