Block,Time,RAMPUR,SINGRAULI_HYDRO,CHAMERA2,DADRI_LF,TANAKPUR,ANTA_CRF,TANDA2,SEWA2,RAPPC,ANTA_RF,CHAMERA1,DADRT2,JHAJJAR,ANTA_GF,DHAULIGNGA,CHAMERA3,URI2,TEHRI,UNCHAHAR4,AURY_LF,KISHANGANGA,NJPC,UNCHAHAR3,DADRI_CRF,DADRI_GF,RIHAND2,KOTESHWR,SINGRAULI,DULHASTI,URI,RIHAND3,UNCHAHAR2,AURY_CRF,RAPPB,UNCHAHAR1,DADRI_RF,RIHAND1,SALAL,KOLDAM,BSIUL,AURY_RF,PARBATI3,ANTA_LF,NAPP,AURY_GF,MAPS,VSTPS V,GANDHAR-APM,KGSU3AND4,TALST2,GANDHAR-ComGas,VSTPS III,VSTPS II,KHSTPP-I,NLCTS2EXP,GADARWARA-I,KAWAS-RLNG,SIPAT I,NLCEXP,KAWAS-ComGas,KAWAS-APM,FSTPP I & II,NLCIIST2,VSTPS IV,KHARGONE-I,KSTPS I&II,NTPL,KSTPS7,RSTPSU7,MOUDA_II,SASAN,VALLURNTECL,GANDHAR-RLNG,KAWAS-NAPM,KUDGI,KAWAS-zLIQ,TAPS-II,NNTPP,VSTPS I,KHSTPP-II,RSTPSU1TO6,MOUDA,LARA-I,NLCIIST1,GANDHAR-NAPM,BRBCL,KGSU1AND2,SOLAPUR,SIPAT II,KKNP,KAPS,TALA,SIMHST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.764969,1.039333,42.173382,0.000000,1.980938,0.000000,0.000000,16.603563,57.737237,0.000000,40.736119,0.000000,191.020980,0.000000,0.000000,20.411048,34.599557,31.958553,0.000000,0.000000,2.466002,39.579192,21.060726,0.000000,0.000000,116.646885,25.262947,116.017735,34.614029,48.549228,122.281677,41.338751,0.000000,0.000000,18.080207,0.000000,91.160264,47.169066,1.028322,19.002743,0.000000,0.000000,0.000000,44.040680,0.000000,0.24,1.283059,0.000000,2.11,2.93,0.000000,1.894035,1.877873,42.303038,0.84,0.000000,0.000000,4.425989,1.72,0.000000,0.000000,19.960209,0.41,2.593784,1.711897,2.675449,3.65,1.296892,1.88,3.394049,337.284338,2.30,0.000000,0.000000,9.02,0.000000,1.325166,0.18,2.273463,109.899050,7.67,1.873177,4.115478,0.78,0.000000,14.870569,1.92,1.711898,1.807575,1.53,0.801770,0.000000,0.00,0,0,0,0,0

2,00:15-00:30,0.764969,1.039333,42.173382,0.000000,1.980938,0.000000,0.000000,16.603563,57.737237,0.000000,40.736119,0.000000,189.927585,0.000000,0.000000,20.411048,34.599557,31.958553,0.000000,0.000000,2.466002,39.579192,18.722168,0.000000,0.000000,116.646885,25.262947,119.904701,34.614029,48.549228,122.281677,41.338751,0.000000,0.000000,14.581477,0.000000,91.160264,47.169066,0.000000,19.002743,0.000000,0.000000,0.000000,44.040680,0.000000,0.24,1.283059,0.000000,2.11,2.93,0.000000,1.894035,1.877873,42.303038,0.84,0.000000,0.000000,4.426725,1.72,0.000000,0.000000,20.035545,0.41,2.593784,1.711897,2.675449,3.65,1.296892,1.88,3.394049,337.284338,2.30,0.000000,0.000000,9.02,0.000000,1.325166,0.18,2.273463,109.899050,7.68,1.873177,4.115478,0.78,0.000000,14.870569,1.92,1.711898,1.807575,1.54,0.801770,0.000000,0.00,0,0,0,0,0

3,00:30-00:45,0.764969,1.039333,42.173382,0.000000,1.114278,0.000000,0.000000,16.603563,57.737237,0.000000,40.736119,0.000000,148.558849,0.000000,0.000000,20.411048,33.486722,31.958553,0.000000,0.000000,2.466002,39.579192,13.429518,0.000000,0.000000,116.646885,25.262947,112.413615,34.614029,48.549228,122.281677,41.338751,0.000000,0.000000,10.307046,0.000000,91.160264,47.169066,0.000000,19.002743,0.000000,0.000000,0.000000,44.040680,0.000000,0.24,1.283059,0.000000,2.11,2.93,0.000000,1.894035,1.877873,42.950593,0.84,0.000000,0.000000,4.426725,1.72,0.000000,0.000000,19.345464,0.41,2.593784,1.711897,2.675449,1.83,1.296892,1.88,3.394049,337.284338,2.30,0.000000,0.000000,9.02,0.000000,1.325166,0.18,2.273463,95.049234,7.63,1.873177,4.115478,0.78,0.000000,11.153410,1.92,1.711898,1.807575,1.56,0.801770,0.000000,0.00,0,0,0,0,0

4,00:45-01:00,0.764969,1.039333,42.173382,0.000000,1.114278,0.000000,0.000000,16.603563,57.737237,0.000000,40.736119,0.000000,133.538599,0.000000,0.000000,20.411048,33.486722,31.958553,0.000000,0.000000,2.466002,39.579192,13.429518,0.000000,0.000000,116.646885,25.262947,112.413615,34.614029,51.216768,122.281677,41.338751,0.000000,0.000000,10.307046,0.000000,91.160264,47.169066,0.000000,19.002743,0.000000,0.000000,0.000000,44.040680,0.000000,0.24,1.283059,0.000000,2.11,2.93,0.000000,1.894035,1.877873,42.950593,0.84,0.000000,0.000000,4.426725,1.72,0.000000,0.000000,19.345464,0.41,2.593784,1.711897,2.675449,1.83,1.296892,1.88,3.394049,337.284338,2.30,0.000000,0.000000,9.02,0.000000,1.325166,0.18,2.273463,95.049234,7.63,1.873177,4.115478,0.78,0.000000,11.153410,1.92,1.711898,1.807575,1.57,0.801770,0.000000,0.00,0,0,0,0,0

5,01:00-01:15,0.764969,1.039333,28.030217,0.000000,1.114278,0.000000,0.000000,16.603563,57.737237,0.000000,40.736119,0.000000,133.538599,0.000000,0.000000,20.411048,33.486722,31.958553,0.000000,0.000000,2.466002,39.579192,13.429518,0.000000,0.000000,116.646885,25.262947,112.413615,34.614029,51.216768,122.281677,27.209681,0.000000,0.000000,10.307046,0.000000,91.160264,47.169066,0.000000,19.002743,0.000000,0.000000,0.000000,44.040680,0.000000,0.24,1.283059,0.000000,2.11,2.93,0.000000,1.894035,1.877873,42.950593,0.84,0.000000,0.000000,4.426725,1.72,0.000000,0.000000,19.345464,0.41,2.593784,1.711897,2.675449,1.83,1.296892,1.88,3.394049,337.284338,2.30,0.000000,0.000000,9.02,0.000000,1.325166,0.18,2.273463,95.049234,7.63,1.873177,4.115478,0.78,0.000000,9.730310,1.92,1.711898,1.807575,1.57,0.801770,0.000000,0.00,0,0,0,0,0

