Column1,Block,NR/30092023/26122029/SH-06,NR/2025/29098/C,GNARE/NR/2024/12/20/3668,NR/2025/29104/C,NR/2025/27356/A/81054,NR/2025/28774/A/80955,NR/2025/29158/C,NR/2025/29160/C,NR/2025/26785/A/80961,NR/2025/27726/A/81569,NR/2025/27168/A/81369,NR/2025/26572/A/81354,NR/2025/26566/A/81352,NR/2025/26571/A/81353,NR/2025/26565/A/81351,NR/2025/27187/A/81563,NR/2025/27185/A/81564,NR/2025/27728/A/81558,NR/2025/26952/A/80931,NR/2025/29211/C,NR/2025/27100/A/81099,NR/2025/26861/A/81366,NR/2025/29225/C,NR/2025/29199/C,NR/2025/26085/A/80901,NR/2025/29262/C,NR/2025/29223/C,NR/2025/27782/A/81556,NR/2025/26777/A/81016,NR/2025/29201/C,NR/2025/27088/A/81424,NR/2025/26860/A/81437,NR/2025/29202/C,NR/2025/27725/A/81559,NR/2025/29203/C,NR/2025/29204/C,NR/2025/29179/C,NR/2025/26445/A/81428,NR/2025/27506/A/80959,NR/2025/29166/C,NR/2025/28851/A/81051,NR/2025/27167/A/81368,NR/2025/27499/A/81414,NR/2025/27242/A/81403,NR/2025/27500/A/80960,NR/2025/28849/A/81049,NR/2025/28719/A/81014,NR/2025/29259/C,NR/2025/26562/A/81350,NR/2025/27162/A/81565,NR/2025/29259/C/Alternate/1,NR/2025/29164/C,NR/2025/26889/A/81417,NR/2025/27281/A/81493,NR/2025/29233/C,NR/2025/29246/C,NR/2025/29205/C,NR/2025/29165/C,NR/2025/27727/A/81557,NR/2025/26975/A/81566,NR/2025/27157/A/81030,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7663,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,PUNJAB,MANIKARAN,SECI_Trader,IEXL,BRPL,IEXL,PXIL,DIAPL,IEXL,APPCPL,PTC,PowerPulse,PowerPulse,PowerPulse,PowerPulse,APPCPL,APPCPL,APPCPL,PXIL,INSTINCT,IVPL_Trader,PowerPulse,APPCPL,TPDDL,ITCLH,NVVNL,APPCPL,APPCPL,INSTINCT,APPCPL,NVVNL,BRPL,APPCPL,APPCPL,APPCPL,APPCPL,BRPL,NVVNL,IEXL,PowerPulse,BRPL,PTC,HPXL,GMRETL,IEXL,BRPL,DIAPL,NVVNL,PowerPulse,APPCPL,NVVNL,PowerPulse,HPXL,MANIKARAN,APPCPL,NVVNL,APPCPL,PowerPulse,APPCPL,APPCPL,KEIPL,BAWANA_GAS,APPCPL,APPCPL,INSTINCT,APPCPL,KEIPL,APPCPL,NVVNL,PTC,NDMC,PTC,PowerPulse,MANIKARAN,SIMHAPURI,DELHI,
,,DELHI_UT,CSEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,GoHP_Rampur_STATE,NA,NA,NA,NA,KERALA_State,KERALA_State,NA,NA,NA,MSEB_State,NA,CSEB_State,NA,ANDHRA_PRADESH_STATE,NA,Manipur_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,GoHP_Chamera1_STATE,JK_and_LADAKH_UT,HIMACHAL_STATE,MSEB_State,NA,HIMACHAL_STATE,NA,NA,CSEB_State,NA,NA,MSEB_State,CSEB_State,KERALA_State,NA,NA,NA,NA,Manipur_State,CSEB_State,DELHI_UT,NA,GOA_State,NA,CSEB_State,CSEB_State,GOA_State,NA,TELANGANA_State,NA,ODISHA_STATE,NA,MP_State,NA,HIMACHAL_STATE,
,,BAWANA_GAS,CSEB_Beneficiary,APSEPL_FTG,MBMP,TS1PL_BKN,TPSL_BKN2,MBMP,GBHHPL,MBMP,RKM_POWER,GoHP_Rampur,APL_Raigarh_TPP,MAHAN_ENERGEN,APL_Raigarh_TPP,MAHAN_ENERGEN,KSEB,KSEB,RKM_POWER,MBMP,JPL2,TPC_MSEB,COASTGEN,CSEB_Beneficiary,JHAJJAR,ITCWIND,SORANG_HEP,Manipur_Ben,TRN_ENERGY,JPL2,SKS_Raigarh,ILFS,JPL2,RKM_POWER,SKS_Raigarh,JPL2,TRN_ENERGY,JPL2,JPNIGRIE_JNSTPP,NHCPL_HP,APL_Raipur_TPP,RIHAND3,GoHP_Chamera1,O2Z,GBHHPL,A_A_Energy_MH_Bio,DADRT2,GBHHPL,Kameng,APL_Raipur_TPP,CSEB_Beneficiary,Kameng,MAHAN_ENERGEN,GRETAENERGY,CSEB_Beneficiary,KSEB,ILFS,RKM_POWER,APL_Raigarh_TPP,JPL2,Manipur_Ben,CSEB_Beneficiary,BAWANA_GAS,DBPL,GOA_Beneficiary,SIMHAPURI,CSPDCL,CSPDCL,GOA_Beneficiary,JHABUA_IPP,NAVABHARAT,JIPL,NBVL_OTCL,COASTGEN,BLAPOWER_MP,SIMHAPURI,CHANJUII,
,,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,PUNJAB,BYPL,TPDDL,NDMC,BRPL,MES_Delhi,BRPL,DIAPL,NDMC,NDMC,BRPL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,BYPL,NDMC,BRPL,BRPL,BYPL,BRPL,BYPL,TPDDL,ITCLH,TPDDL,BYPL,NDMC,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,NDMC,NDMC,BRPL,TPDDL,MES_Delhi,TPDDL,BRPL,BRPL,BYPL,BRPL,MES_Delhi,BRPL,DIAPL,TPDDL,TPDDL,BYPL,TPDDL,TPDDL,BYPL,BYPL,BYPL,BRPL,NDMC,TPDDL,NDMC,BYPL,BYPL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,North-North,West-North,North-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,North-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,West-North,West-North,North East-East-West-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,East-North,East-West-North,South-West-North,West-North,South-East-North,North-North,
1,00:00-00:15,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,205.09,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,5.46,145.11,56.05,140.94,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2775.18

2,00:15-00:30,22.13,0,0,0,0,0,0,1.93,0,26.38,24.18,0,0,145.11,145.11,19.35,19.35,26.38,0,0,25.23,193.48,0,205.09,0.68,29.02,0,8.79,193.48,0,192.86,106.41,0,8.79,0,0,0,63.65,1.93,0,38.7,24.18,8.71,48.37,7.74,135.44,10.64,2.36,145.11,56.05,144.04,0,5.8,24.91,0,0,0,0,26.38,27.09,217.57,22.13,48.37,19.35,48.37,11.92,11.93,15.33,24.18,62.88,17.41,24.18,0,24.18,48.37,14.16,2775.18

