Column1,Block,NR/2024/23414/A/40647,NR/2024/23662/C,NR/2024/23384/A/40645,NR/2024/23382/A/40785,NR/2024/23446/A/40784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,NR/2024/23510/A/40678,NR/2024/23383/A/40638,NR/2024/23663/C,NR/2024/23389/A/40661,NR/2024/23356/A/40662,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,Total
,,IEXL,TPDDL,IEXL,NVVNL,NVVNL,DELHI,NDMC,DIAPL,ITCLH,NVVNL,SJVNL,SJVNL,BAWANA_GAS,NDMC,NDMC,NDMC,NDMC,PUNJAB,
,,KARNATAKA_STATE,NA,KARNATAKA_STATE,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,DELHI_UT,NA,NA,NA,NA,DELHI_UT,
,,NSLSUGAR,JHAJJAR,NSLSUGAR,JITPL,JITPL,CHANJUII,RKM_POWER,GBHHPL,ITCWIND,SOLAPUR_SOLAR,RSRPL_BKN,TPSL_BKN2,BAWANA_GAS,JPL2,RKM_POWER,SKS_Raigarh,TRN_ENERGY,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,
,,MES_Delhi,TPDDL,MES_Delhi,NDMC,NDMC,TPDDL,NDMC,DIAPL,ITCLH,MES_Delhi,NDMC,NDMC,HARYANA,NDMC,NDMC,NDMC,NDMC,PUNJAB,
,,South-West-North,North-North,South-West-North,East-North,East-North,North-North,West-North,North-North,South-West-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,192.8,6.75,24.83,0,6.07,37.24,2.89,0.58,0,0,0,0,37.24,37.24,12.42,12.42,32,402.48

2,00:15-00:30,0,192.8,6.75,24.83,0,6.07,37.24,2.89,0.58,0,0,0,0,37.24,37.24,12.42,12.42,32,402.48

3,00:30-00:45,0,192.8,6.75,24.83,0,6.07,37.24,2.89,0.58,0,0,0,24.8,37.24,37.24,12.42,12.42,24.8,420.08000000000004

4,00:45-01:00,0,192.8,6.75,24.83,0,6.07,37.24,2.89,0.58,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.22

5,01:00-01:15,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.53,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.09000000000003

6,01:15-01:30,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.53,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.09000000000003

7,01:30-01:45,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.53,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.09000000000003

8,01:45-02:00,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.53,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.09000000000003

9,02:00-02:15,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.48,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.0400000000001

10,02:15-02:30,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.48,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.0400000000001

11,02:30-02:45,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.48,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.0400000000001

12,02:45-03:00,0,192.8,6.75,24.83,0,5.99,37.24,2.89,0.48,0,0,0,26.87,37.24,37.24,12.42,12.42,26.87,424.0400000000001

