Block,Time,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/22052037/LT-59,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/16022024/29022024/HP-38,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/06022042/L_NR_2012_02,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/31052040/LT-31,NR/16022024/29022024/HP-40,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31032024/ ChanjuII,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,NR/19022024/29022024/NVVN/OA/16907,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01102023/05012040/L_NR_2020_02,NR/16022024/29022024/HP-45,NR/01022024/29022024/79,NR/16022024/29022024/HP-36,NR/01102023/31102037/L_NR_2019_11
1,00:00-00:15,7,21.22,0,0,0,0,0,0,0,23.32,0,0,0,0,7.77,0,7.77,21.22,0,19.56,0,0,0,24.120000,4.820000,54.980000,25.960000,25.960000,0.000000,6.750000,96.460000,0.000000,11.580000,35.170000,0.000000,128.270000,8.200000,140.830000,5.790000,0.000000,0.000000,33.760000,1.750000,6.750000,231.500000,0.000000,19.290000,18.330000,1.160000,16.340000,0.000000,38.220000,0.950000

2,00:15-00:30,7,27.38,0,0,0,0,0,0,0,24.27,0,0,0,0,8.1,0,8.09,27.38,0,18.55,0,0,0,24.120000,4.820000,54.980000,25.960000,25.960000,0.000000,6.750000,96.460000,0.000000,11.580000,35.170000,0.000000,128.270000,8.200000,111.890000,5.790000,0.000000,0.000000,33.760000,1.750000,6.750000,209.320000,0.000000,19.290000,18.330000,1.160000,16.340000,0.000000,38.220000,0.950000

3,00:30-00:45,7,26.88,0,0,0,0,0,0,0,25.27,0,0,0,0,8.44,0,8.42,26.88,0,17.54,0,0,0,24.120000,4.820000,54.980000,25.960000,25.960000,0.000000,6.750000,96.460000,0.000000,11.580000,35.170000,0.000000,128.270000,8.200000,111.890000,5.790000,0.000000,0.000000,33.760000,1.750000,6.750000,209.320000,0.000000,19.290000,18.330000,1.160000,16.340000,0.000000,38.220000,0.950000

4,00:45-01:00,7.06,39.51,0,0,0,0,0,0,0,47.28,0,0,0,0,15.76,0,15.76,39.51,0,16.56,0,0,0,24.120000,4.820000,54.980000,25.960000,25.960000,0.000000,6.750000,96.460000,0.000000,11.580000,35.170000,0.000000,128.270000,8.200000,111.890000,5.790000,0.000000,0.000000,33.760000,1.750000,6.750000,209.320000,0.000000,19.290000,18.330000,1.160000,16.340000,0.000000,38.220000,0.950000

5,01:00-01:15,12.88,39.02,0,0,0,0,0,0,0,47.01,0,0,0,0,15.66,0,15.67,39.02,0,15.7,0,0,0,24.120000,4.820000,54.980000,25.960000,25.960000,0.000000,6.750000,96.460000,0.000000,11.580000,35.170000,0.000000,128.270000,8.200000,111.890000,5.790000,0.000000,0.000000,33.760000,1.750000,6.750000,209.320000,0.000000,19.290000,18.330000,1.160000,16.340000,0.000000,38.220000,0.950000

