Column1,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/08/2627,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2024/10/08/5028,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/08/6977,GNA/NR/2024/10/08/8234,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/9582,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/8106,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/3642,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,6.63,48.5,0,0,0,0,73.73,263.38,32,3.92,9.35,39.77,3.9,4.02,0,242.52,97.01,31.29,0,6.6,0,39.77,12.49,133.1,12.49,115.99,39.77,7.34,0,0,22,0,0,0,0,0,18.33,0,0,18.33,7.33,6.66,0

2,00:15-00:30,6.63,48.5,0,0,0,0,73.73,263.38,32,3.92,9.35,39.77,3.9,4.02,0,242.52,97.01,31.29,0,6.6,0,39.77,12.49,133.1,12.49,115.99,39.77,7.34,0,0,22,0,0,0,0,0,18,0,0,18,7.33,6.66,0

3,00:30-00:45,6.63,48.5,0,0,0,0,73.73,263.38,32,3.92,9.35,39.77,3.9,4.02,0,242.52,97.01,31.29,0,6.6,0,39.77,12.49,133.1,12.49,115.99,39.77,7.34,0,0,22,0,0,0,0,0,17.67,0,0,17.67,7.33,6.66,0

4,00:45-01:00,6.63,48.5,0,0,0,0,73.73,263.38,32,3.92,9.35,39.77,3.9,4.02,0,242.52,97.01,31.29,0,6.6,0,39.77,12.49,133.1,12.49,115.99,39.77,7.34,0,0,22,0,0,0,0,0,17.33,0,0,17.33,7.33,6.66,0

5,01:00-01:15,6.63,48.5,0,0,0,0,83.43,263.38,20.17,3.92,9.35,37.47,4.29,3.86,0,242.52,97.01,31.29,0,6.6,0,37.47,12.49,133.1,12.49,115.99,37.47,7.34,0,0,22,0,0,0,0,0,17,0,0,17,7.33,6.66,0

6,01:15-01:30,6.63,48.5,0,0,0,0,83.43,263.38,20.17,3.92,9.35,37.47,4.29,3.86,0,242.52,97.01,31.29,0,6.6,0,37.47,12.49,133.1,12.49,115.99,37.47,7.34,0,0,22,0,0,0,0,0,16.67,0,0,16.67,7.33,6.66,0

