Time,Block,NER/2024/2023/A/5602,WR/2024/21740/A/5632,NR/2024/18706/C,WR/2024/21710/A/5634,WR/2024/21675/A/5605,NR/2024/18707/C,NR/2024/18388/A/5523,NR/2024/18691/A/5629,Total
,,APPCPL,MANIKARAN,NVVNL,MANIKARAN,APPCPL,SJVNL,ITCLH,MANIKARAN,Total

,,DELHI,DELHI,NA,DELHI,DELHI,TELANGANA,ANDHRA PRADESH,DELHI,
,,BRPL,BYPL,SOLAPUR_SOLAR,BRPL,BRPL,NSLKSLWPRTY,ITCWIND,BRPL,
,,MANIPUR,MAHARASHTRA,DELHI,GOA,GOA,DELHI,DELHI,HIMACHAL PRADESH,
,,Manipur_Ben,AEML,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,NDMC,ITCLH,HP,
,,North-East-North East,North-West,West-North,North-West,North-West,South-East-North,South-West-North,North-North,
1,00:00-00:15,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

2,00:15-00:30,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

3,00:30-00:45,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

4,00:45-01:00,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

5,01:00-01:15,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

6,01:15-01:30,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

7,01:30-01:45,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

8,01:45-02:00,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

9,02:00-02:15,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

10,02:15-02:30,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

11,02:30-02:45,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

12,02:45-03:00,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

13,03:00-03:15,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

14,03:15-03:30,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

15,03:30-03:45,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

16,03:45-04:00,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

17,04:00-04:15,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

18,04:15-04:30,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

19,04:30-04:45,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

20,04:45-05:00,25.000000,100.000000,0,0.000000,0.000000,0.000000,0.390000,0.000000,125.39

