Block,Time,KISHANGANGA,RIHAND1,SASAN,CHAMERA1,NLCEXP,NLCIIST2,NLCTS2EXP,SINGRAULI,TANDA2,UNCHAHAR2,VALLURNTECL,DADRI_LF,KGSU3AND4,KKNP,KUDGI,MAPS,PARBATI3,RAMPUR,RIHAND3,RSTPSU7,UNCHAHAR4,DADRI_CRF,BRBCL,CHAMERA2,DHAULIGNGA,KKNPPU2,SIMHST2,SINGRAULI_HYDRO,TEHRI,TelanganaSTPP,KHSTPP-I,NJPC,TALST2,TANAKPUR,UNCHAHAR1,ANTA_LF,AURY_CRF,AURY_LF,DULHASTI,FSTPP I & II,KGSU1AND2,NTPL,RAPPC,TALA,UNCHAHAR3,URI,URI2,ANTA_CRF,ANTA_RF,AURY_RF,DADRT2,JHAJJAR,KHSTPP-II,KOTESHWR,NLCIIST1,RAPPB,RIHAND2,SEWA2,SIMHST1,AURY_GF,BSIUL,CHAMERA3,KOLDAM,NAPP,NNTPP,RSTPSU1TO6,SALAL,ANTA_GF,DADRI_GF,DADRI_RF
1,00:00-00:15,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,44.31,21.78,0,11.91,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,2.33,0,0,66.85

2,00:15-00:30,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,44.31,21.78,0,11.91,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,18.59,0,0,66.85

3,00:30-00:45,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,44.31,21.78,0,11.91,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,79.38,0,0,66.85

4,00:45-01:00,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,44.31,21.78,0,7.05,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,79.38,0,0,66.85

5,01:00-01:15,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,41.89,21.78,0,7.05,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,79.38,0,0,66.85

6,01:15-01:30,0,92,407.25,0,0,0,0,139.68,0,42.4,0,21.92,0,0,0,0,0,0,124.32,0,0,0,15,2.4,9.11,0,0,0,14.93,0,41.89,21.78,0,7.05,20.56,0,0,0,32.96,20.8,0,0,51.9,0,26.39,2.21,4.57,0,42.74,70.16,341.57,654.31,148.3,8.87,0,0,118.76,0,0,0,0,0,0,41.33,0,0,79.38,0,0,66.85

