Column1,Time,GNA/NR/2025/01/20/9333,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/6775,NR/01102023/19072037/LT-05,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/01/8058,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,13.01,0,0,0,0,11,0,16.67,16.66,11,0,33,8.33,0,0,148.09,0,230.78,0,0,1.3

2,00:15-00:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,12.61,0,0,0,0,11,0,16.67,16.66,11,0,33,8.33,0,0,148.09,0,192.32,0,0,1.3

3,00:30-00:45,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,10.4,0,0,0,0,7.5,0,15,15,7.5,0,22.5,7.33,0,0,148.09,0,149.54,0,0,1.3

4,00:45-01:00,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,10,0,0,0,0,7.5,0,15,15,7.5,0,22.5,7.33,0,0,148.09,0,149.54,0,0,1.3

5,01:00-01:15,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,9.4,0,0,0,0,7.5,0,15,15,7.5,0,22.5,7.33,0,0,137.51,0,149.54,0,0,1.3

6,01:15-01:30,0,0.95,8.65,1.29,100.18,0,0,20.19,48.08,0,25,26.99,26.99,19.23,25,28.85,25,70.13,48.08,31.73,59.46,0.77,0,0,0,0,0,26.92,0,0,0,0,0,0,8.6,0,0,0,0,7.5,0,15,15,7.5,0,22.5,7.33,0,0,137.51,0,149.54,0,0,1.3

