Block,Time,KHSTPP-II,NAPP,NLCTS2EXP,RIHAND1,SEWA2,TEHRI,AURY_CRF,AURY_LF,DADRI_CRF,BRBCL,KGSU1AND2,KKNP,NTPL,RSTPSU1TO6,ANTA_RF,JHAJJAR,KGSU3AND4,KUDGI,TALA,UNCHAHAR1,UNCHAHAR3,ANTA_CRF,DADRI_RF,NLCIIST2,RAPPB,RSTPSU7,TANDA2,TelanganaSTPP,ANTA_GF,AURY_RF,BSIUL,FSTPP I & II,KISHANGANGA,KOLDAM,NJPC,NLCIIST1,RIHAND2,SIMHST1,DADRI_GF,DADRI_LF,DULHASTI,KHSTPP-I,NNTPP,RAMPUR,RIHAND3,TALST2,UNCHAHAR2,UNCHAHAR4,URI2,CHAMERA2,DADRT2,KOTESHWR,MAPS,PARBATI3,RAPPC,SALAL,SIMHST2,SINGRAULI,TANAKPUR,VALLURNTECL,ANTA_LF,AURY_GF,CHAMERA1,CHAMERA3,DHAULIGNGA,KKNPPU2,NLCEXP,PARBATI2,SASAN,SINGRAULI_HYDRO,URI
1,00:00-00:15,148.3,51.2,0,97.18,18.88,12.98,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,82.89,0,124.53,0,0,0,39.62,45.83,0,3.27,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,42.15,23.3,0,0,0,11.24,407.25,1,46.37

2,00:15-00:30,148.3,51.2,0,97.18,18.88,12.98,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,16.86,68.93,40.09,0,150.25,0,0,0,0,42.15,23.3,0,0,0,11.24,407.25,1,46.37

3,00:30-00:45,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0,0,0,0,42.15,23.3,0,0,0,9,407.25,1,46.37

4,00:45-01:00,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,21.63,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0,0,0,0,42.15,23.3,0,0,0,9,407.25,1,46.37

5,01:00-01:15,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,40.09,0,150.25,0,0,0,0,42.15,23.3,0,0,0,9,407.25,1,46.37

6,01:15-01:30,148.3,51.2,0,97.18,18.88,0,0,0,0,20,0,0,0,0,53.44,499.51,0,0,0,20.74,27.67,0,74.38,0,0,0,5.65,0,0,85.35,19.56,15.29,8.56,0,44.74,0,124.53,0,0,0,39.62,45.83,0,1.76,130.75,0,44.47,2.28,39.63,48.74,688.87,10.41,0,4.29,68.93,46.48,0,150.25,0,0,0,0,31.57,23.3,0,0,0,9,407.25,1,46.37

