Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21938/A/31598,NR/2024/22279/A/31526,NR/2024/22492/C,NR/2024/22493/C,NR/2024/22491/C,NR/2024/21909/A/31798,NR/2024/21956/A/31851,NR/2024/22501/C,NR/2024/22010/A/31899,NR/2024/21814/A/31837,NR/2024/22042/A/31533,NR/2024/21943/A/31844,NR/2024/21918/A/31897,NR/2024/21954/A/31848,NR/2024/22398/A/31928,NR/2024/21940/A/31849,NR/2024/22432/A/31655,NR/2024/22014/A/31534,NR/2024/21961/A/31596,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31702,NR/2024/22058/A/31700,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21860/A/31925,NR/2024/21968/A/31830,NR/2024/21970/A/31833,NR/2024/21966/A/31584,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/APL-Raigarh,GNA/WR/2024/08/12/7836,NR/2024/21658/A/31557,NR/2024/21983/A/31565,NR/30092023/26122029/SH-06,NR/2024/21974/A/31835,NR/2024/21971/A/31834,NR/30092023/31122025/SH-07,GNA/WR/2024/08/12/5862,Total
,,TPTCL,DELHI,JITPL,DELHI,INSTINCT,PTC,IEXL,NVVNL,NVVNL,NVVNL,AEL,APPCPL,SJVNL,MANIKARAN,NVVNL,IEXL,APPCPL,MANIKARAN,APPCPL,TPDDL,APPCPL,DIAPL,IEXL,PTC,SECI_Trader,SECI_Trader,SJVNL,SJVNL,APPCPL,TPDDL,NVVNL,NVVNL,INSTINCT,IEXL,DELHI,AEL,IEXL,ITCLH,TPTCL,PUNJAB,NVVNL,NVVNL,BAWANA_GAS,NVVNL,
,,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,KARNATAKA_STATE,NA,NA,NA,NA,KERALA_State,NA,GOA_State,NA,MSEB_State,MSEB_State,MSEB_State,Manipur_State,NA,UTTARAKHAND_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,NA,NA,Arunachal_State,NA,NA,NA,NA,DELHI_UT,MSEB_State,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,
,,SIMHAPURI,SKS_Raigarh,JITPL,CHANJUII,JPL2,HP,NSLSUGAR,Kameng,SORANG_HEP,SOLAPUR_SOLAR,APL_Raigarh_TPP,KSEB,TPSL_BKN2,GOA_Beneficiary,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,AEML,AEML,Manipur_Ben,JHAJJAR,UTTARAKHAND,GBHHPL,NHCPL_HP,HP,SBSRPC11PL_BKN,SBSRPC11PL_BKN,RSRPL_BKN,TPSL_BKN2,Arunachal_Ben,JPL2,JPL2,TRN_ENERGY,JPL2,BYPL,MSEB_Beneficiary,APL_Raigarh_TPP,BYPL,ITCWIND,SIMHAPURI,BAWANA_GAS,RKM_POWER,RKM_POWER,BAWANA_GAS,BYPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,GOA_State,
,,BRPL,NDMC,NDMC,TPDDL,BRPL,BYPL,MES_Delhi,TPDDL,TPDDL,MES_Delhi,BRPL,BYPL,NDMC,BRPL,TPDDL,MES_Delhi,BRPL,BYPL,BRPL,TPDDL,BYPL,DIAPL,MES_Delhi,BRPL,TPDDL,BYPL,NDMC,NDMC,BRPL,TPDDL,NDMC,NDMC,BRPL,GOASR,TPDDL,BRPL,GOA_Beneficiary,ITCLH,BRPL,PUNJAB,NDMC,NDMC,HARYANA,GOA_Beneficiary,
,,South-West-North,West-North,East-North,North-North,West-North,North-North,South-East-West-North,North East-East-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,West-North,West-North,West-North,North-East-South,West-North,West-North,North-West,South-West-North,South-East-North,North-North,West-North,West-North,North-North,North-West,
1,00:00-00:15,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1562.2816

2,00:15-00:30,48.08,12.39,11.93,18.18,48.08,37.87,4.81,163.73,27.89,0,0,67.32,0,11.68,48.08,3.85,38.47,90.4,23.97,240.42,83.84,8.66,1.92,113.61,0,0,0,0,38.47,48.08,37.15,12.39,0,0,0,192.34,0,0.63,0,26.8708,37.15,37.15,26.8708,0,1562.2816

