Block,Time,WR/01102023/29112042/L_NR_2019_05,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/23072042/L_NR_2012_04,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/19072037/LT-05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_02,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/08032047/L_NR_2021_14,NR/01042024/30042024/PTC/OA/32001,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/14082046/L_NR_2021_16,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/31072024/LT_MEJA_DELHI,NR/30092023/31122025/SH-07
1,00:00-00:15,0,1.900000,28.870000,37.83,21.18,0,0,86.810000,0,63.53,0,6.61,0,0.000000,24.200000,13.47,0.000000,0,0,0.000000,0.000000,1.550000,0,57.720000,37.83,21.17,0,261.290000,0,0,272.120000,9.830000,0,48.120000,0.000000,2.300000,0,100.260000,16.050000,24.200000

2,00:15-00:30,0,1.900000,28.870000,37.57,21.15,0,0,86.810000,0,63.47,0,6.61,0,0.000000,24.200000,13.36,0.000000,0,0,0.000000,0.000000,1.550000,0,57.720000,37.57,21.16,0,261.290000,0,0,272.120000,9.830000,0,48.120000,0.000000,2.300000,0,100.260000,16.050000,24.200000

3,00:30-00:45,0,1.900000,28.870000,37.4,21.1,0,0,86.810000,0,63.33,0,6.61,0,0.000000,25.630000,13.23,0.000000,0,0,0.000000,0.000000,2.470000,0,57.720000,37.4,21.11,0,261.290000,0,0,272.120000,9.830000,0,48.120000,0.000000,2.300000,0,100.260000,16.050000,25.630000

4,00:45-01:00,0,1.900000,28.870000,31.03,21.07,0,0,86.810000,0,63.22,0,6.61,0,0.000000,25.630000,12.97,0.000000,0,0,0.000000,0.000000,2.470000,0,57.720000,31.03,21.08,0,261.290000,0,0,272.120000,9.830000,0,48.120000,0.000000,2.300000,0,100.260000,16.050000,25.630000

5,01:00-01:15,0,1.900000,28.870000,30.53,14.58,0,0,86.810000,0,43.74,0,6.61,0,0.000000,25.630000,11.03,0.000000,0,0,0.000000,0.000000,2.470000,0,57.720000,30.53,14.58,0,261.290000,0,0,272.120000,9.740000,0,48.120000,0.000000,2.300000,0,100.260000,16.050000,25.630000

