Column1,Block,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5428,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,NR/2024/23845/A/42550,GNA/NR/2024/11/01/3646,NR/30092023/31122025/SH-07,WR/2024/24788/A/42569,NR/2024/23420/A/42438,NR/2024/23769/A/42435,NR/2024/23807/A/42434,NR/2024/23864/C,NR/2024/23863/C,NR/2024/23860/C,Total
,,NDMC,NDMC,MANIKARAN,NDMC,APPCPL,NDMC,PTC,NDMC,PUNJAB,DELHI,NDMC,DIAPL,PTC,BAWANA_GAS,APPCPL,ITCLH,IEXL,IEXL,SJVNL,SJVNL,NVVNL,
,,NA,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,HIMACHAL_STATE,NA,NA,NA,
,,RKM_POWER,SKS_Raigarh,BRPL,RKM_POWER,BYPL,JITPL,BRPL,JPL2,BAWANA_GAS,CHANJUII,TRN_ENERGY,GBHHPL,BYPL,BAWANA_GAS,BRPL,ITCWIND,NSLSUGAR,KGEPL_HP,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,HARYANA_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,AEML,NDMC,AEML,NDMC,HP,NDMC,PUNJAB,TPDDL,NDMC,DIAPL,HP,HARYANA,GOA_Beneficiary,ITCLH,MES_Delhi,MES_Delhi,NDMC,NDMC,MES_Delhi,
,,West-North,West-North,North-West,West-North,North-West,East-North,North-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-West,South-West-North,South-West-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

2,00:15-00:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

3,00:30-00:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

4,00:45-01:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

5,01:00-01:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

6,01:15-01:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

7,01:30-01:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

8,01:45-02:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

9,02:00-02:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

10,02:15-02:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

11,02:30-02:45,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

12,02:45-03:00,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.67,7.2,1.92,95.12,26.87,0,0.48,5.76,4.8,0,0,0,560.8100000000001

13,03:00-03:15,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

14,03:15-03:30,26.17,6.77,0,26.17,0,17.45,285.39,26.17,26.87,3.57,7.2,1.92,95.12,26.87,0,0.43,5.76,4.8,0,0,0,560.6599999999999

