Block,Time,URI2,AURY_RF,CHAMERA1,CHAMERA3,ANTA_CRF,DHAULIGNGA,KOTESHWR,KOLDAM,ANTA_RF,ANTA_LF,UNCHAHAR4,AURY_GF,RAMPUR,DADRT2,ANTA_GF,DADRI_RF,PARBATI3,JHAJJAR,RIHAND3,SINGRAULI_HYDRO,CHAMERA2,DULHASTI,BSIUL,UNCHAHAR2,RAPPC,KISHANGANGA,AURY_LF,DADRI_GF,RIHAND2,TANAKPUR,DADRI_LF,NJPC,TEHRI,SALAL,RIHAND1,UNCHAHAR1,UNCHAHAR3,TANDA2,RAPPB,NAPP,URI,DADRI_CRF,SEWA2,AURY_CRF,SINGRAULI,FSTPP I & II,BRBCL,TALA,KHSTPP-I,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,36.993112,0.000000,40.656038,33.598227,0.000000,41.994958,37.808120,9.850160,0.000000,0.000000,2.980614,0.000000,6.506724,664.335403,0.000000,0.000000,4.120860,407.485624,125.957564,1.107212,46.782935,57.080594,6.289964,42.125722,65.584005,8.045392,0.000000,0.000000,119.976948,10.503047,0.000000,173.591783,62.103359,80.702294,93.620163,20.549398,26.660560,5.168424,0.000000,47.500450,38.337062,0.000000,0.000000,0.000000,118.073879,13.793780,14.469041,9.557064,31.031278,143.050180,334.776488,0,0,0,0,0

2,00:15-00:30,36.993112,0.000000,40.656038,33.598227,0.000000,41.994958,37.808120,9.850160,0.000000,0.000000,2.980614,0.000000,6.506724,664.335403,0.000000,0.000000,4.120860,407.485624,125.957564,1.107212,46.782935,57.080594,6.289964,42.125722,65.584005,8.045392,0.000000,0.000000,119.976948,10.503047,0.000000,173.591783,62.103359,80.702294,93.620163,20.561243,26.660560,5.168424,0.000000,47.500450,38.337062,0.000000,0.000000,0.000000,118.073879,13.793780,14.469041,9.642142,31.031278,143.050180,334.776488,0,0,0,0,0

3,00:30-00:45,36.993112,0.000000,40.656038,33.598227,0.000000,41.994958,37.808120,9.850160,0.000000,0.000000,2.980614,0.000000,6.506724,602.405438,0.000000,0.000000,4.120860,377.234610,125.957564,1.107212,46.782935,57.080594,6.289964,42.125722,65.584005,8.045392,0.000000,0.000000,119.976948,10.503047,0.000000,173.591783,62.103359,80.702294,93.620163,20.561243,26.660560,5.168424,0.000000,47.500450,29.817715,0.000000,0.000000,0.000000,118.073879,13.793780,14.469041,9.613782,31.031278,143.050180,334.776488,0,0,0,0,0

4,00:45-01:00,36.993112,0.000000,40.656038,33.598227,0.000000,41.994958,37.808120,9.850160,0.000000,0.000000,2.980614,0.000000,6.506724,592.774770,0.000000,0.000000,4.120860,377.234610,125.957564,1.107212,46.782935,57.080594,6.289964,42.125722,65.584005,8.045392,0.000000,0.000000,119.976948,10.503047,0.000000,173.591783,62.103359,80.702294,93.620163,20.561243,26.660560,5.168424,0.000000,47.500450,29.817715,0.000000,0.000000,0.000000,118.073879,13.793780,14.469041,9.642142,31.031278,143.050180,334.776488,0,0,0,0,0

5,01:00-01:15,36.993112,0.000000,40.656038,33.598227,0.000000,41.994958,37.808120,9.850160,0.000000,0.000000,2.980614,0.000000,6.506724,592.774770,0.000000,0.000000,17.660827,377.234610,125.957564,1.107212,46.782935,57.080594,6.289964,37.663965,65.584005,8.045392,0.000000,0.000000,119.976948,10.503047,0.000000,173.591783,62.103359,80.702294,93.620163,18.422702,24.051915,5.168424,0.000000,47.500450,29.817715,0.000000,0.000000,0.000000,118.073879,13.793780,14.469041,9.727219,31.031278,143.050180,334.776488,0,0,0,0,0

