Block,Time,KISHANGANGA,RIHAND1,NJPC,KOTESHWR,KOLDAM,URI,DADRT2,ANTA_LF,URI2,RAPPB,ANTA_GF,UNCHAHAR3,DADRI_LF,TEHRI,SALAL,TANDA2,DADRI_CRF,RIHAND3,AURY_CRF,UNCHAHAR1,ANTA_RF,BSIUL,NAPP,AURY_RF,AURY_LF,CHAMERA2,PARBATI3,SINGRAULI,RIHAND2,TANAKPUR,DULHASTI,ANTA_CRF,DADRI_RF,RAPPC,AURY_GF,DADRI_GF,JHAJJAR,UNCHAHAR4,SEWA2,SINGRAULI_HYDRO,DHAULIGNGA,UNCHAHAR2,RAMPUR,CHAMERA3,CHAMERA1,KHSTPP-II,TALA,SASAN,KHSTPP-I,KUDGI,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,24.162500,148.457686,35.259853,0.000000,45.348180,613.156202,0.000000,31.333273,0.000000,0.000000,22.407946,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,13.277043,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,0.000000,129.027750,114.167812,6.190432,47.780431,0.000000,0.000000,49.182189,0.000000,0.000000,600.674918,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.679937,20.12,14.497500,13.772625,0,0,0,0,0

2,00:15-00:30,0.000000,27.244094,148.457686,35.259853,0.000000,45.348180,588.993702,0.000000,31.333273,0.000000,0.000000,21.926986,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,11.726448,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,0.000000,129.027750,114.167812,6.190432,47.780431,0.000000,0.000000,49.182189,0.000000,0.000000,600.674918,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.679937,9.66,14.497500,13.772625,0,0,0,0,0

3,00:30-00:45,0.000000,31.921032,148.457686,35.259853,0.000000,45.348180,569.663702,0.000000,30.553191,0.000000,0.000000,21.926986,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,11.726448,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,0.000000,129.027750,114.167812,7.428519,47.780431,0.000000,0.000000,49.182189,0.000000,0.000000,600.674918,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.093272,9.66,14.497500,13.772625,0,0,0,0,0

4,00:45-01:00,0.000000,33.827500,148.457686,35.259853,0.000000,45.348180,569.663702,0.000000,30.553191,0.000000,0.000000,21.926986,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,11.726448,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,0.000000,129.027750,114.167812,12.628482,47.780431,0.000000,0.000000,49.182189,0.000000,0.000000,600.674918,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.093272,9.66,14.497500,13.772625,0,0,0,0,0

5,01:00-01:15,0.000000,33.827500,148.457686,35.259853,0.000000,45.348180,540.668702,0.000000,30.553191,0.000000,0.000000,21.926986,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,11.726448,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,3.075886,129.027750,114.167812,12.628482,31.744499,0.000000,0.000000,49.182189,0.000000,0.000000,592.464500,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.093272,9.66,12.634927,13.772625,0,0,0,0,0

6,01:15-01:30,0.000000,33.827500,148.457686,35.259853,0.000000,45.348180,540.668702,0.000000,30.553191,0.000000,0.000000,21.926986,0.000000,65.273544,83.107402,0.000000,0.000000,119.522827,0.000000,11.726448,0.000000,19.002743,37.159992,0.000000,0.000000,38.186531,15.379431,129.027750,114.167812,12.628482,31.744499,0.000000,0.000000,49.182189,0.000000,0.000000,573.134500,0.000000,15.274612,0.758055,35.365878,40.970032,0.000000,28.089204,41.230890,142.573852,26.994345,402.305625,31.093272,9.66,13.724028,13.772625,0,0,0,0,0

