Time,Block,NR/2023/11947/F,NR/2023/10236/A,NR/2023/11862/F,NR/2023/12058/D,NR/2023/12080/C,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11963/F,NR/2023/11962/F,NR/2023/12082/C,NR/2023/11958/F,NR/2023/10229/A,NR/2023/12059/D,NR/2023/11952/F,NR/2023/12062/D,NR/2023/11955/F,NR/2023/12071/C,NR/2023/11941/F,NR/2023/11961/F,NR/2023/11959/F,NR/2023/11960/F,NR/2023/11342/A,NR/2023/11957/F,NR/2023/12060/D,NR/2023/10613/A,NR/2023/11956/F,NR/2023/12064/C,NR/2023/10434/A,NR/2023/10487/A,Total
,,HPXL,NVVNL,APPCPL,NVVNL,IEXL,BYPL,IEXL,SHPPBPL,SHPPBPL,HPXL,SHPPBPL,NVVNL,TS1PL_BKN,KEIPL,NVVNL,SHPPBPL,TPDDL,NVVNL,SHPPBPL,SHPPBPL,SHPPBPL,IEXL,SHPPBPL,TS1PL_BKN,APPCPL,SHPPBPL,GBHHPL,NVVNL,TPTCL,Total

,,MAHARASHTRA,NA,MANIPUR,NA,DELHI,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,NA,NA,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,HIMACHAL PRADESH,NA,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,
,,B_S_ISPAT_MH,ILFS,Manipur_Ben,SOLAPUR_SOLAR,BYPL,Meghalaya_Ben,JSPL_DCPP,SHPPBPL,SHPPBPL,BYPL,SHPPBPL,JPNIGRIE_JNSTPP,TS1PL_BKN,Meghalaya_Ben,KAMENG,SHPPBPL,CHANJUII,SKS Raigarh,SHPPBPL,SHPPBPL,SHPPBPL,NAVABHARAT,SHPPBPL,TS1PL_BKN,Nagaland_Ben,SHPPBPL,GBHHPL,SEIL,APNRL,
,,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,STT,MES (Delhi),SPARSH123,BYPL,BRPL,UHL,MHIL,RIMJHIM,AISHER,BRPL,BRPL,BYPL,TPDDL,BAL184,TPDDL,NDMC,JHPL-DL,BMDRC,MAX-HPTL,BRPL,BAL234,BYPL,BYPL,BAL224,DIAPL,TPDDL,TPDDL,
,,West-North,South-West-North,North East-East-North,West-North,North-North,North East-East-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North East-East-North,North East-East-North,North-North,North-North,West-North,North-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,North-North,South-West-North,East-North,
1,00:00-00:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.47

2,00:15-00:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.47

3,00:30-00:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.47

4,00:45-01:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.270000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.47

5,01:00-01:15,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.180000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.38

6,01:15-01:30,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.180000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.38

7,01:30-01:45,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.180000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.38

8,01:45-02:00,6.770000,214.830000,2.900000,0,0.000000,12.250000,48.320000,0.420000,0.420000,0.000000,0.560000,42.970000,0,36.470000,72.680000,0.360000,12.180000,62.820000,0.700000,0.640000,0.640000,115.980000,0.720000,0,12.660000,0.370000,27.000000,24.160000,41.560000,738.38

