Column1,Time,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,GNA/WR/2025/04/01/4420,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/4565,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/6216,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/1831,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,GNA/SR/2025/04/01/2597,NR/01102023/22052037/LT-59
1,00:00-00:15,0,28.33,0,76.67,76.67,0,30.33,0,7.68,68.9,3.27,0,0,0,0,0,30.33,0,14.61,91.01,0,0,0,0,0,100.27,2.89,48.12,0,0,9.62,0,6.73,2.8,9.62,3.61,0,2.89,9.62,36.58,1.92,192.5,32,2.89,100.28,27.26,115.09,52.5,3.49

2,00:15-00:30,0,28,0,76,76,0,30.17,0,7.68,68.9,3.27,0,0,0,0,0,30.17,0,14.01,90.49,0,0,0,0,0,100.27,2.89,48.12,0,0,9.62,0,6.73,2.8,9.62,3.61,0,2.89,9.62,36.58,1.92,231,32,2.89,100.28,28.27,115.09,52.5,3.49

3,00:30-00:45,0,31.67,0,78.33,78.33,0,30.83,0,7.68,68.9,3.27,0,0,0,0,0,30.83,0,13.61,92.51,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,6.73,2.8,9.62,3.61,0,2.89,9.62,36.58,1.92,272.15,27,2.89,100.28,28.27,70.19,52.5,3.49

4,00:45-01:00,0,30.67,0,77.67,77.67,0,30,0,7.68,68.9,3.27,0,0,0,0,0,30,0,13.41,90,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,6.73,2.8,9.62,3.61,0,2.89,9.62,36.58,1.92,272.15,27,2.89,100.28,28.27,70.19,52.5,3.49

5,01:00-01:15,0,30,0,77.33,77.33,0,29.67,0,7.68,56.7,3.27,0,0,0,0,0,29.67,0,7.4,88.99,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7.09,2.8,9.62,3.53,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,52.5,3.49

6,01:15-01:30,0,29.33,0,76.67,76.67,0,29.17,0,7.68,56.7,3.27,0,0,0,0,0,29.17,0,7.4,87.49,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7.09,2.8,9.62,3.53,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,52.5,3.49

7,01:30-01:45,0,28.33,0,76,76,0,28.33,0,7.68,56.7,3.27,0,0,0,0,0,28.33,0,12.8,85.01,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7.09,2.8,9.62,3.53,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,52.5,3.49

8,01:45-02:00,0,27.33,0,75,75,0,27.5,0,7.68,56.7,3.27,0,0,0,0,0,27.5,0,12.6,82.5,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7.09,2.8,9.62,3.53,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,52.5,3.49

9,02:00-02:15,0,27,0,73.33,73.33,0,27,0,7.68,56.7,3.27,0,0,0,0,0,27,0,12.21,81,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7,2.66,9.62,3.46,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,0,3.34

10,02:15-02:30,0,27,0,72.67,72.67,0,26.67,0,5.29,56.7,3.27,0,0,0,0,0,26.67,0,12.01,79.99,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7,2.66,9.62,3.46,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,0,3.34

11,02:30-02:45,0,26.33,0,58.33,58.33,0,27.5,0,5.29,56.7,3.27,0,0,0,0,0,27.5,0,11.61,82.5,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7,2.66,9.62,3.46,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,0,3.34

12,02:45-03:00,0,25.33,0,55,55,0,27,0,5.29,56.7,3.27,0,0,0,0,0,27,0,11.41,81,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,7,2.66,9.62,3.46,0,2.89,9.62,36.58,1.92,272.15,27,2.89,82.14,28.27,70.19,0,3.34

13,03:00-03:15,0,28.33,0,73.33,73.33,0,26.67,0,5.29,46.2,3.27,0,0,0,0,0,26.67,0,8.8,79.99,0,0,0,0,0,100.27,2.89,48.12,0,27,9.62,0,6.91,2.66,9.62,3.38,0,2.89,9.62,36.58,1.92,272.15,27,2.89,64.49,28.27,70.19,0,3.34

