Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/06/16/8791,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/07/5932,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444
1,00:00-00:15,0,31.01,26,26,0,0,0,0,0,0,78,0,21.67,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,7.32,130.89,10.61,0,10.8,9.85,10.58,-0,26.93,27.25,116.04,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

2,00:15-00:30,0,29.61,25.67,25.67,0,0,0,0,0,0,76.99,0,21.33,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,7.32,130.89,10.61,0,10.8,9.85,10.58,-0,26.93,27.25,116.04,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

3,00:30-00:45,0,33.61,25.33,25.33,0,0,0,0,0,0,76.01,0,28.33,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,130.89,10.61,0,10.8,9.85,10.58,-0,26.93,28.27,116.04,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

4,00:45-01:00,0,33.41,25,25,0,0,0,0,0,0,75,0,28.67,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,130.89,10.61,0,10.8,9.85,10.58,-0,26.93,28.27,116.04,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

5,01:00-01:15,0,33.41,24.5,24.5,0,0,0,0,0,0,73.5,0,28.33,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,130.89,10.61,0,10.8,9.38,10.58,-0,26.93,28.27,99.28,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

6,01:15-01:30,0,32.61,24,24,0,0,0,0,0,0,72,0,28,15.33,8.61,33.86,33.86,87.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,130.89,10.61,0,10.8,9.38,10.58,-0,26.93,28.27,73.1,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

7,01:30-01:45,0,26.01,23.33,23.33,0,0,0,0,0,0,70.01,0,27.67,15.33,8.61,33.86,33.86,82.74,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,130.89,10.61,0,10.8,9.38,5.81,-0,26.93,28.27,64.52,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

8,01:45-02:00,0,26.01,22.83,22.83,0,0,0,0,0,0,68.51,0,27.33,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,3.97,121.37,10.61,0,10.8,9.38,5.81,-0,26.93,28.27,64.52,0,26.93,14.16,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,0

9,02:00-02:15,0,26.21,24.66,24.67,0,0,0,0,0,0,74,0,27,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,4.03,102.99,10.61,0,10.8,8.91,5.81,-0,26.93,28.27,64.52,0,26.93,16.29,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

10,02:15-02:30,0,25.81,23.84,23.83,0,0,0,0,0,0,71.5,0,26.67,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,4.03,102.99,10.61,0,10.8,8.91,5.81,-0,26.93,28.27,64.52,0,26.93,16.29,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

11,02:30-02:45,0,25.41,23.5,23.5,0,0,0,0,0,0,70.5,0,20.8,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,4.02,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,28.27,64.52,0,26.93,16.29,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

12,02:45-03:00,0,24.81,22.84,22.83,0,0,0,0,0,0,68.5,0,20,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,4.02,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,28.27,64.52,0,26.93,16.29,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

13,03:00-03:15,0,24.41,20.85,20.85,0,0,0,0,0,0,62.55,0,16.87,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,234.84,3.98,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,29.27,64.52,0,26.93,15.92,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

14,03:15-03:30,0,24.21,21.45,21.45,0,0,0,0,0,0,64.35,0,16.61,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,196.14,4,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,29.27,64.52,0,26.93,15.92,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

15,03:30-03:45,0,27.81,21.6,21.6,0,0,0,0,0,0,64.8,0,16.48,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,157.44,4.01,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,29.27,64.52,0,26.93,15.92,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

16,03:45-04:00,0,27.61,22.2,22.2,0,0,0,0,0,0,66.6,0,16.42,15.33,8.64,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,150.44,4.02,102.99,10.46,0,10.8,8.91,5.81,-0,26.93,29.27,64.52,0,26.93,15.92,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

17,04:00-04:15,0,27.41,20.4,20.4,0,0,0,0,0,0,61.2,0,20,15.33,8.61,33.86,33.86,76.71,53.21,44.02,33.86,0,0,0,0,0,0,0,189.14,1.67,111.21,10.46,0,10.8,8.45,5.81,-0,26.93,29.27,116.04,0,26.93,15.56,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

18,04:15-04:30,0,27.01,19.95,19.95,0,0,0,0,0,0,59.85,0,20.33,15.33,8.61,33.86,33.86,76.71,53.21,44.02,33.86,0,0,0,0,0,0,0,227.83,2.01,111.21,10.46,0,10.8,8.45,5.81,-0,26.93,29.27,74.94,0,26.93,15.56,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

19,04:30-04:45,0,26.61,27,27,0,0,0,0,0,0,81,0,20.67,15.33,8.61,33.86,33.86,67.26,82.23,44.02,33.86,0,0,0,0,0,0,0,266.53,2.3,102.99,10.29,0,10.8,8.45,5.81,-0,26.93,29.27,64.52,0,26.93,15.56,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

20,04:45-05:00,0,26.41,27,27,0,0,0,0,0,0,81,0,21,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0,0,0,0,273.53,2.93,102.99,10.29,0,10.8,8.45,5.81,-0,26.93,29.27,64.52,0,26.93,15.56,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

21,05:00-05:15,0,33.01,32.67,32.67,0,0,0,0,0,0,98.01,0,38.33,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0.04,0,0,0,273.53,3.56,102.99,10.29,0,10.64,8.16,5.81,-0,26.93,29.27,64.52,0,26.93,15.37,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

22,05:15-05:30,0,33.21,32.27,32.27,0,0,0,0,0,0,96.79,0,38,15.33,8.61,33.86,33.86,67.26,100.78,44.02,33.86,0,0,0,0.15,0,0,0,270.13,3.97,102.99,10.29,0,10.64,8.16,5.81,-0,26.93,29.27,64.52,0,26.93,15.37,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

23,05:30-05:45,0,33.01,31.66,31.66,0,0.36,0.93,0,0,0,94.99,0,37.67,15.33,8.61,33.86,33.86,49.25,100.78,44.02,33.86,0,0,0,0.34,0,0.19,0,248.03,2.18,70.95,10.29,0,10.64,8.16,5.81,-0,26.93,29.27,64.52,0,26.93,15.37,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

24,05:45-06:00,0,32.81,31.06,31.06,0,1.27,1.65,0,0,0,93.16,0,36.67,15.33,8.61,33.86,33.86,49.25,100.78,44.02,33.86,0,0,1,0.6,0,0.33,0,222.71,2.18,70.95,10.29,0,10.64,8.16,5.81,-0,26.93,29.27,64.52,0,26.93,15.37,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

25,06:00-06:15,2.39,36.02,29.65,29.65,0,4.05,7.13,5.99,0,1,88.92,0,30,15.33,8.64,33.86,33.86,38.7,53.21,44.02,33.86,1,0,1,1.88,1,1.42,0,203.7,4.03,50.8,10.14,0,10.41,7.87,5.81,-0,26.93,28.26,64.52,0,26.93,15.19,0,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

26,06:15-06:30,10.02,36.22,28.44,28.44,0,6.01,12.59,9.45,0,2,85.29,0,28.67,15.33,8.64,33.86,33.86,38.7,53.21,44.02,33.86,2,1,3,3.16,2,2.52,0,177.47,4.03,50.8,10.14,1.1,10.41,7.87,5.81,-0,26.93,28.26,64.52,1.1,26.93,15.19,0.85,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

27,06:30-06:45,19.56,36.42,26.42,26.42,0,8.34,18.06,13.86,0,3,79.25,3,27,15.33,7.78,33.86,33.86,49.25,82.23,44.02,33.86,3,2,5,7.48,3,3.61,0,155.84,3.97,70.95,10.14,1.51,10.72,7.87,5.82,-0,26.93,28.26,64.52,1.51,26.93,15.19,1.17,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

28,06:45-07:00,29.1,36.62,25.21,25.21,0,11.14,23.53,19.22,0,6,75.62,6,25.33,15.33,7.78,33.86,33.86,49.25,100.78,44.02,33.86,4,3,7,10.52,7,4.71,0,150.44,3.97,70.95,10.14,1.96,10.72,7.87,5.76,-0,26.93,28.26,64.52,1.96,26.93,15.19,1.51,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

29,07:00-07:15,33,36.82,30,30,0,14.25,35.91,25.82,0,11,90,10,24.33,15.33,8.14,33.86,33.86,49.25,100.78,44.02,33.86,5,7,9,14.98,13,7.18,0,150.44,3.97,70.95,10.14,2.52,10.72,7.51,4.74,-0,26.93,27.25,70.53,2.52,26.93,15.09,1.95,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

30,07:15-07:30,33,37.02,30.83,30.83,0,9.75,48.28,33,0,14,92.51,16,23,15.33,8.14,33.86,33.86,49.25,100.78,44.02,33.86,7,8,12,19.75,17,9.66,0,150.44,3.97,70.95,10.14,3.49,10.72,7.51,4.74,-0,26.93,27.25,70.53,3.49,26.93,15.09,2.69,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

31,07:30-07:45,33,31.01,31.67,31.67,0,9.75,60.66,33,0,19,94.99,24,21,15.33,8.14,33.86,33.86,49.25,100.78,44.02,33.86,9,12,15,24.79,23,12.13,0,150.44,3.97,70.95,10.14,4.25,10.72,7.51,4.74,-0,26.93,28.27,70.53,4.25,26.93,15.09,3.29,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

32,07:45-08:00,31.07,31.41,32.5,32.5,0,9.75,73.03,31.06,0,25,97.5,31.07,19.67,15.33,8.14,33.86,33.86,38.7,100.78,44.02,33.86,12,15,18,30.24,30,14.61,0,150.44,3.97,51.27,10.14,5.02,10.72,7.51,4.74,-0,26.93,28.27,70.53,5.02,26.93,15.09,3.88,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

33,08:00-08:15,31.9,32.21,25,25,0,9.75,86.24,31.9,0,30,75,31.9,15,15.33,8.14,33.86,33.86,38.7,71.76,44.02,33.86,16,18,25,36.26,37,17.25,0,150.44,3.97,51.27,9.98,6,10.64,7.51,4.74,-0,26.93,28.27,70.53,6,26.93,14.99,4.63,17.41,16.93,20.87,16.93,16.93,11.92,11.93,19.35,135.44

