Block,Time,KISHANGANGA,KKNP,KKNPPU2,NJPC,ANTA_GF,AURY_GF,DADRI_LF,DULHASTI,FSTPP I & II,KOLDAM,RIHAND3,TEHRI,TEHRIPSP,UNCHAHAR4,DADRI_RF,BSIUL,KHSTPP-II,NAPP,NLCEXP,RAPPB,RSTPSU1TO6,SALAL,TelanganaSTPP,VALLURNTECL,ANTA_LF,AURY_LF,DADRT2,DHAULIGNGA,NTPL,RAPPC,SIMHST2,SINGRAULI_HYDRO,URI2,DADRI_GF,CHAMERA2,CHAMERA3,NLCTS2EXP,NNTPP,PARBATI2,SASAN,SEWA2,SINGRAULI,TALA,TALST2,TANAKPUR,UNCHAHAR1,UNCHAHAR3,URI,ANTA_CRF,DADRI_CRF,CHAMERA1,JHAJJAR,KHSTPP-I,KUDGI,NLCIIST1,NLCIIST2,PARBATI3,RIHAND2,AURY_RF,BRBCL,MAPS,RAMPUR,SIMHST1,AURY_CRF,KGSU1AND2,KGSU3AND4,KOTESHWR,RAPPD,RIHAND1,RSTPSU7,TANDA2,UNCHAHAR2,ANTA_RF
1,00:00-00:15,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,12.62,155.58,0,0,9.48,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,73.77,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,49.95

2,00:15-00:30,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,0,0,9.48,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,73.77,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,49.95

3,00:30-00:45,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,1.76,0,9.48,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,49.95

4,00:45-01:00,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,1.76,0,9.48,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,49.95

5,01:00-01:15,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,1.76,0,1.41,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,51.27

6,01:15-01:30,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,66.82,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,1.76,0,1.41,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,51.27

7,01:30-01:45,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,80.18,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,6.31,155.58,1.76,0,1.41,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,51.27

8,01:45-02:00,8.71,0,0,181.16,0,0,0,58.79,15.6,2.42,92.37,18.82,49.91,2.48,76.68,13.04,148.3,24.89,0,0,0,80.18,0,0,0,0,550.85,43.85,0,68.39,0,1.16,38.16,0,48.9,35.09,0,0,52.78,418.77,5.59,155.58,1.76,0,1.41,21.83,27.99,51.34,0,0,42.15,447.23,45.83,0,0,0,69.16,96.8,78.22,20,0,7.04,0,0,0,0,7.54,26.14,64.81,0,3.28,45.12,51.27

