Block,Time,L_NR_2019_06,L_NR_2021_12,LT-36,L_NR_2022_08,L_NR_2021_16,L_NR_2021_13,L_NR_2019_11,L_NR_2018_61,L_NR_2022_09,L_NR_2020_02,SH-06,L_NR_2020_06,L_NR_2021_15,LT-05,L_NR_2020_05,LT-59,L_NR_2019_07,L_NR_2021_17,L_NR_2021_14,L_NR_2022_10,SH-07,L_NR_2019_05,L_NR_2019_19,LT-35,L_NR_2020_07,L_NR_2012_01,LT_MEJA_Delhi,L_NR_2012_02,L_NR_2012_07,LT-31,L_NR_2012_04
1,00:00-00:15,0,0,0.000000,12.19,0,0,7.690000,8.54,72.35,7.070000,29.490000,40.13,0,107.930000,120.39,6.690000,0,0,0,72.35,29.490000,0,0.000000,0.000000,40.13,101.270000,6.740000,261.620000,74.130000,0.000000,271.910000

2,00:15-00:30,0,0,0.000000,12.2,0,0,7.690000,8.35,72.36,7.070000,29.490000,40.05,0,107.930000,120.14,6.690000,0,0,0,72.36,29.490000,0,0.000000,0.000000,40.03,101.270000,6.740000,261.620000,74.130000,0.000000,271.910000

3,00:30-00:45,0,0,0.000000,12.21,0,0,7.690000,8.21,72.5,7.070000,29.490000,39.96,0,107.930000,119.88,6.690000,0,0,0,72.5,29.490000,0,0.000000,0.000000,39.96,101.270000,6.740000,261.620000,74.130000,0.000000,271.910000

4,00:45-01:00,0,0,0.000000,12.21,0,0,7.690000,8.18,72.39,7.070000,29.490000,39.89,0,107.930000,119.67,6.690000,0,0,0,72.39,29.490000,0,0.000000,0.000000,39.89,101.270000,6.740000,261.620000,74.130000,0.000000,271.910000

5,01:00-01:15,0,0,0.000000,13.84,0,0,7.690000,8.12,72.64,6.880000,29.490000,39.68,0,107.930000,119.04,6.690000,0,0,0,72.64,29.490000,0,0.000000,0.000000,39.67,72.270000,6.740000,261.620000,64.970000,0.000000,271.910000

6,01:15-01:30,0,0,0.000000,13.82,0,0,7.690000,7.92,72.64,6.880000,29.490000,39.55,0,107.930000,118.65,6.690000,0,0,0,72.64,29.490000,0,0.000000,0.000000,39.56,52.210000,6.740000,241.620000,64.970000,0.000000,271.910000

7,01:30-01:45,0,0,0.000000,13.91,0,0,7.690000,7.82,72.41,6.880000,29.490000,39.37,0,107.930000,118.11,6.540000,0,0,0,72.41,29.490000,0,0.000000,0.000000,39.36,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

8,01:45-02:00,0,0,0.000000,13.85,0,0,7.690000,7.71,72.47,6.880000,29.490000,39.33,0,107.930000,117.98,6.540000,0,0,0,72.47,29.490000,0,0.000000,0.000000,39.32,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

9,02:00-02:15,0,0,0.000000,13.91,0,0,7.310000,7.65,72.6,6.690000,29.490000,39.88,0,107.930000,119.63,6.540000,0,0,0,72.6,29.490000,0,0.000000,0.000000,39.87,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

10,02:15-02:30,0,0,0.000000,13.95,0,0,7.310000,7.53,72.65,6.690000,29.490000,40.36,0,107.930000,121.07,6.540000,0,0,0,72.65,29.490000,0,0.000000,0.000000,40.36,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

11,02:30-02:45,0,0,0.000000,13.89,0,0,7.310000,7.45,72.66,6.690000,29.490000,39.82,0,107.930000,119.46,6.540000,0,0,0,72.66,29.490000,0,0.000000,0.000000,39.82,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

12,02:45-03:00,0,0,0.000000,13.96,0,0,7.310000,7.41,72.62,6.690000,29.490000,40.44,0,107.930000,121.32,6.540000,0,0,0,72.62,29.490000,0,0.000000,0.000000,40.44,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

13,03:00-03:15,0,0,0.000000,13.72,0,0,7.310000,7.33,72.34,6.510000,29.490000,40.34,0,107.930000,121.03,6.230000,0,0,0,72.34,29.490000,0,0.000000,0.000000,40.34,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

14,03:15-03:30,0,0,0.000000,13.78,0,0,7.310000,7.25,72.58,6.510000,29.490000,39.98,0,107.930000,119.93,6.230000,0,0,0,72.58,29.490000,0,0.000000,0.000000,39.96,52.210000,6.740000,225.190000,64.970000,0.000000,271.910000

15,03:30-03:45,0,0,0.000000,13.79,0,0,7.310000,7.11,72.45,6.510000,29.490000,39.61,0,107.930000,118.83,6.850000,0,0,0,72.45,29.490000,0,0.000000,0.000000,39.62,52.210000,5.220000,176.850000,46.920000,0.000000,271.910000

16,03:45-04:00,0,0,0.000000,13.99,0,0,7.310000,6.63,72.41,6.510000,29.490000,40.46,0,107.930000,121.37,6.850000,0,0,0,72.41,29.490000,0,0.000000,0.000000,40.45,52.210000,5.220000,165.020000,46.920000,0.000000,271.910000

17,04:00-04:15,0,0,0.000000,13.81,0,0,6.920000,6.22,72.66,6.320000,29.490000,40.07,0,107.930000,120.22,6.850000,0,0,0,72.66,29.490000,0,0.000000,0.000000,40.08,52.210000,5.220000,165.020000,46.920000,0.000000,271.910000

18,04:15-04:30,0,0,0.000000,14,0,0,6.920000,5.84,72.42,6.320000,29.490000,39.88,0,107.930000,119.63,6.850000,0,0,0,72.42,29.490000,0,0.000000,0.000000,39.87,52.210000,5.220000,165.020000,46.920000,0.000000,271.910000

19,04:30-04:45,0,0,0.000000,13.69,0,0,6.920000,5.65,72.65,6.320000,29.490000,39.78,0,107.930000,119.33,6.850000,0,0,0,72.65,29.490000,0,0.000000,0.000000,39.77,52.210000,5.220000,165.020000,46.920000,0.000000,271.910000

