Time,Block,NR/2023/13635/A,NR/2023/15829/D,NR/2023/15303/F,NR/2023/15831/D,NR/2023/12592/A,NR/2023/14737/A,NR/2023/15296/F,NR/2023/12053/A,NR/2023/13862/A,NR/2023/12167/A,NR/2023/15846/C,NR/2023/15309/F,NR/2023/15851/C,NR/2023/14746/A,NR/2023/14895/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/15694/F,NR/2023/15306/F,NR/2023/12347/A,ER/2023/9800/C,NR/2023/15835/C,NR/2023/12168/A,NR/2023/12422/A,NR/2023/15057/F,NR/2023/15854/C,NR/2023/15858/C,NR/2023/14745/A,SR/2023/7997/C,NR/2023/12591/A,NR/2023/14898/A,NR/2023/15832/D,NR/2023/12148/A,NR/2023/15839/C,NR/2023/15859/C,NR/2023/15402/F,NR/2023/15304/F,Total
,,NVVNL,KEIPL,BSHP,KEIPL,NVVNL,NVVNL,BSHP,KEIPL,MANIKARAN,APPCPL,TPDDL,IEXL,GBHHPL,APPCPL,MANIKARAN,KEIPL,TPTCL,NVVNL,BSHP,STATKRAFT,HPXL,SJVNL,APPCPL,APPCPL,ITCLH,SJVNL,IEXL,APPCPL,IEXL,NVVNL,MANIKARAN,NVVNL,GMRETL,HPXL,IEXL,SJVNL,BSHP,Total

,,NA,MAHARASHTRA,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,HIMACHAL PRADESH,TAMIL NADU,DELHI,NA,UTTARAKHAND,HIMACHAL PRADESH,ANDHRA PRADESH,NA,NA,GOA,DELHI,NA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,
,,KAMENG,LMEL MSEB,BSHP,LAPL-UP,JPNIGRIE_JNSTPP,SKS Raigarh,BSHP,Meghalaya_Ben,TANGEDCO,Meghalaya_Ben,CHANJUII,SAPU1234,GBHHPL,HP,HP,Meghalaya_Ben,JPL-2,KAMENG,BSHP,TANGEDCO,BYPL,DIKCHU,UTTARAKHAND,HP,ITCWIND,RSRPL_BKN,ADHPL,GOA_Beneficiary,BYPL,JPNIGRIE_JNSTPP,HP,SOLAPUR_SOLAR,Meghalaya_Ben,Teesta_III,MALANA,BCMLB001,BSHP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,MAX-HPTL,BYPL,BRPL,NDMC,JHPL-DL,BYPL,BRPL,BYPL,TPDDL,MES (Delhi),DIAPL,BRPL,BRPL,BYPL,BRPL,TPDDL,BMDRC,BYPL,VL-CPP 1215,NDMC,BYPL,BYPL,ITCLH,NDMC,BRPL,BRPL,TANGEDCO,BRPL,BRPL,MES (Delhi),BYPL,BRPL,BRPL,NDMC,MHIL,
,,North East-East-North,West-North,North-North,North-North,West-North,West-North,North-North,North East-East-North,South-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,North-East,East-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-East-South,West-North,North-North,West-North,North East-East-North,East-North,North-North,North-North,North-North,
1,00:00-00:15,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.870000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,138.380000,0.000000,0.000000,0.580000,1278.88

2,00:15-00:30,21.290000,0.000000,0.910000,0.000000,85.140000,38.710000,0.970000,36.510000,23.160000,24.190000,19.170000,4.840000,6.060000,77.900000,95.800000,63.140000,108.870000,193.540000,0.930000,98.710000,0.000000,0.000000,46.640000,33.390000,0.870000,0,0.000000,24.190000,0.00,42.570000,70.160000,0,22.260000,138.380000,0.000000,0.000000,0.580000,1278.88
