Block,Time Block,NNTPP,NTPL,PARBATI3,NLCTS2EXP,RAMPUR,RIHAND3,SALAL,SEWA2,RAPPC,RIHAND2,SASAN,RAPPB,SIMHST1,RSTPSU1TO6,RIHAND1,RSTPSU7,SINGRAULI,SINGRAULI_HYDRO,SIMHST2,NLCIIST1,NLCIIST2,NJPC,MAPS,NAPP,NLCEXP,KGSU1AND2,KGSU3AND4,KOLDAM,KUDGI,KOTESHWR,JHAJJAR,KKNP,KKNPPU2,CHAMERA3,DADRT2,CHAMERA2,DULHASTI,DHAULIGNGA,FSTPP I & II,BSIUL,CHAMERA1,BRBCL,KHSTPP-II,KHSTPP-I,KISHANGANGA,ANTA_RF,UNCHAHAR4,AURY_LF,DADRI_GF,URI2,ANTA_LF,UNCHAHAR3,AURY_GF,DADRI_CRF,UNCHAHAR2,ANTA_GF,AURY_CRF,URI,AURY_RF,VALLURNTECL,ANTA_CRF,DADRI_RF,DADRI_LF,UNCHAHAR1,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,TEHRI,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,59.67,12.27,0,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,306.89,0,0,0,578.27,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,59.67,12.27,0,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,364.49,0,0,0,584.18,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,59.67,12.27,0,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,417.26,0,0,0,564.98,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,59.67,12.27,8.96,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,417.26,0,0,0,545.69,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,59.67,14.51,10.11,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,354.89,0,0,0,579.38,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,59.67,66.93,10.11,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,354.89,0,0,0,617.78,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,59.67,66.93,10.11,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,297.29,0,0,0,598.58,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,59.67,66.93,10.11,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,251.21,0,0,0,543.49,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,5.53,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,59.67,66.93,10.11,24.97,114.01,331.56,0,0,0,88.32,0,134.1,0.74,0,0,0,0,0,19.58,0,0,0,0,0,8.52,251.21,0,0,0,556.13,0,15.82,0,17.47,6.26,0,19.2,142.37,43.71,0,0,0,0,0,30.62,0,25.34,0,0,40.69,0,0,34.97,0,0,0,0,0,20.02,0,0,0,0,0,0,0,0,0,0,0

