Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TALA
1,00:00-00:15,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,49.68,0,0,0,24.402,5.7645,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.096,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

2,00:15-00:30,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,49.68,0,0,0,70.882,5.7645,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.096,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

3,00:30-00:45,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,70.882,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.096,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

4,00:45-01:00,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,70.882,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.096,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

5,01:00-01:15,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,70.882,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

6,01:15-01:30,0,42.392196,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,24.402,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

7,01:30-01:45,0,42.392196,9.9925,0,0,11.03064,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

8,01:45-02:00,0,42.392196,9.9925,0,0,10.089,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

9,02:00-02:15,0,42.392196,9.9925,0,0,10.089,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,0,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

10,02:15-02:30,0,42.392196,9.9925,0,0,10.089,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

11,02:30-02:45,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,6.5208,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

12,02:45-03:00,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,6.5208,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

13,03:00-03:15,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

14,03:15-03:30,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,12.1695,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

15,03:30-03:45,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

16,03:45-04:00,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

17,04:00-04:15,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,0,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

18,04:15-04:30,0,42.392196,9.9925,0,0,9.4164,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,20.1852,0,0,653.1525,8.874,22.9,0,0,0,92,103.5,0,123.665625,0.59303,11.04,0,0,1.1,13.363,5.124,0,42,0,0,0,32.88,46.58,6.028,0,22.263,39.639,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,45.2215,20.73185,20.0018,1.176

