Time,Block,NR/2023/17344/F,NR/2023/17165/A,NR/2023/17263/F,NR/2023/17900/C,NR/2023/17404/F,NR/2023/17897/C,NR/2023/17402/F,WR/2023/17681/A,NR/2023/14875/A,WR/2023/17681/A/II,WR/2023/19090/A,NR/2023/17496/F,NR/2023/17896/C,Total
,,ITCLH,NVVNL,APPCPL,SJVNL,MANIKARAN,NVVNL,MANIKARAN,MANIKARAN,APPCPL,MANIKARAN,TPTCL,IEXL,TPDDL,Total

,,ANDHRA PRADESH,NA,DELHI,NA,DELHI,NA,DELHI,DELHI,DELHI,DELHI,DELHI,KARNATAKA,HIMACHAL PRADESH,
,,ITCWIND,SKS Raigarh,BRPL,RSRPL_BKN,BRPL,SOLAPUR_SOLAR,BRPL,BYPL,BYPL,BYPL,BYPL,NSLSUGAR,CHANJUII,
,,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,DELHI,DELHI,
,,ITCLH,NDMC,HP,NDMC,HP,MES (Delhi),HP,AEML,HP,AEML,TPC MSEB,MES (Delhi),TPDDL,
,,South-West-North,West-North,North-North,North-North,North-North,West-North,North-North,North-West,North-North,North-East-West,North-West,South-East-North,North-North,
1,00:00-00:15,0.580000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.7

2,00:15-00:30,0.580000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.7

3,00:30-00:45,0.580000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.7

4,00:45-01:00,0.580000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.7

5,01:00-01:15,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

6,01:15-01:30,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

7,01:30-01:45,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

8,01:45-02:00,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

9,02:00-02:15,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

10,02:15-02:30,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

11,02:30-02:45,0.530000,43.570000,179.140000,0,20.400000,0,0.000000,100.000000,76.880000,0.000000,0.000000,6.780000,4.350000,431.65

