Column1,Time,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9072,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/10/10/3960
1,00:00-00:15,263.38,134.46,12.49,12,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.47,0,107.43,3.9,6.48,12,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

2,00:15-00:30,263.38,134.46,12.49,24.53,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.47,0,98.87,3.9,6.48,24.53,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

3,00:30-00:45,263.38,134.46,12.49,24.53,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.47,0,90.32,3.9,6.48,24.53,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

4,00:45-01:00,263.38,134.46,12.49,24.53,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.47,0,81.76,3.9,6.48,24.53,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

5,01:00-01:15,263.38,134.46,12.49,25.89,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,73.2,3.9,6.39,24.53,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

6,01:15-01:30,263.38,134.46,12.49,25.89,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.9,6.39,24.53,12.49,37.47,0,0,0,6.66,7.33,0,22,8,0,0,14,7.34,0,14,0,0,0,0,0,145.52

7,01:30-01:45,263.38,134.46,12.49,25.89,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.9,6.39,25.89,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

8,01:45-02:00,263.38,134.46,12.49,25.89,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.9,6.39,25.89,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

9,02:00-02:15,263.38,134.46,12.49,25.89,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.74,6.39,25.89,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

10,02:15-02:30,263.38,134.46,12.49,26.72,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.74,6.39,26.72,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

11,02:30-02:45,263.38,134.46,12.49,26.92,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

12,02:45-03:00,263.38,134.46,12.49,26.92,0,67.91,0,3.64,31.29,37.47,37.47,88.4,3.32,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

13,03:00-03:15,263.38,134.46,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

14,03:15-03:30,263.38,134.46,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

15,03:30-03:45,247.94,149.4,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

16,03:45-04:00,247.94,156.19,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,3.74,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

17,04:00-04:15,247.94,156.19,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

18,04:15-04:30,247.94,163.95,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

19,04:30-04:45,243.09,170.74,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

20,04:45-05:00,243.09,178.5,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

21,05:00-05:15,225.68,185.29,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

22,05:15-05:30,236.27,185.29,12.49,26.92,0,67.91,0,3.54,31.29,37.47,37.47,88.4,3.16,0,70.73,2.65,6.39,26.92,12.49,37.47,0,0,0,6.66,7.33,0,22,7,0,0,14,7.34,0,14,0,0,0,0,0,145.52

