Block,Time,MAPS,NJPC,UNCHAHAR3,AURY_LF,CHAMERA1,KGSU3AND4,KHSTPP-I,RAPPC,SASAN,SEWA2,ANTA_CRF,AURY_GF,KKNP,RSTPSU7,TALST2,UNCHAHAR2,UNCHAHAR4,DADRI_GF,DULHASTI,NAPP,NTPL,PARBATI3,RAPPB,RIHAND2,TANAKPUR,TEHRI,DADRI_LF,DADRI_RF,CHAMERA3,DADRT2,KGSU1AND2,KHSTPP-II,KOLDAM,NLCIIST2,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,TEHRIPSP,URI2,ANTA_GF,ANTA_LF,ANTA_RF,BSIUL,CHAMERA2,JHAJJAR,KOTESHWR,NLCTS2EXP,NNTPP,RAMPUR,RIHAND3,UNCHAHAR1,URI,VALLURNTECL,AURY_CRF,DADRI_CRF,BRBCL,KISHANGANGA,KKNPPU2,NLCEXP,NLCIIST1,RAPPD,RSTPSU1TO6,SALAL,SIMHST1,TALA,DHAULIGNGA,FSTPP I & II,KUDGI,PARBATI2,RIHAND1,TANDA2,TelanganaSTPP,AURY_RF
1,00:00-00:15,0,175.79,27.02,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,43.63,1.16,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,37.42,0,0,52.09,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,52.36,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.37,42.46,19.46,0,49.26,48.09,3.13,0,81.3

2,00:15-00:30,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,1.16,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,37.42,0,0,52.09,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,52.36,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.37,42.46,19.46,0,49.26,48.09,3.13,0,81.3

3,00:30-00:45,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,1.16,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,37.42,0,0,52.09,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.37,42.46,19.46,0,49.26,48.09,3.13,0,81.3

4,00:45-01:00,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,1.16,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,37.42,0,0,52.09,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.37,42.46,19.46,0,49.26,48.09,3.13,0,81.3

5,01:00-01:15,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,1.06,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.34,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,26.49,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,3.13,0,81.3

6,01:15-01:30,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.34,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,26.49,0,0,0,24.99,6.96,0,0,0,24.06,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

7,01:30-01:45,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.34,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,24.71,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

8,01:45-02:00,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.34,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,24.71,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

9,02:00-02:15,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.59,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,25.36,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

10,02:15-02:30,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.59,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,25.36,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

11,02:30-02:45,0,175.79,27.69,0,42.15,0,45.53,65.42,348.98,18.34,0,0,0,0,0,45,2.76,0,38.31,24.48,0,56.49,0,125.27,13.06,75.56,0,106.04,33.94,689.38,0,98.87,8.62,0,0,113.75,0,0,24.94,0,0,52.59,13.04,47.12,667.25,40.57,0,0,5.67,130.84,21.65,30.91,0,0,0,24.99,6.96,0,0,0,25.36,0,84.83,0,25.57,42.46,19.46,0,49.26,48.09,5.73,0,81.3

