Time,Block,WR/2023/20256/A/1096,NR/2023/18025/C,NR/2023/17901/A/1061,NR/2023/18024/C,WR/2023/18560/A,WR/2023/18560/A/II,NR/2023/16187/A,WR/2023/20254/A/1095,NR/2023/17905/A/1057,NR/2023/17064/A,Total
,,MANIKARAN,NVVNL,ITCLH,TPDDL,MANIKARAN,MANIKARAN,APPCPL,APPCPL,IEXL,GMRETL,Total

,,DELHI,NA,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,
,,BRPL,SOLAPUR_SOLAR,ITCWIND,CHANJUII,BYPL,BYPL,BYPL,BRPL,BSHP,BYPL,
,,GOA,DELHI,DELHI,DELHI,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,GOA,DELHI,RAJASTHAN,
,,GOA_Beneficiary,MES (Delhi),ITCLH,TPDDL,AEML,AEML,HP,GOA_Beneficiary,MES (Delhi),RUVNL,
,,North-West,West-North,South-West-North,North-North,North-West,North-East-West,North-North,North-West,North-North,North-North,
1,00:00-00:15,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

2,00:15-00:30,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

3,00:30-00:45,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

4,00:45-01:00,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

5,01:00-01:15,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

6,01:15-01:30,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

7,01:30-01:45,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

8,01:45-02:00,0.000000,0,0.480000,3.040000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.33

9,02:00-02:15,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

10,02:15-02:30,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

11,02:30-02:45,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

12,02:45-03:00,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

13,03:00-03:15,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

14,03:15-03:30,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

15,03:30-03:45,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

16,03:45-04:00,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

17,04:00-04:15,0.000000,0,0.430000,2.940000,100.000000,0.000000,76.880000,0.000000,1.930000,0.000000,182.18

