Block,Time Block,CHAMERA1,BSIUL,BRBCL,KKNPPU2,NLCEXP,NJPC,PARBATI3,NTPL,PARBATI2,DADRT2,CHAMERA3,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,SASAN,SIMHST1,RSTPSU7,SALAL,SEWA2,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,KHSTPP-I,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,KOLDAM,KOTESHWR,TALA,TALST2,TANAKPUR,KUDGI,TEHRIPSP,TEHRI,TelanganaSTPP,TANDA2,VALLURNTECL,NAPP,MAPS,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,URI,URI2,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,DADRI_LF,DADRI_RF,RAPPB,RAMPUR,RAPPC,RIHAND2,RIHAND1,RSTPSU1TO6,RAPPD,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.62,0,15.13,0,0,169.43,0,0,23.74,380.85,0,0,40.92,15.84,53.38,253.1,0,395,0,0,56,17.68,0,0,87.73,43.88,0,94.01,0,6.71,8.31,29.33,19.99,0,12.59,0,0,65.99,0,2.52,0,23.73,0,22.75,36.93,17.12,1.46,0,0,0,0,0,0,0,0,0,51.07,36.07,0,0,0,0,0,0,0,0,5.49,63.05,120.74,94.76,0,23.45,126.1,0,0,0,0,0

2,00:15-00:30,40.62,0,13.71,0,0,169.43,0,0,23.74,380.85,0,0,40.92,16.08,53.38,253.1,0,395.76,0,0,56,17.68,0,0,87.73,43.88,0,94.01,0,6.71,8.31,29.33,19.99,0,12.59,0,0,65.99,0,2.52,0,23.73,0,19.24,31.32,15.23,1.46,0,0,0,0,0,0,0,0,0,51.07,36.07,0,0,0,0,0,0,0,0,5.49,63.05,120.74,94.76,0,23.45,126.1,0,0,0,0,0

3,00:30-00:45,40.62,0,14.26,0,0,169.43,0,0,23.74,332.66,0,0,40.92,16.08,53.38,253.1,0,395.76,0,0,0,17.68,0,0,87.73,43.88,0,94.01,0,6.71,8.31,29.33,19.99,0,12.59,0,0,65.99,0,2.52,0,23.73,0,19.24,31.32,15.23,1.46,0,0,0,0,0,0,0,0,0,42.56,30.04,0,0,0,0,0,0,0,0,5.49,63.05,120.74,94.76,0,23.45,126.1,0,0,0,0,0

4,00:45-01:00,40.62,0,13.49,0,0,169.43,0,0,23.74,263.26,0,0,40.92,16.08,53.38,253.1,0,395.76,0,0,0,17.68,0,0,87.73,43.88,0,94.01,0,6.71,8.31,29.33,19.99,0,12.59,0,0,65.99,0,2.52,0,23.73,0,19.24,31.32,15.23,1.46,0,0,0,0,0,0,0,0,0,42.56,30.04,0,0,0,0,0,0,0,0,5.49,63.05,120.74,94.76,0,23.45,126.1,0,0,0,0,0

5,01:00-01:15,40.62,0,13.45,0,0,169.43,0,0,23.74,191.94,0,0,40.92,16.08,53.38,251.18,0,395.76,0,0,0,17.68,0,0,87.73,43.88,0,94.01,0,6.71,8.31,29.33,19.99,0,12.59,0,0,65.99,0,2.52,0,23.73,0,19.24,31.32,15.23,1.46,0,0,0,0,0,0,0,0,0,42.56,36.07,0,0,0,0,0,0,0,0,5.49,63.05,120.74,94.76,0,23.45,126.1,0,0,0,0,0

