Block,Time,L_NR_2012_04,SH-06,SH-07,L_NR_2012_01,L_NR_2023_04,LT-31,LT-36,L_NR_2012_07,L_NR_2012_02,LT-59,L_NR_2019_19,LT_MEJA_Delhi,LT-05,L_NR_2019_11,L_NR_2020_02,LT-35,L_NR_2019_07,L_NR_2022_09,L_NR_2022_08,L_NR_2021_17,L_NR_2020_06,L_NR_2022_10,L_NR_2019_05,L_NR_2021_12,L_NR_2018_61,L_NR_2019_06,L_NR_2021_13,L_NR_2020_07,L_NR_2020_05,L_NR_2021_14,L_NR_2021_16,L_NR_2021_15
1,00:00-00:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,87.270000,261.810000,5.760000,0.000000,1.980000,116.140000,9.230000,8.750000,0.000000,0,56.85,12.99,0,22.51,56.85,0,0,6.92,0,0,22.5,67.52,0,0,0

2,00:15-00:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,87.270000,261.810000,5.760000,0.000000,1.980000,116.140000,9.230000,8.750000,0.000000,0,57.55,13.04,0,23.41,57.55,0,0,6.82,0,0,23.41,70.22,0,0,0

3,00:30-00:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,87.270000,261.810000,8.950000,0.000000,1.980000,116.140000,9.230000,8.750000,0.000000,0,53.4,13.48,0,20.31,53.4,0,0,6.85,0,0,20.31,60.92,0,0,0

4,00:45-01:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,213.430000,8.950000,0.000000,1.980000,116.140000,9.230000,8.750000,0.000000,0,53.66,13.55,0,20.57,53.66,0,0,6.85,0,0,20.57,61.71,0,0,0

5,01:00-01:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.950000,0.000000,1.980000,116.140000,9.230000,8.560000,0.000000,0,53.88,13.66,0,21.09,53.88,0,0,6.9,0,0,21.11,63.28,0,0,0

6,01:15-01:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.950000,0.000000,1.980000,116.140000,9.230000,8.560000,0.000000,0,54.22,13.77,0,21.8,54.22,0,0,6.97,0,0,21.79,65.39,0,0,0

7,01:30-01:45,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.950000,0.000000,1.980000,116.140000,9.230000,8.560000,0.000000,0,54.55,9.13,0,22.5,54.55,0,0,6.99,0,0,22.5,67.5,0,0,0

8,01:45-02:00,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.950000,0.000000,1.980000,116.140000,9.230000,8.560000,0.000000,0,50.18,9.46,0,17.62,50.18,0,0,6.87,0,0,17.62,52.85,0,0,0

9,02:00-02:15,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.560000,0.000000,1.980000,116.140000,8.850000,8.280000,0.000000,0,50.88,9.97,0,18.2,50.88,0,0,6.86,0,0,18.21,54.62,0,0,0

10,02:15-02:30,272.110000,0.000000,0.000000,101.350000,0.000000,0.000000,0.000000,63.450000,201.600000,8.560000,0.000000,1.980000,116.140000,8.850000,8.280000,0.000000,0,51.42,10.43,0,18.55,51.42,0,0,6.99,0,0,18.54,55.64,0,0,0

