Column1,Time,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_17,GNA/WR/2025/01/01/9606,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/01/6528,GNA/WR/2024/11/01/4200,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3514,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/02/1250,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/01/01/3945,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/6775,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/5531,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3925,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,13,0,13.01,0,0,0,0,0,28.34,39,13,0,0,0,0,52.57,8.6,0,0,0,28.33,8.33,0,0,0,19.12,69.71,0,47.8,0,0,28.68,1.47,28.68,63.09,132.68,28.68,59.1,47.8,28.68,0,20.07,26.77,0,0,47.8,1.06,1.46

2,00:15-00:30,0,12.83,0,13.01,0,0,0,0,0,28,38.51,12.83,0,0,0,0,52.57,8.6,0,0,0,28,8.33,0,0,0,19.12,69.71,0,47.8,0,0,28.68,1.47,28.68,63.09,132.68,28.68,59.1,47.8,28.68,0,20.07,26.77,0,0,47.8,1.06,1.46

3,00:30-00:45,0,12.67,0,13.21,0,0,0,0,0,28,37.99,12.67,0,0,0,0,52.57,8.6,0,0,0,28,8.33,0,0,0,19.12,69.71,0,47.8,0,0,28.68,1.47,28.68,63.09,114.71,28.68,59.1,47.8,28.68,0,20.07,26.77,0,0,47.8,1.06,1.46

4,00:45-01:00,0,12.5,0,13.41,0,0,0,0,0,27.66,37.5,12.5,0,0,0,0,52.57,8.6,0,0,0,27.67,8,0,0,0,19.12,69.71,0,47.8,0,0,28.68,1.47,28.68,63.09,95.59,28.68,59.1,47.8,28.68,0,20.07,26.77,0,0,47.8,1.06,1.46

5,01:00-01:15,0,12.5,0,13.61,0,0,0,0,0,27.34,37.5,12.5,0,0,0,0,52.57,8.6,0,0,0,27.33,8,0,0,0,19.12,69.71,0,47.8,0,0,25.81,1.47,25.81,63.09,74.33,28.68,59.1,47.8,25.81,0,20.07,26.77,0,0,47.8,1.06,1.46

6,01:15-01:30,0,12.5,0,13.81,0,0,0,0,0,27,37.5,12.5,0,0,0,0,52.57,8.6,0,0,0,27,8,0,0,0,19.12,69.71,0,47.8,0,0,25.81,1.47,25.81,63.09,74.33,28.68,59.1,47.8,25.81,0,20.07,26.77,0,0,47.8,1.06,1.46

