Column1,Block,NR/2024/23149/C,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/2171,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/2024/23121/A/37679,NR/2024/23119/A/37678,NR/2024/22754/A/37699,NR/2024/23017/A/37470,NR/2024/21658/A/37463,NR/2024/23118/A/37674,NR/2024/22820/A/37430,NR/2024/22803/A/37662,NR/2024/23122/A/37677,NR/2024/22874/A/37661,NR/2024/22835/A/37655,NR/2024/23147/C,NR/2024/23148/C,NR/2024/23142/C,NR/2024/23146/C,NR/2024/22848/A/37706,NR/2024/23038/A/37426,NR/2024/23115/A/37490,NR/2024/23116/A/37493,Total
,,SJVNL,MANIKARAN,APPCPL,TPTCL,MANIKARAN,BAWANA_GAS,PTC,INSTINCT,PUNJAB,JITPL,DELHI,DELHI,NVVNL,NVVNL,PTC,DIAPL,ITCLH,NVVNL,IEXL,NVVNL,NVVNL,NVVNL,MANIKARAN,NVVNL,NVVNL,TPDDL,NVVNL,APPCPL,IEXL,SJVNL,SJVNL,
,,NA,MP_State,Arunachal_State,NA,ODISHA_STATE,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,NA,NA,MP_State,MSEB_State,NA,NA,NA,NA,UTTARAKHAND_STATE,MSEB_State,NA,NA,
,,TPSL_BKN2,BLAPOWER_MP,Arunachal_Ben,JITPL,MAADURGA_THERMAL,BAWANA_GAS,HP,JPL2,BAWANA_GAS,JITPL,CHANJUII,SKS_Raigarh,RKM_POWER,RKM_POWER,HP,GBHHPL,ITCWIND,TRN_ENERGY,NSLSUGAR,JPNIGRIE_JNSTPP,JPL2,JP_BINA,AEML,Kameng,SORANG_HEP,JHAJJAR,SOLAPUR_SOLAR,UTTARAKHAND,A_A_Energy_MH_Bio,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,BRPL,PUNJAB,NDMC,TPDDL,NDMC,NDMC,NDMC,BYPL,DIAPL,ITCLH,NDMC,MES_Delhi,TPDDL,NDMC,TPDDL,BYPL,TPDDL,TPDDL,TPDDL,MES_Delhi,BYPL,MES_Delhi,NDMC,NDMC,
,,North-North,West-North,North East-East-North,East-North,East-North,North-North,North-North,West-North,North-North,East-North,North-North,West-North,West-North,West-North,North-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,North-North,North-North,
1,00:00-00:15,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.38,8.81,26.43,26.43,48.46,8.72,0.87,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.39

2,00:15-00:30,0,21.81,32.95,24.23,2.42,32,145.38,96.92,0,17.52,11.38,8.81,26.43,26.43,48.46,8.72,0.87,8.81,4.85,96.92,26.43,48.46,91.1,165.01,28.11,0,0,84.49,3.88,0,0,1062.39

