Block,Time Block,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,BSIUL,KUDGI,TALST2,SINGRAULI_HYDRO,TALA,TANDA2,SINGRAULI,TANAKPUR,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,DADRI_GF,URI2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,URI,AURY_CRF,AURY_RF,DADRI_LF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,KOTESHWR,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRT2,UNCHAHAR2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,TEHRI,UNCHAHAR3,RAPPB,SALAL,SEWA2,RIHAND3,RIHAND1,RIHAND2,RAPPC,SASAN,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,RAMPUR,NJPC,MAPS,NAPP,NLCIIST1,PARBATI3,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,NLCEXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,19.24,0,0,0,0,0,0,0,0,121.16,1.97,232.76,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,25.48,0,0,0,0,0,0,0,8.53,8.69,0,0,341.57,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,18.15,0,0,0,0,0,0,0,0,121.16,8.01,232.76,0,0,81.96,0,0,0,0,37.49,0,18.11,0,0,0,0,0,25.48,0,0,0,0,0,0,0,8.53,8.69,0,0,293.48,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,15.57,0,0,0,0,0,0,0,0,121.16,8.01,232.76,0,0,81.96,0,0,0,0,37.49,0,18.11,0,0,0,0,0,25.48,0,0,0,0,0,0,0,8.53,8.69,0,0,245.39,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,14.51,0,0,0,0,0,0,0,0,121.16,8.01,232.76,0,0,81.96,0,0,0,0,37.49,0,18.11,0,0,0,0,0,3.18,0,0,0,0,0,0,0,8.53,8.69,0,0,189.15,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,14.24,0,0,0,0,0,0,0,0,104.42,2.46,232.76,0,0,81.96,0,0,0,0,37.49,0,18.11,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,14.71,0,0,0,0,0,0,0,0,104.42,2.46,232.76,0,0,81.96,0,0,0,0,37.49,0,18.11,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,30.56,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,13.68,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,32.21,0,18.11,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,14.79,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,32.21,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,12.23,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,11.62,0,0,0,0,0,0,0,0,104.42,8.01,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,15.31,0,0,0,0,0,0,0,0,104.42,8.01,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,15.78,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,15.6,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,14.8,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,0,17.94,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,0,18.15,0,0,0,0,0,0,0,0,104.42,2.46,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,0,18.24,0,0,0,0,0,0,0,0,104.42,8.01,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,0,19.24,0,0,0,0,0,0,0,0,104.42,8.01,230.83,0,0,81.96,0,0,0,0,37.49,0,4.27,0,0,0,0,0,1.28,0,0,0,0,0,0,0,8.53,8.69,0,0,187.69,22.75,0,14.9,0,0,19.27,0,1.35,0,119.57,88.49,114.22,51.99,378.71,0,0,0,0,0,0,0,40.16,0,0,0,0,0,0,0,0,0,0,0,0

