Block,Time,CHAMERA3,MAPS,NAPP,NLCTS2EXP,RIHAND1,RSTPSU1TO6,SALAL,SIMHST2,SINGRAULI,KUDGI,PARBATI2,RAPPC,RAPPD,RIHAND2,SIMHST1,TelanganaSTPP,UNCHAHAR4,URI2,ANTA_LF,ANTA_RF,AURY_CRF,AURY_LF,CHAMERA2,KHSTPP-II,KISHANGANGA,KOLDAM,NLCEXP,PARBATI3,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,URI,VALLURNTECL,KGSU3AND4,KKNPPU2,NTPL,SASAN,UNCHAHAR2,DADRI_GF,FSTPP I & II,KKNP,NLCIIST2,RSTPSU7,TALST2,TANDA2,TEHRI,DADRI_RF,CHAMERA1,DHAULIGNGA,KGSU1AND2,KOTESHWR,RAPPB,RIHAND3,SEWA2,AURY_RF,DADRI_CRF,BRBCL,BSIUL,DADRT2,JHAJJAR,KHSTPP-I,NJPC,NNTPP,ANTA_GF,AURY_GF,DULHASTI,NLCIIST1,RAMPUR,TALA,TEHRIPSP,UNCHAHAR3,ANTA_CRF,DADRI_LF
1,00:00-00:15,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.09,0,0,47.12,98.87,3.84,8.62,0,0,0,11.02,21.65,52.99,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.17,0,27.69,0,0

2,00:15-00:30,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.09,0,0,47.12,98.87,3.84,8.62,0,0,0,11.02,21.65,52.99,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.17,0,27.69,0,0

3,00:30-00:45,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.09,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,52.99,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.17,0,27.69,0,0

4,00:45-01:00,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.09,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.17,0,27.69,0,0

5,01:00-01:15,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.34,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

6,01:15-01:30,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.34,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

7,01:30-01:45,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.34,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

8,01:45-02:00,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.34,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,40.57,0,130.84,18.34,80.91,0,24.99,0,589.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

9,02:00-02:15,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

10,02:15-02:30,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

11,02:30-02:45,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

12,02:45-03:00,33.94,0,24.48,0,98.32,0,51.13,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,11.02,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.61,0,27.69,0,0

13,03:00-03:15,33.94,0,24.48,0,98.32,0,46.48,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,9.86,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.76,0,27.69,0,0

14,03:15-03:30,33.94,0,24.48,0,98.32,0,46.48,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,37.42,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,9.86,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.76,0,27.69,0,0

15,03:30-03:45,33.94,0,24.48,0,98.32,0,46.48,0,98.76,0,24.63,65.1,24.33,125.27,0,0,3.22,31.17,0,52.59,0,0,47.12,98.87,4.7,8.62,0,0,0,9.86,21.65,48.57,0,0,0,0,348.98,45,0,18.76,0,0,0,0,5.73,67.23,105.39,42.15,42.46,0,20.29,0,130.84,18.34,80.91,0,24.99,0,689.38,667.25,45.53,175.79,0,0,0,55.38,0,5.7,21.76,0,27.69,0,0

