Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/06/9700,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/2197,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/1766,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/12/06/7927,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,GNA/SR/2024/12/01/6968,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0,114.9,1.61,114.35,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,25.23,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

2,00:15-00:30,0,114.9,1.61,94.2,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,25.23,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

3,00:30-00:45,0,114.9,1.61,74.6,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,25.23,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

4,00:45-01:00,0,114.9,1.61,74.6,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14.33,14.34,0,6.83,20.51,0,0,6.67

5,01:00-01:15,0,114.9,1.61,74.6,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,26.24,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14.33,14.34,0,6.83,20.51,0,0,6.67

6,01:15-01:30,0,94.45,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,26.24,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

7,01:30-01:45,0,94.45,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,26.24,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

8,01:45-02:00,0,94.45,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.3,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

9,02:00-02:15,0,94.45,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.22,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

10,02:15-02:30,0,114.9,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.22,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,6.67

11,02:30-02:45,0,114.9,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.22,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,5.67

12,02:45-03:00,0,114.9,1.61,74.6,57.47,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.22,0,25.74,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,5.67

13,03:00-03:15,0,114.9,1.61,74.6,76.29,31.71,0,8.63,25.9,0,8.63,95.13,25.9,2.01,0,25.9,0,0,1.22,0,25.23,0,0,0,34.98,0.93,0,150,0,0,0,0,0,0,0,0,6.83,7,14,14,0,6.83,20.51,0,0,5.67

