Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21933/A/34453,NR/2024/21966/A/34511,NR/2024/21860/A/34687,NR/2024/21961/A/34712,NR/2024/21938/A/34727,NR/2024/22279/A/34418,NR/2024/21968/A/34798,NR/2024/21956/A/34746,NR/2024/21658/A/34412,NR/2024/21970/A/34799,NR/2024/21983/A/34452,NR/2024/21911/A/34696,NR/2024/22852/C,NR/2024/21974/A/34801,NR/2024/22838/C,NR/2024/21814/A/34802,NR/2024/22853/C,NR/2024/22010/A/34785,NR/2024/22498/A/34786,NR/2024/22623/A/34515,NR/2024/22042/A/34421,NR/2024/22014/A/34422,NR/2024/21943/A/34743,NR/2024/21971/A/34800,NR/2024/21918/A/34783,NR/2024/21954/A/34744,NR/2024/21940/A/34745,NR/01082024/31082024/jitpl,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/APL-Raigarh_august,NR/2024/22851/C,NR/2024/22611/A/34514,NR/2024/22610/A/34513,Total
,,DELHI,BAWANA_GAS,PUNJAB,TPTCL,DELHI,APPCPL,INSTINCT,MANIKARAN,DELHI,TPTCL,INSTINCT,TPDDL,PTC,PTC,IEXL,NVVNL,APPCPL,ITCLH,NVVNL,TPTCL,AEL,NVVNL,NVVNL,TPDDL,NVVNL,NVVNL,MANIKARAN,MANIKARAN,DIAPL,IEXL,IEXL,APPCPL,NVVNL,MANIKARAN,APPCPL,APPCPL,JITPL,TPTCL,APL_Raigarh_TPP,NVVNL,SJVNL,SJVNL,
,,NA,DELHI_UT,DELHI_UT,NA,MSEB_State,Arunachal_State,NA,MP_State,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,NA,KERALA_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,NA,GOA_State,MP_State,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,MSEB_State,NA,MSEB_State,Manipur_State,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,NA,
,,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,SIMHAPURI,MSEB_Beneficiary,Arunachal_Ben,JPL2,BLAPOWER_MP,CHANJUII,ACBIL,JPL2,JPL2,HP,HP,NSLSUGAR,JPL2,KSEB,ITCWIND,TRN_ENERGY,SIMHAPURI,APL_Raigarh_TPP,SORANG_HEP,RKM_POWER,JHAJJAR,JPNIGRIE_JNSTPP,Kameng,GOA_Beneficiary,BLAPOWER_MP,GBHHPL,A_A_Energy_MH_Bio,NHCPL_HP,AEML,RKM_POWER,AEML,Manipur_Ben,UTTARAKHAND,JITPL,ACBIL,APL_Raigarh_TPP,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,
,,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,HARYANA,PUNJAB,BRPL,TPDDL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BYPL,MES_Delhi,NDMC,BYPL,ITCLH,NDMC,BRPL,BRPL,TPDDL,NDMC,TPDDL,TPDDL,TPDDL,BRPL,BRPL,DIAPL,MES_Delhi,MES_Delhi,BRPL,NDMC,BYPL,BRPL,BYPL,NDMC,BRPL,BRPL,MES_Delhi,NDMC,NDMC,
,,West-North,North-North,North-North,South-West-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,South-East-West-North,West-North,South-West-North,South-West-North,West-North,South-East-North,West-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,North-North,West-North,West-North,West-North,North East-East-North,North-North,East-North,West-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,12.48,32,26.243,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1562.3930000000003

2,00:15-00:30,12.48,32,26.243,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1562.3930000000003

3,00:30-00:45,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9642000000003

4,00:45-01:00,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9642000000003

5,01:00-01:15,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9142000000004

6,01:15-01:30,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9142000000004

7,01:30-01:45,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9142000000004

8,01:45-02:00,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.61,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.9142000000004

9,02:00-02:15,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.7342000000006

10,02:15-02:30,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.7342000000006

11,02:30-02:45,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.7342000000006

12,02:45-03:00,12.48,26.9071,26.9071,48.44,0,38.76,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1557.7342000000006

13,03:00-03:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.9742000000006

14,03:15-03:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.9742000000006

15,03:30-03:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.9742000000006

16,03:45-04:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.43,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.58,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.9742000000006

17,04:00-04:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.7342000000003

18,04:15-04:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.7342000000003

19,04:30-04:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.7342000000003

20,04:45-05:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,67.82,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1518.7342000000003

21,05:00-05:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,24.22,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1475.1342000000004

22,05:15-05:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,24.22,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1475.1342000000004

23,05:30-05:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,24.22,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1475.1342000000004

24,05:45-06:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,14.24,0,0,48.44,98.1,32.7,4.84,37.43,24.22,0.53,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0,0,0,1474.1642000000004

25,06:00-06:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.03,0,0,1339.0642000000003

26,06:15-06:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.04,0,0,1339.0742000000002

27,06:30-06:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.16,0,0,1339.1942000000004

28,06:45-07:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.63,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.67,0,0,1339.7042000000004

29,07:00-07:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,0.89,0,0,1340.0242000000003

30,07:15-07:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,1.68,0,0,1340.8142000000003

31,07:30-07:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,1.29,0,0,1340.4242000000002

32,07:45-08:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.73,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,7.75,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,2.9,0,0,1342.0342000000003

33,08:00-08:15,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.97,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,3.9,0,0,1344.2442000000003

34,08:15-08:30,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.97,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,4.32,0,0,1344.6642000000002

35,08:30-08:45,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.97,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,8.72,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,3.41,0,0,1343.7542000000003

36,08:45-09:00,12.48,26.9071,26.9071,48.44,0,0,96.89,21.32,9.81,0,0,48.44,0,0,4.84,37.43,24.22,0.97,12.48,0,0,28.1,37.43,242.22,48.44,164.96,11.76,0,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,24.22,96.89,3.65,0,0,1344.9642000000003

37,09:00-09:15,12.48,26.9071,26.9071,0,0,0,0,0,9.81,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,9.69,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.08,10.66,42.63,1399.6242000000004

38,09:15-09:30,12.48,26.9071,26.9071,0,0,0,0,0,9.81,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,1.55,10.66,42.63,1398.0342000000005

39,09:30-09:45,12.48,26.9071,26.9071,0,0,0,0,0,9.81,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,2.12,10.66,42.63,1398.6042000000004

40,09:45-10:00,12.48,26.9071,26.9071,0,0,0,0,0,9.81,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,7.32,10.66,42.63,1403.8042000000005

41,10:00-10:15,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,11.63,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,2.76,10.66,42.63,1403.8642000000004

42,10:15-10:30,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,3.43,10.66,42.63,1405.5042000000003

43,10:30-10:45,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,4.77,10.66,42.63,1406.8442000000002

44,10:45-11:00,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,2.54,10.66,42.63,1404.6142000000002

45,11:00-11:15,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,1.8,10.66,42.63,1403.8742000000002

46,11:15-11:30,12.48,26.9071,26.9071,0,0,0,0,0,14.43,24.22,96.89,48.44,0,0,4.84,37.43,24.22,0.97,12.48,48.44,96.89,61.04,37.43,242.22,48.44,131.96,11.76,21.32,12.6,3.88,1.94,38.76,37.43,91.08,24.14,84.47,24.77,0,0,5.02,10.66,42.63,1407.0942000000002

