Column1,Time,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5474,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/11/01/9042,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/5428,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5444,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/3646,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/4503,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06
1,00:00-00:15,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,96.04,25.93,25.23,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

2,00:15-00:30,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.23,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

3,00:30-00:45,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

4,00:45-01:00,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

5,01:00-01:15,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

6,01:15-01:30,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

7,01:30-01:45,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,151.66,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

8,01:45-02:00,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.53,17.29,57.34,25.93,170.61,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

9,02:00-02:15,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.45,17.29,57.34,25.93,122.59,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

10,02:15-02:30,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.45,17.29,57.34,25.93,110.45,2.3,8.64,0,74.68,25.93,25.74,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

11,02:30-02:45,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.45,17.29,57.34,25.93,110.45,2.3,8.64,0,74.68,25.93,25.23,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

12,02:45-03:00,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.16,142.69,1.45,17.29,57.34,25.93,110.45,2.3,8.64,0,74.68,25.93,25.23,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

13,03:00-03:15,0,0,0,0,6.67,6.67,0,19.99,6.67,13.33,0,0,0,0,0,0,13.34,0,0,0,7.2,1.09,142.69,1.45,17.29,57.34,25.93,110.45,2.3,8.64,0,74.68,25.93,25.23,25.93,47.56,1.71,0,8.64,0,70.02,0,52.82,0

