Column1,Time,GNA/NR/2024/12/26/3604,GNA/NR/2024/12/01/1899,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/12/01/1766,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/1475,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/26122029/SH-06,GNA/NR/2024/12/01/3428,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,GNA/SR/2024/12/01/6968,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/26/3210,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,NR/01102023/19072037/LT-05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,0,8.74,64.45,22.3,24.72,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.22,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,38.33,115.01,82.34,0,36,38.33,0,82.33,5,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,8.74,64.45,22.3,25.23,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.22,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,38.17,114.49,81,0,34.67,38.17,0,81,5,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.22,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,30,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.22,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,30,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,8.74,64.45,22.3,26.24,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,30,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,8.74,64.45,22.3,26.24,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,30,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,8.74,64.45,22.3,26.24,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,30,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,29.34,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,28.34,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,83.34,0,27.66,33.34,0,83.33,5,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,81.34,0,26.66,33.34,0,81.33,5,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,8.74,64.45,22.3,25.73,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.65,0.69,1.14,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,81.66,0,25.66,33.34,0,81.67,5,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,8.74,64.45,22.3,25.23,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.74,0,1.07,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,75.66,0,25,33.34,0,75.67,5,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,8.74,64.45,22.3,25.23,57.43,22.3,26.23,0,0,0,8.74,52.91,0,1.74,0,1.07,0,150,0,0,0,74.81,1.62,142.69,47.56,70.15,0,33.33,100,73.66,0,24.66,33.34,0,73.67,5,0,0,0,0,0,0,0,0,0,0

