Block,Time Block,KUDGI,ANTA_CRF,NAPP,NTPL,RAPPB,PARBATI3,NLCEXP,MAPS,NLCIIST1,NLCIIST2,NJPC,RAMPUR,NLCTS2EXP,NNTPP,VALLURNTECL,TANDA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,CHAMERA1,BSIUL,CHAMERA3,BRBCL,CHAMERA2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KKNPPU2,KOLDAM,KISHANGANGA,JHAJJAR,KHSTPP-I,KGSU1AND2,KOTESHWR,KGSU3AND4,KHSTPP-II,KKNP,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,ANTA_GF,DADRI_CRF,DADRI_RF,AURY_CRF,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALST2,SEWA2,SINGRAULI,SALAL,RIHAND2,RIHAND3,TALA,RIHAND1,RAPPC,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,17.71,0,34.81,22.88,10.88,0,36.34,12.8,34.22,27.14,6.3,30.98,16.64,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,313.18,42.79,0,18.87,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,379.76,0,0,0,0,0

2,00:15-00:30,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,17.71,0,34.81,22.88,10.88,0,36.34,12.8,34.22,27.14,6.3,30.98,15.21,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,313.18,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,380.24,0,0,0,0,0

3,00:30-00:45,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,17.71,0,34.81,22.88,10.88,0,36.34,21.32,34.22,27.14,6.3,30.98,13.83,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,313.18,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,380.24,0,0,0,0,0

4,00:45-01:00,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,17.71,0,19.97,22.74,10.88,0,36.14,21.32,34.22,27.14,6.3,30.98,14.14,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,313.18,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,380.24,0,0,0,0,0

5,01:00-01:15,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,19.97,18.78,10.88,0,30.33,21.32,34.22,27.14,6.3,30.98,13.7,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,216.61,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,380.24,0,0,0,0,0

6,01:15-01:30,0,0,43.68,0,0,16.96,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,19.97,18.78,10.88,0,30.33,21.32,34.22,27.14,6.3,30.98,12.86,42.7,39.01,19.46,51.95,583.87,0,5.17,1.39,168.32,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.01,87.43,58.16,380.24,0,0,0,0,0

7,01:30-01:45,0,0,43.68,0,0,3.8,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,19.97,18.78,10.88,0,30.33,8.53,34.22,27.14,6.3,30.98,10.63,42.7,39.01,17.88,51.95,583.87,0,5.17,1.39,111.15,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.13,87.43,58.16,380.24,0,0,0,0,0

8,01:45-02:00,0,0,43.68,0,0,3.8,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,19.97,18.78,10.88,0,30.33,8.53,34.22,27.14,6.3,30.98,10.63,42.7,39.01,17.88,51.95,583.87,0,5.17,1.39,111.15,42.79,0,18.66,0,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.13,87.43,58.16,380.24,0,0,0,0,0

9,02:00-02:15,0,0,43.68,0,0,3.8,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,34.81,18.78,10.88,0,30.33,8.53,34.22,27.14,6.3,30.98,10.63,42.7,39.01,17.88,51.95,583.87,0,5.17,1.39,111.15,37.72,0,18.66,0,82.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.13,87.43,58.16,380.24,0,0,0,0,0

10,02:15-02:30,0,0,43.68,0,0,3.8,0,0,0,0,161.37,3.42,0,0,0,0,13.55,0,34.81,18.78,10.88,0,30.33,8.53,34.22,27.14,6.3,30.98,11.02,42.7,39.01,17.88,51.95,583.87,0,5.17,1.39,111.15,37.72,0,18.66,0,82.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6,80.8,117.54,123.22,10.13,87.43,58.16,380.24,0,0,0,0,0

