Block,Time Block,BSIUL,BRBCL,CHAMERA1,ANTA_RF,ANTA_CRF,ANTA_LF,ANTA_GF,DADRI_CRF,AURY_CRF,AURY_RF,DADRI_LF,DADRI_RF,AURY_LF,DADRI_GF,AURY_GF,VALLURNTECL,UNCHAHAR4,TANAKPUR,TelanganaSTPP,URI2,UNCHAHAR2,UNCHAHAR3,TEHRI,UNCHAHAR1,URI,TANDA2,RAMPUR,RIHAND2,SASAN,TALST2,RIHAND1,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,RAPPC,SIMHST2,TALA,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,RAPPB,NLCTS2EXP,NNTPP,NTPL,NLCIIST1,PARBATI3,NLCIIST2,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,MAPS,NAPP,NJPC,NLCEXP,KKNP,KISHANGANGA,KHSTPP-II,KOTESHWR,KUDGI,KKNPPU2,KOLDAM,CHAMERA3,CHAMERA2,DADRT2,KHSTPP-I,KGSU1AND2,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,18.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,8.74,18.24,15.81,234.56,0,40.27,0,0,0,0,128.71,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

2,00:15-00:30,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,8.74,17.41,15.81,234.56,0,40.27,0,0,0,0,128.71,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

3,00:30-00:45,0,15.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,13.39,0,119.3,0,0,0,0,0,0,0,8.74,17.41,15.81,234.56,0,40.27,0,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

4,00:45-01:00,0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,76.17,0,119.3,0,0,0,0,0,0,0,8.74,17.41,15.81,234.56,0,40.27,0,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

5,01:00-01:15,0,16.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,76.17,0,119.3,0,0,0,0,0,0,0,1.27,17.41,15.81,234.56,0,40.27,0,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

6,01:15-01:30,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,76.17,0,119.3,0,0,0,0,0,0,0,1.27,17.41,15.81,234.56,0,40.27,0,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

7,01:30-01:45,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,76.17,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,135.43,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

8,01:45-02:00,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,13.39,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,140.87,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

9,02:00-02:15,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,140.87,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

10,02:15-02:30,0,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,140.87,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

11,02:30-02:45,0,16.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,135.43,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

12,02:45-03:00,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,15.81,234.56,0,40.27,0,0,0,0,135.43,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

13,03:00-03:15,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,0,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

14,03:15-03:30,0,18.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

15,03:30-03:45,0,18.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

16,03:45-04:00,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

17,04:00-04:15,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

18,04:15-04:30,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

19,04:30-04:45,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

20,04:45-05:00,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,15.01,31.63,234.56,0,40.27,19.99,0,0,0,123.91,8.51,0,0,0,0,2.3,286.74,34.03,0,0,0,0,0,0,0

21,05:00-05:15,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,1.27,14.89,31.63,234.56,0,40.27,36.35,0,0,0,139.67,8.51,0,0,0,0,2.3,286.74,33.8,0,0,0,0,0,0,0

22,05:15-05:30,0,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.33,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,2.24,0,119.3,0,0,0,0,0,0,0,8.74,14.89,31.63,234.56,0,40.27,54.52,0,0,0,140.87,8.51,0,0,0,0,2.3,286.74,33.8,0,0,0,0,0,0,0

23,05:30-05:45,1.06,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.93,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,0,119.3,0,0,0,0,0,0,0,8.74,14.89,31.63,234.56,0,40.27,88.87,0,0,0,140.87,8.51,0,0,0,0,2.3,286.74,33.8,0,0,0,0,0,0,0

24,05:45-06:00,2.11,19.19,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,14.63,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,0,119.3,0,0,0,0,0,2.45,0,17.49,14.89,47.43,234.56,0,40.27,112.23,0,0,0,140.87,8.51,0,0,0,9.29,3.84,286.74,33.8,0,0,0,0,0,0,0

25,06:00-06:15,6.26,19.19,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,29.87,14.42,0,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,0,119.3,0,0,0,0,0,6.1,0,26.37,17.66,47.43,234.56,0,40.27,134.67,0,0,0,140.87,8.51,0,0,0,18.58,11.52,286.74,33.8,0,0,0,0,0,0,0

26,06:15-06:30,18.77,19.19,13.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,4.39,30.34,18.8,29.87,14.42,1.07,0,0,113.54,401.85,0,88.06,0,0,0,50.04,0,0,0,99.95,12.26,5.06,119.3,0,0,0,0,0,31.76,0,36.13,19.96,47.43,234.56,0,40.27,134.67,0,0,0,140.87,18.92,0,0,0,27.89,37.91,286.74,39.07,0,0,0,0,0,0,0

