Time,Block,NR/2023/11470/A,NR/2023/11739/A,NR/2023/15315/C,NR/2023/11654/A,NR/2023/13858/A,NR/2023/14187/F,NR/2023/15285/C,NR/2023/13983/F,NR/2023/11954/A,NR/2023/15272/D,NR/2023/13284/A,NR/2023/15281/C,NR/2023/15295/C,NR/2023/15282/C,NR/2023/13859/A,NR/2023/15274/D,NR/2023/13983/F/II,ER/2023/9387/C,NR/2023/11315/A,NR/2023/15283/C,NR/2023/11469/A,NR/2023/15271/D,NR/2023/11328/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/15287/C,NR/2023/15275/D,NR/2023/15286/C,NR/2023/11458/A,NR/2023/14688/F,NR/2023/11325/A,NR/2023/15276/C,NR/2023/15268/D,NR/2023/13283/A,NR/2023/11697/A,NR/2023/14688/F/II,Total
,,NVVNL,NVVNL,TPDDL,TPTCL,MANIKARAN,GBHHPL,HPXL,ITCLH,KEIPL,NVVNL,APPCPL,HPXL,PXIL,PXIL,MANIKARAN,SJVNL,ITCLH,HPXL,GMRETL,PXIL,NVVNL,NVVNL,APPCPL,MANIKARAN,KEIPL,NVVNL,IEXL,SJVNL,GBHHPL,STATKRAFT,GMRETL,APPCPL,SJVNL,KEIPL,APPCPL,APPCPL,GMRETL,Total

,,NA,MP,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,UTTAR PRADESH,DELHI,UTTAR PRADESH,HIMACHAL PRADESH,NA,ANDHRA PRADESH,DELHI,MEGHALAYA,MAHARASHTRA,NA,NA,UTTARAKHAND,TAMIL NADU,MEGHALAYA,NA,KARNATAKA,WEST BENGAL,HIMACHAL PRADESH,TAMIL NADU,GOA,MEGHALAYA,UTTAR PRADESH,UTTAR PRADESH,GOA,HIMACHAL PRADESH,GOA,
,,KAMENG,JP BINA,CHANJUII,JPL-2,HP,GBHHPL,Teesta_III,ITCWIND,Meghalaya_Ben,KAMENG,HP,PPGCL,BYPL,LAPL-UP,HP,DIKCHU,ITCWIND,BYPL,Meghalaya_Ben,LMEL MSEB,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,UTTARAKHAND,TANGEDCO,Meghalaya_Ben,SKS Raigarh,NSLSUGAR,IPCL_WB,GBHHPL,TANGEDCO,GOA_Beneficiary,Meghalaya_Ben,BCMLB001,LAPL-UP,GOA_Beneficiary,HP,GOA_Beneficiary,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,TPDDL,BRPL,BRPL,DIAPL,BRPL,ITCLH,BYPL,TPDDL,BRPL,BRPL,ASIL_UP,BRPL,BRPL,NDMC,ITCLH,VLSEZ,BYPL,BRPL,BRPL,MES (Delhi),BYPL,BRPL,BYPL,NDMC,MES (Delhi),NDMC,DIAPL,BYPL,TPDDL,BYPL,NDMC,BYPL,BRPL,BYPL,TPDDL,
,,North East-East-North,West-North,North-North,West-North,North-North,North-North,East-North,South-West-North,North East-East-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,East-North,South-East-North,North-East,North East-East-North,West-North,West-North,West-North,North-North,South-West-North,North East-East-North,West-North,South-East-North,East-North,North-North,South-West-North,West-East-North,North East-East-North,North-North,North-North,West-North,North-North,West-North,
1,00:00-00:15,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,259.850000,0.630000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.240000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1511.08

2,00:15-00:30,21.240000,42.490000,0.000000,79.130000,84.520000,3.860000,188.370000,0.630000,36.450000,193.200000,81.820000,0.000000,0.000000,0.000000,188.370000,0.000000,0.240000,0.000000,22.220000,0.000000,84.990000,0,48.300000,23.120000,63.030000,62.790000,6.760000,0.000000,2.020000,98.530000,24.150000,24.150000,0.000000,0.000000,24.150000,35.070000,0.000000,1439.6
