Block,Time,DHAULIGNGA,ANTA_GF,PARBATI3,SINGRAULI,CHAMERA3,UNCHAHAR3,TANAKPUR,ANTA_CRF,TANDA2,RIHAND2,DADRI_RF,UNCHAHAR4,DADRI_GF,ANTA_LF,CHAMERA1,RIHAND3,RAPPC,DADRT2,RAMPUR,KOTESHWR,UNCHAHAR2,AURY_LF,AURY_GF,URI,RIHAND1,KOLDAM,KISHANGANGA,DADRI_CRF,RAPPB,TEHRI,SINGRAULI_HYDRO,ANTA_RF,DADRI_LF,URI2,UNCHAHAR1,BSIUL,AURY_RF,AURY_CRF,SALAL,JHAJJAR,CHAMERA2,SEWA2,NAPP,NJPC,DULHASTI,TALA,SASAN,KHSTPP-I,KHSTPP-II,KUDGI,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,35.325627,0.000000,15.361928,132.501150,28.397762,22.175409,6.183387,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,41.183964,119.386794,49.003704,655.864860,0.000000,5.711306,40.923403,0.000000,0.000000,45.829469,88.816800,0.000000,0.000000,0.000000,0.000000,38.924928,0.978809,0.000000,0.000000,31.687208,17.324696,12.654077,0.000000,0.000000,77.964739,630.551107,38.143070,10.192075,37.530118,147.648759,47.726051,25.544484,330.166800,30.471886,142.411584,53.10,11.140233,17.512453,0,0,0,0,0

2,00:15-00:30,35.325627,0.000000,15.361928,132.501150,28.397762,19.591441,6.183387,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,41.183964,119.386794,49.003704,655.864860,0.000000,5.711306,40.923403,0.000000,0.000000,45.829469,88.816800,0.000000,0.000000,0.000000,0.000000,38.924928,0.978809,0.000000,0.000000,31.687208,15.689874,12.654077,0.000000,0.000000,77.964739,630.551107,38.143070,10.192075,37.530118,147.648759,47.726051,25.544484,330.166800,30.471886,142.411584,53.10,11.140233,17.512453,0,0,0,0,0

3,00:30-00:45,35.325627,0.000000,15.361928,132.501150,28.397762,19.591441,6.183387,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,41.183964,119.386794,49.003704,655.864860,0.000000,5.711306,40.923403,0.000000,0.000000,45.829469,88.816800,0.000000,0.000000,0.000000,0.000000,29.193696,0.978809,0.000000,0.000000,31.687208,15.689874,12.654077,0.000000,0.000000,77.964739,630.551107,38.143070,10.192075,37.530118,147.648759,47.726051,25.544484,330.166800,30.471886,142.411584,48.27,11.140233,17.512453,0,0,0,0,0

4,00:45-01:00,35.325627,0.000000,15.361928,132.501150,28.397762,19.591441,6.183387,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,41.183964,119.386794,49.003704,655.864860,0.000000,5.711306,40.923403,0.000000,0.000000,45.829469,88.816800,0.000000,0.000000,0.000000,0.000000,19.462464,0.978809,0.000000,0.000000,31.687208,15.689874,12.654077,0.000000,0.000000,77.964739,630.551107,38.143070,10.192075,37.530118,147.648759,47.726051,25.544484,330.166800,30.471886,142.411584,48.27,11.140233,17.512453,0,0,0,0,0

5,01:00-01:15,35.325627,0.000000,15.361928,132.501150,28.397762,16.016469,6.430722,0.000000,0.000000,114.037875,0.000000,0.000000,0.000000,0.000000,41.183964,119.386794,49.003704,540.624000,0.000000,5.711306,40.923403,0.000000,0.000000,45.829469,88.816800,0.000000,0.000000,0.000000,0.000000,19.462464,0.978809,0.000000,0.000000,31.687208,12.579162,12.654077,0.000000,0.000000,77.964739,630.551107,38.143070,10.192075,37.530118,147.648759,47.726051,25.544484,330.166800,30.471886,142.411584,43.44,11.140233,17.512453,0,0,0,0,0

