Time,Block,NR/2023/12661/A,NR/2023/11709/A,NR/2023/10651/A,NR/2023/10436/A,NR/2023/11266/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/10947/A,NR/2023/11953/A,NR/2023/10956/A,NR/2023/12924/F,NR/2023/12919/F,NR/2023/10488/A,NR/2023/10705/A,NR/2023/10432/A,NR/2023/10959/A,NR/2023/12706/A,NR/2023/13731/D,NR/2023/13369/F,NR/2023/13733/D,ER/2023/8468/C,NR/2023/13755/C,NR/2023/12917/F,NR/2023/12923/F,NR/2023/12915/F,NR/2023/13732/D,NR/2023/13315/F,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12872/F,NR/2023/12920/F,NR/2023/11507/A,NR/2023/12922/F,NR/2023/13053/F/II,NR/2023/12921/F,NR/2023/10650/A,NR/2023/13754/C,NR/2023/10786/A,NR/2023/11712/A,NR/2023/13749/C,NR/2023/12916/F,NR/2023/10435/A,NR/2023/13741/D,NR/2023/13739/D,NR/2023/13730/D,WR/2023/16349/C,Total
,,NVVNL,MANIKARAN,KEIPL,APPCPL,TPTCL,KEIPL,MANIKARAN,GMRETL,GMRETL,APPCPL,KEIPL,NVVNL,SHPPBPL,SHPPBPL,TPTCL,KEIPL,TPTCL,NVVNL,HPXL,KEIPL,SJVNL,NVVNL,HPXL,PXIL,SHPPBPL,SHPPBPL,SHPPBPL,NVVNL,IEXL,MANIKARAN,APPCPL,ITCLH,SHPPBPL,TPTCL,SHPPBPL,GMRETL,SHPPBPL,KEIPL,GBHHPL,STATKRAFT,MANIKARAN,TPDDL,SHPPBPL,NVVNL,TS1PL_BKN,TS1PL_BKN,NVVNL,IEXL,Total

,,NA,TAMIL NADU,MEGHALAYA,MEGHALAYA,NA,TAMIL NADU,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,KERALA,ODISHA,NA,MAHARASHTRA,UTTAR PRADESH,WEST BENGAL,NA,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,KERALA,HIMACHAL PRADESH,TAMIL NADU,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,DELHI,
,,SKS Raigarh,TANGEDCO,Meghalaya_Ben,Meghalaya_Ben,KWHEP,TANGEDCO,HP,GMR WARORA,Meghalaya_Ben,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SHPPBPL,SHPPBPL,APNRL,KSEB,NBVLIPP,KAMENG,B_S_ISPAT_MH,LAPL-UP,IPCL_WB,SORANG_HEP,BYPL,BYPL,SHPPBPL,SHPPBPL,SHPPBPL,KAMENG,SAPU1234,HP,HP,ITCWIND,SHPPBPL,JPL,SHPPBPL,GMR WARORA,SHPPBPL,KSEB,GBHHPL,TANGEDCO,TANGEDCO,CHANJUII,SHPPBPL,SEIL,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,
,,NDMC,BRPL,BYPL,BYPL,BRPL,BYPL,BRPL,TPDDL,BYPL,BYPL,BYPL,BRPL,UHL,AISHER,TPDDL,BRPL,TPDDL,BRPL,NDMC,BYPL,NDMC,TPDDL,VL-CPP 1215,ASIL_UP,BAL234,MHIL,BAL184,TPDDL,MES (Delhi),BRPL,BRPL,ITCLH,BMDRC,BRPL,JHPL-DL,TPDDL,MAX-HPTL,BYPL,DIAPL,BYPL,BRPL,TPDDL,BAL224,TPDDL,BRPL,BYPL,MES (Delhi),TPL DIS AHM,
,,West-North,South-West-North,North East-East-North,North East-East-North,North-North,South-West-North,North-North,West-East-North,North East-East-North,North-North,North East-East-North,West-North,North-North,North-North,East-North,South-West-North,East-North,North East-East-North,West-North,North-North,East-North,North-North,North-East,North-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,West-North,North-North,West-North,North-North,South-West-North,North-North,South-West-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-East-West,
1,00:00-00:15,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,100.000000,1783.16

2,00:15-00:30,33.870000,23.170000,63.140000,24.190000,63.600000,23.710000,85.640000,0.000000,23.220000,23.220000,36.510000,85.130000,0.610000,0.820000,48.380000,232.350000,43.550000,21.270000,6.770000,0.000000,0.000000,0.000000,0.000000,0.000000,0.920000,0.610000,0.370000,114.010000,4.840000,62.900000,54.190000,0.480000,0.930000,255.390000,1.020000,24.190000,0.930000,83.220000,34.650000,98.710000,64.350000,17.590000,0.520000,24.190000,0,0,0,85.000000,1768.16
