Block,Time Block,KOTESHWR,KOLDAM,NLCTS2EXP,PARBATI2,RIHAND1,RAPPB,RAPPD,RAMPUR,NLCIIST1,NNTPP,RAPPC,NLCIIST2,NTPL,PARBATI3,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU3AND4,KHSTPP-II,KKNP,KKNPPU2,JHAJJAR,KHSTPP-I,KISHANGANGA,KGSU1AND2,CHAMERA2,CHAMERA1,BSIUL,CHAMERA3,DADRT2,BRBCL,URI2,UNCHAHAR3,TEHRI,TelanganaSTPP,ANTA_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,SASAN,TALA,SIMHST1,RSTPSU1TO6,TANDA2,RSTPSU7,SALAL,SEWA2,SINGRAULI_HYDRO,RIHAND3,SIMHST2,TALST2,TANAKPUR,SINGRAULI,RIHAND2,NAPP,NLCEXP,KUDGI,MAPS,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,509.75,44.16,6.72,0,45.4,40.61,0,32.71,453.47,15.34,36.04,25.73,73.41,0,0,41.58,23.4,20.46,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,1.37,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

2,00:15-00:30,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,440.08,44.16,6.72,0,45.4,40.61,0,32.71,421.85,13.86,36.04,25.73,73.41,0,0,41.58,23.4,20.46,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,1.37,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

3,00:30-00:45,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,370.22,44.16,6.72,0,45.4,40.61,0,32.71,367.04,12.44,36.04,25.73,73.41,0,0,41.58,23.4,20.46,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,1.37,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

4,00:45-01:00,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,300.11,44.16,6.72,0,45.4,40.61,0,32.71,314.06,12.51,36.04,25.73,73.41,0,0,41.58,23.4,20.46,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,1.37,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

5,01:00-01:15,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,262.67,44.16,6.72,0,45.4,40.61,0,32.71,286.3,12.88,36.04,25.73,73.41,0,0,41.58,27.66,20.46,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,2.51,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

6,01:15-01:30,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,254.96,44.16,6.72,0,45.4,40.61,0,32.71,274.74,13.66,36.04,25.73,73.41,0,0,41.58,27.66,20.46,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,2.51,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

7,01:30-01:45,39.1,8.32,0,47.47,46.33,0,32.47,0,0,0,63.04,0,0,0,40.91,18.75,36.92,0,95.26,0,0,240.51,44.16,6.72,0,45.4,40.61,0,32.71,274.74,10.99,27.04,25.73,73.41,0,0,41.58,27.66,20.46,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,403.48,24.13,0,0,2.51,0,0,8.95,0,126.06,0,0,12.63,109.6,120.7,23.35,0,0,0,0,0,0,0,0,0

