Column1,Block,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/16/5917,NR/30092023/26122029/SH-06,NR/2025/32697/C,NR/2025/29352/A/93109,NR/2025/31870/A/92992,NR/2025/30101/A/93402,NR/2025/30067/A/93381,NR/2025/32683/C,NR/2025/32657/C,NR/2025/29440/A/92875,NR/2025/27975/A/93362,NR/2025/29353/A/93110,NR/2025/27973/A/93361,NR/2025/28728/A/93360,NR/2025/30082/A/93393,NR/2025/30083/A/93301,NR/2025/27965/A/93363,NR/2025/30217/A/93296,NR/2025/27966/A/93364,NR/2025/32676/C,NR/2025/29915/A/92933,NR/2025/27978/A/93406,NR/2025/32663/C,NR/30092023/31122025/SH-07,NR/2025/32573/C,NR/2025/30121/A/92871,NR/2025/29167/A/92934,NR/2025/29628/A/93307,NR/2025/32570/C,NR/2025/32634/C,NR/2025/31780/A/93046,NR/2025/32648/C,NR/2025/32656/C,NR/2025/29439/A/93005,NR/2025/30191/A/92868,NR/2025/32674/C,NR/2025/32605/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/07/01/8139,NR/2025/32688/C,NR/2025/30086/A/93299,NR/2025/29992/A/93001,NR/2025/32690/C,NR/2025/30084/A/93300,NR/2025/29910/A/93305,NR/2025/32692/C,NR/2025/32694/C,NR/2025/30105/A/93297,NR/2025/32684/C,NR/2025/32685/C,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2786,NR/2025/31138/A/93337,NR/2025/31347/A/92867,NR/2025/31137/A/93336,NR/2025/29985/A/93047,NR/2025/31138/A/93338,NR/2025/31137/A/93335,NR/2025/31136/A/93334,NR/2025/31420/A/93344,NR/2025/31136/A/93333,NR/2025/31419/A/93345,Total
,,PTC,PowerPulse,PUNJAB,MES_Delhi,PTC,DIAPL,NVVNL,MANIKARAN,NVVNL,PowerPulse,ITCLH,PowerPulse,PTC,PowerPulse,PowerPulse,HPXL,APPCPL,PowerPulse,APPCPL,PowerPulse,APPCPL,TPTCL,NVVNL,ITCLH,BAWANA_GAS,IEXL,IEXL,TPTCL,APPCPL,IEXL,HPXL,BRPL,PowerPulse,PowerPulse,IVPL_Trader,IEXL,APPCPL,BYPL,SECI_Trader,PowerPulse,NVVNL,APPCPL,BYPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,MANIKARAN,PowerPulse,PowerPulse,DELHI,NDMC,OIDLWM3_AEROCITY,IEXL,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,GMRETL,ABLWM1_AEROCITY,GMRETL,
,,NA,NA,DELHI_UT,NA,GoHP_Chamera1_STATE,HIMACHAL_STATE,MP_State,NA,MP_State,NA,ANDHRA_PRADESH_STATE,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,NA,NA,NA,KERALA_State,UTTARPRADESH_STATE,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,TAMILNADU_State,MSEB_State,MSEB_State,TAMILNADU_State,NA,NA,NA,NA,MSEB_State,NA,MSEB_State,KERALA_State,NA,NA,NA,NA,KERALA_State,NA,NA,KERALA_State,NA,NA,NA,NA,NA,GOA_State,GOA_State,MSEB_State,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,MEENAKSHI,APL_Raipur_TPP,BAWANA_GAS,NTPCREL_PSS2_KPS2_S,GoHP_Chamera1,GBHHPL,JP_BINA,MBMP,JP_BINA,MAHAN_ENERGEN,ITCWIND,APL_Raigarh_TPP,GoHP_NJPC,APL_Raigarh_TPP,APL_Raipur_TPP,SKS_Raigarh,SKS_Raigarh,MAHAN_ENERGEN,TRN_ENERGY,MAHAN_ENERGEN,KSEB,PPGCL,JPNIGRIE_JNSTPP,ITCWIND,BAWANA_GAS,IND_BHARAT,PCBLTNLTD_UNIT2,TPC_MSEB,AEML,PCBLTNLTD_UNIT2,SKS_Raigarh,DADRT2,APL_Raipur_TPP,APL_Raigarh_TPP,TPC_MSEB,IND_BHARAT,AEML,KSEB,APSEPL_FTG,APL_Raipur_TPP,Kameng,RKM_POWER,KSEB,JIPL,RKM_POWER,KSEB,TRN_ENERGY,RKM_POWER,JIPL,SKS_Raigarh,RKM_POWER,GOA_Beneficiary,GOA_Beneficiary,AEML,APL_Raigarh_TPP,MAHAN_ENERGEN,CHANJUII,JPL2,TESPL_BKN2,TPSL_BKN2,TCSPL_BKN2,TS1PL_BKN,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,JNEPL_BKN2,TESPL_BKN2,JNEPL_BKN2,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,PUNJAB,MES_Delhi,BRPL,DIAPL,TPDDL,BRPL,TPDDL,TPDDL,ITCLH,TPDDL,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,NDMC,TPDDL,BYPL,BRPL,TPDDL,ITCLH,HARYANA,BRPL,MES_Delhi,BYPL,BYPL,MES_Delhi,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BYPL,BYPL,TPDDL,BRPL,TPDDL,NDMC,BYPL,NDMC,NDMC,BYPL,NDMC,NDMC,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,OIDLWM3_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,BRPL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,BLKMH,ABLWM1_AEROCITY,DTCP,
,,South-East-North,West-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,East-North,South-West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,West-North,West-North,East-North,West-North,South-West-North,North-North,West-North,North East-East-North,West-North,South-West-North,East-North,West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,49.15,81.92,32,0,28.67,12.53,48.19,204.81,0,0,0.92,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,0,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1961.5399999999997

2,00:15-00:30,49.15,81.92,32,0,28.67,12.53,48.19,204.81,0,0,0.92,0,81.92,96.38,81.92,48.19,8.76,96.38,7.71,0,0,20.48,0,0,0,0,6.75,54.21,106.02,0,0,96.38,0,0,25.44,48.19,0,0,0,0,192.76,26.28,44.33,0,26.28,19.28,0,0,17.52,0,0,15.28,19.28,20.79,135.17,163.85,0,43.8,0,0,0,0,0,0,0,0,0,0,1961.5399999999997

