Block,Time,LT_MEJA_Delhi,L_NR_2020_02,LT-35,L_NR_2012_04,SH-07,LT-05,L_NR_2018_61,LT-59,L_NR_2019_11,SH-06,L_NR_2022_10,L_NR_2019_05,L_NR_2019_19,LT-36,L_NR_2012_07,L_NR_2023_04,L_NR_2012_01,L_NR_2012_02,L_NR_2020_05,L_NR_2020_06,L_NR_2019_06,LT-31,L_NR_2021_16,L_NR_2022_08,L_NR_2022_09,L_NR_2020_07,L_NR_2021_14,L_NR_2021_12,L_NR_2021_15,L_NR_2019_07,L_NR_2021_17,L_NR_2021_13
1,00:00-00:15,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.12,5.440000,5.540000,0.000000,67.54,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.81,37.6,0,0.000000,0,7.21,67.54,37.6,0,0,0,0,0,0

2,00:15-00:30,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.14,5.440000,5.540000,0.000000,68.21,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.49,37.49,0,0.000000,0,7.44,68.21,37.5,0,0,0,0,0,0

3,00:30-00:45,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.07,5.440000,5.540000,0.000000,71.94,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.62,37.54,0,0.000000,0,9.09,71.94,37.55,0,0,0,0,0,0

4,00:45-01:00,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.07,5.440000,5.540000,0.000000,71.83,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.76,37.59,0,0.000000,0,9.13,71.83,37.58,0,0,0,0,0,0

5,01:00-01:15,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.1,5.440000,5.540000,0.000000,71.74,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.88,37.62,0,0.000000,0,9.14,71.74,37.63,0,0,0,0,0,0

6,01:15-01:30,2.980000,6.040000,0.000000,271.910000,0.000000,94.840000,7.07,5.440000,5.540000,0.000000,71.89,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.75,37.58,0,0.000000,0,9.23,71.89,37.58,0,0,0,0,0,0

7,01:30-01:45,2.980000,6.040000,0.000000,271.910000,0.000000,66.390000,7.1,5.440000,5.540000,0.000000,71.89,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.71,37.57,0,0.000000,0,12.44,71.89,37.57,0,0,0,0,0,0

8,01:45-02:00,2.980000,6.040000,0.000000,271.910000,0.000000,66.390000,9.43,5.440000,5.540000,0.000000,71.96,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,112.86,37.62,0,0.000000,0,12.38,71.96,37.62,0,0,0,0,0,0

9,02:00-02:15,2.980000,5.910000,0.000000,271.910000,0.000000,66.390000,9.13,5.440000,5.540000,0.000000,71.88,0,0.000000,0.000000,87.210000,0.000000,101.270000,261.620000,117.85,39.28,0,0.000000,0,12.36,71.88,39.29,0,0,0,0,0,0

10,02:15-02:30,2.980000,5.910000,0.000000,271.910000,0.000000,66.390000,8.84,5.440000,5.540000,0.000000,71.8,0,0.000000,0.000000,45.350000,0.000000,101.270000,220.340000,117.71,39.24,0,0.000000,0,12.41,71.8,39.22,0,0,0,0,0,0

11,02:30-02:45,2.980000,5.910000,0.000000,271.910000,0.000000,94.840000,8.5,5.440000,5.540000,0.000000,71.89,0,0.000000,0.000000,63.400000,0.000000,101.270000,230.460000,117.72,39.24,0,0.000000,0,12.45,71.89,39.24,0,0,0,0,0,0

12,02:45-03:00,2.980000,5.910000,0.000000,271.910000,0.000000,66.390000,8.22,5.440000,5.540000,0.000000,71.76,0,0.000000,0.000000,45.350000,0.000000,101.270000,158.250000,117.86,39.29,0,0.000000,0,15.08,71.76,39.29,0,0,0,0,0,0

