Block,Time Block,BSIUL,CHAMERA1,CHAMERA3,CHAMERA2,BRBCL,JHAJJAR,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,TALST2,TANAKPUR,TALA,TANDA2,ANTA_CRF,ANTA_RF,AURY_RF,DADRI_RF,URI,ANTA_LF,DADRI_CRF,AURY_GF,DADRI_GF,DADRI_LF,VALLURNTECL,ANTA_GF,AURY_CRF,AURY_LF,URI2,TEHRIPSP,UNCHAHAR4,TEHRI,TelanganaSTPP,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,PARBATI3,PARBATI2,RIHAND2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,RAPPD,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RAMPUR,RAPPC,NLCIIST1,NLCIIST2,NLCTS2EXP,MAPS,NNTPP,NJPC,NLCEXP,NTPL,NAPP,KHSTPP-I,KOLDAM,KISHANGANGA,KOTESHWR,KHSTPP-II,KUDGI,KKNP,KKNPPU2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.85,40.61,32.71,45.4,15.32,459.83,0,0,40.91,19.41,36.92,395.8,0,12.63,23.68,2.51,0,0,0,0,50.45,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,318.86,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

2,00:15-00:30,18.85,40.61,32.71,45.4,14.31,430.3,0,0,40.91,19.41,36.92,374.95,0,12.63,23.68,2.51,0,0,0,0,50.45,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

3,00:30-00:45,18.85,40.61,32.71,45.4,14.33,430.32,0,0,40.91,19.41,36.92,379.02,0,12.63,23.68,2.51,0,0,0,0,50.45,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

4,00:45-01:00,18.85,40.61,32.71,45.4,13.04,430.32,0,0,40.91,19.41,36.92,379.02,0,12.63,23.68,2.51,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

5,01:00-01:15,18.85,40.61,32.71,45.4,12.79,449.7,0,0,40.91,19.41,36.92,344.34,0,12.63,24.11,2.51,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

6,01:15-01:30,18.85,40.61,32.71,45.4,13.79,449.7,0,0,40.91,19.41,36.92,283.64,0,12.63,24.11,2.51,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,36.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,6.72,43.43,47.63,0,0,0,0,0,0,0,0

7,01:30-01:45,18.85,40.61,32.71,45.4,13.32,449.7,0,0,40.91,19.41,36.92,235.46,0,12.63,24.11,2.51,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,24.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,4.48,43.43,47.63,0,0,0,0,0,0,0,0

8,01:45-02:00,18.85,40.61,32.71,45.4,12.31,449.7,0,0,40.91,19.41,36.92,211.37,0,12.63,24.11,2.51,0,0,0,0,29.78,0,0,0,0,0,0,0,0,0,24.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,4.48,43.43,47.63,0,0,0,0,0,0,0,0

9,02:00-02:15,18.85,40.61,32.71,45.4,11.81,449.7,0,0,40.91,19.41,36.92,187.29,0,10.66,24.11,2.51,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,24.04,185.54,1.46,73.41,0,41.58,25.73,20.46,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,4.48,43.43,47.63,0,0,0,0,0,0,0,0

10,02:15-02:30,18.85,40.61,32.71,45.4,12.51,440.24,0,0,40.91,14.74,36.92,172.83,0,10.66,24.11,2.51,0,0,0,0,27.66,0,0,0,0,0,0,0,0,0,24.04,185.54,0.8,73.41,0,32.78,19.89,16.08,55.15,47.47,120.7,319.77,45.56,0,0,0,0,32.47,0,0,81.73,17.67,108.68,126.06,5.47,63.04,0,0,0,0,0,169.38,0,0,23.47,43.87,8.32,4.48,43.43,47.63,0,0,0,0,0,0,0,0

