Block,Time,ANTA_CRF,ANTA_LF,SALAL,RAMPUR,NJPC,UNCHAHAR4,DADRT2,TEHRI,KOTESHWR,AURY_LF,DADRI_LF,UNCHAHAR3,AURY_RF,RAPPC,CHAMERA1,ANTA_RF,UNCHAHAR1,TANDA2,UNCHAHAR2,AURY_GF,URI,RIHAND1,DADRI_RF,DADRI_GF,PARBATI3,RAPPB,KOLDAM,DHAULIGNGA,RIHAND3,TANAKPUR,DADRI_CRF,KISHANGANGA,RIHAND2,CHAMERA3,SINGRAULI_HYDRO,AURY_CRF,CHAMERA2,ANTA_GF,NAPP,SEWA2,BSIUL,SINGRAULI,URI2,DULHASTI,JHAJJAR,SASAN,KHSTPP-I,FSTPP I & II,BRBCL,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,72.946874,6.514819,173.807738,1.651518,661.506553,0.000000,0.000000,0.000000,0.000000,26.064817,22.024296,65.341319,40.706616,33.745937,21.447327,5.174842,41.634382,0.000000,31.987296,91.181371,44.882747,0.000000,16.209231,0.000000,8.957605,42.047201,122.948754,1.113471,0.000000,8.055401,117.279219,33.640024,1.108590,0.000000,46.841134,0.000000,47.305891,12.105090,12.595577,137.664846,36.594663,57.151604,368.270260,399.811019,42.794598,20.088640,19.315955,0.000000,142.746785,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,72.946874,6.514819,173.807738,1.651518,661.506553,0.000000,0.000000,0.000000,0.000000,26.064817,38.754684,65.341319,40.706616,47.206650,21.447327,5.174842,41.634382,0.000000,31.987296,91.181371,72.254408,0.000000,16.209231,0.000000,8.957605,42.047201,122.948754,1.113471,0.000000,8.055401,117.279219,33.640024,1.108590,0.000000,46.841134,0.000000,47.305891,12.105090,12.595577,137.664973,36.594663,57.151604,368.270260,399.841200,42.794598,20.088640,19.315955,0.000000,142.746785,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,72.946874,6.514819,173.807738,1.651518,661.506553,0.000000,0.000000,0.000000,0.000000,26.064817,38.754684,65.341319,40.706616,47.206650,21.447327,5.174842,41.634382,0.000000,31.987296,91.181371,73.832251,0.000000,16.209231,0.000000,8.957605,42.047201,122.948754,1.113471,0.000000,8.055401,117.279219,33.640024,1.108590,0.000000,46.841134,0.000000,47.305891,12.105090,12.595577,132.709226,36.594663,57.151604,371.833000,399.841200,42.794598,20.088640,19.285902,0.000000,142.746785,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,72.946874,6.514819,173.807738,1.651518,661.506553,0.000000,0.000000,0.000000,0.000000,26.064817,38.754684,65.341319,40.706616,47.206650,21.447327,5.174842,41.634382,0.000000,31.987296,91.181371,73.832251,0.000000,16.209231,0.000000,8.957605,42.047201,122.948754,1.113471,0.000000,8.055401,117.279219,33.640024,1.108590,0.000000,46.841134,0.000000,47.305891,12.105090,12.595577,132.709226,36.594663,57.151604,371.833000,399.841200,42.794598,20.088640,18.056374,0.000000,142.746785,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,72.946874,6.514819,173.807738,1.651518,661.506553,0.000000,0.000000,0.000000,0.000000,26.064817,7.054847,65.341319,40.706616,27.890650,21.447327,5.174842,41.634382,0.000000,31.987296,91.181371,53.550451,0.000000,16.209231,0.000000,8.957605,42.047201,122.948754,1.113471,0.000000,8.055401,117.279219,33.640024,1.108590,0.000000,46.841134,0.000000,47.305891,12.105090,12.595577,132.709226,36.594663,57.151604,371.833000,399.841200,42.794598,20.088640,16.038120,0.000000,142.746785,0,0,0,0,0

