Block,Time,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/30062024/1000011034-ACBL-BRPL,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/IEPL01,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/14082046/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),SR/01102023/07102043/L_NR_2018_61,NR/01102023/25072045/L_NR_2021_15,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01062024/15062024/1000011005-GOHP-BRPL,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/30062024/R2,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/19072037/LT-05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/01042024/31072024/LT_MEJA_DELHI
1,00:00-00:15,0.000000,0.000000,48.290000,24.140000,84.5,0.000000,38.630000,0.000000,29.040000,100.620000,15.490000,0,30.280000,9.01,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,28.16,22.66,24.140000,24.140000,24.140000,115.470000,61,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,61,0,0,87.120000,0.000000,9.320000,0,0,28.17,0.000000

2,00:15-00:30,0.000000,0.000000,48.290000,24.140000,83.5,0.000000,38.630000,0.000000,29.040000,100.620000,15.490000,0,30.280000,8.61,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.84,22.66,24.140000,24.140000,24.140000,115.470000,61.33,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,61.33,0,0,87.120000,0.000000,9.320000,0,0,27.83,0.000000

3,00:30-00:45,0.000000,0.000000,48.290000,24.140000,83,0.000000,38.630000,0.000000,29.040000,100.620000,15.490000,0,30.280000,8.41,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.66,22.66,24.140000,24.140000,24.140000,115.470000,62.33,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,62.33,0,0,87.120000,0.000000,8.160000,0,0,27.67,0.000000

4,00:45-01:00,0.000000,0.000000,48.290000,24.140000,83,0.000000,38.630000,0.000000,29.040000,100.620000,15.490000,0,30.280000,8.01,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.66,22.66,24.140000,24.140000,24.140000,115.470000,63,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,63,0,0,87.120000,0.000000,8.160000,0,0,27.67,0.000000

5,01:00-01:15,0.000000,0.000000,48.290000,24.140000,82.5,0.000000,38.630000,0.000000,29.040000,100.620000,15.310000,0,30.280000,7.61,0,24.140000,0,262.210000,48.290000,38.630000,48.290000,27.5,22.66,24.140000,24.140000,24.140000,115.470000,63.67,0,30.910000,9.070000,24.140000,0,0,0,0,0,30.910000,8.350000,273.080000,0,63.67,0,0,87.120000,0.000000,7.770000,0,0,27.5,0.000000

