Column1,Time,GNA/NR/2025/06/01/9719,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/16/6051,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/04/01/8456,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/26/5163,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/9257,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,GNA/NR/2025/06/01/7762,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/5280,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/2868,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,20.54,0,0,30,10.63,3.96,87.17,19.33,10.6,0,5.81,0,115.92,100.68,0,29.26,23.64,20.54,39.62,0,7,0,0,0,0,7,7,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

2,00:15-00:30,20.54,0,0,30,10.63,3.96,87.17,19.33,10.6,0,5.81,0,115.92,100.68,0,29.26,23.64,20.54,39.62,0,7,0,0,0,0,7,7,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

3,00:30-00:45,20.54,0,0,30,10.63,3.96,87.17,19.33,10.6,0,5.81,0,115.92,100.68,0,29.26,23.64,20.54,39.62,0,7,0,0,0,0,7,7,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

4,00:45-01:00,20.54,0,0,30,10.63,3.96,87.17,19.33,10.6,0,5.81,0,107.4,100.68,0,30.28,23.64,20.54,39.62,0,7,0,0,0,0,7,7,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

5,01:00-01:15,20.54,0,0,26.5,10.63,3.96,87.17,19.33,10.6,0,5.81,0,98.87,100.68,0,30.28,26.5,20.54,39.62,0,7,0,0,0,0,7,2.67,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

6,01:15-01:30,20.54,0,0,26.5,10.63,3.96,87.17,19.33,10.6,0,5.81,0,70.46,100.68,0,30.28,26.5,20.54,39.62,0,7,0,0,0,0,7,2.67,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

7,01:30-01:45,20.54,0,0,26.5,10.63,3.96,68.16,19.33,10.6,0,5.81,0,70.46,100.68,0,30.28,26.5,20.54,41.62,0,7,0,0,0,0,7,2.67,0,21,0,20.54,130.75,273.25,14.61,11.92,7.22,41.07,-0,20.85,15.32,53.39,41.07,11.91,41.07,15.33,29.06,0,0,0,0,0,0,0,0

