Column1,Block,NR/2024/23446/A/40868,GNA/NR/2024/10/01/3642,NR/2024/23383/A/40719,GNA/NR/2024/10/01/9072,NR/2024/23648/A/40752,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/6101,NR/2024/23664/C,NR/2024/23414/A/40725,NR/2024/23384/A/40724,NR/2024/23382/A/40869,NR/2024/23356/A/40754,NR/2024/23668/C,NR/2024/23389/A/40753,GNA/NR/2024/10/01/9582,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,NVVNL,NDMC,ITCLH,NDMC,DIAPL,NDMC,NDMC,TPDDL,IEXL,IEXL,NVVNL,SJVNL,NVVNL,SJVNL,NDMC,PUNJAB,BAWANA_GAS,APPCPL,DELHI,
,,NA,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,NA,NA,KARNATAKA_STATE,KARNATAKA_STATE,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,
,,JITPL,RKM_POWER,ITCWIND,RKM_POWER,GBHHPL,TRN_ENERGY,JPL2,JHAJJAR,NSLSUGAR,NSLSUGAR,JITPL,TPSL_BKN2,SOLAPUR_SOLAR,RSRPL_BKN,SKS_Raigarh,BAWANA_GAS,BAWANA_GAS,BYPL,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,MSEB_State,DELHI_UT,
,,NDMC,NDMC,ITCLH,NDMC,DIAPL,NDMC,NDMC,TPDDL,MES_Delhi,MES_Delhi,NDMC,NDMC,MES_Delhi,NDMC,NDMC,PUNJAB,HARYANA,AEML,TPDDL,
,,East-North,West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,South-West-North,South-West-North,East-North,North-North,West-North,North-North,West-North,North-North,North-North,North-West,North-North,
1,00:00-00:15,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.25

2,00:15-00:30,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.25

3,00:30-00:45,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.25

4,00:45-01:00,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.25

5,01:00-01:15,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.2

6,01:15-01:30,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.2

7,01:30-01:45,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.2

8,01:45-02:00,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,24.8,24.8,192.8,5.79,595.2

9,02:00-02:15,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.79,406.49000000000007

10,02:15-02:30,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.79,406.49000000000007

11,02:30-02:45,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.79,406.49000000000007

12,02:45-03:00,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.79,406.49000000000007

13,03:00-03:15,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

14,03:15-03:30,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

15,03:30-03:45,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

16,03:45-04:00,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

17,04:00-04:15,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

18,04:15-04:30,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

19,04:30-04:45,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

20,04:45-05:00,0,37.24,0.43,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.35999999999996

21,05:00-05:15,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.41

22,05:15-05:30,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.41

23,05:30-05:45,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.41

24,05:45-06:00,0,37.24,0.48,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.41

25,06:00-06:15,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.46

26,06:15-06:30,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,12.42,26.87,26.87,0,5.71,406.46

27,06:30-06:45,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,0,26.87,26.87,0,5.71,394.03999999999996

28,06:45-07:00,0,37.24,0.53,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,0,26.87,26.87,0,5.71,394.03999999999996

29,07:00-07:15,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0,0,0,26.87,26.87,0,5.71,394.09

30,07:15-07:30,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,0.36,0,0,26.87,26.87,0,5.71,394.45

31,07:30-07:45,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,1.01,0,0,26.87,26.87,0,5.71,395.09999999999997

32,07:45-08:00,0,37.24,0.58,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,2.4,0,0,26.87,26.87,0,5.71,396.48999999999995

33,08:00-08:15,0,37.24,0.96,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,3.2,0,0,26.87,26.87,0,5.71,397.66999999999996

34,08:15-08:30,0,37.24,0.96,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,3.33,0,0,26.87,26.87,0,5.71,397.79999999999995

35,08:30-08:45,0,37.24,0.96,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,3.4,0,0,26.87,26.87,0,5.71,397.86999999999995

36,08:45-09:00,0,37.24,0.96,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,0,4.25,0,0,26.87,26.87,0,5.71,398.71999999999997

37,09:00-09:15,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.15,42.42,0,26.87,26.87,0,5.71,452.54999999999995

38,09:15-09:30,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.9,42.42,0,26.87,26.87,0,5.71,453.29999999999995

39,09:30-09:45,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,4.81,42.42,0,26.87,26.87,0,5.71,452.21

40,09:45-10:00,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.11,42.42,0,26.87,26.87,0,5.71,452.51

41,10:00-10:15,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,4.19,42.42,0,26.87,26.87,0,5.61,451.49

42,10:15-10:30,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,3.77,42.42,0,26.87,26.87,0,5.61,451.07

43,10:30-10:45,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,4.51,42.42,0,26.87,26.87,0,5.61,451.81

44,10:45-11:00,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,3.67,42.42,0,26.87,26.87,0,5.61,450.97

45,11:00-11:15,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,4.79,42.42,0,26.87,26.87,0,5.61,452.09000000000003

46,11:15-11:30,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,6.82,42.42,0,26.87,26.87,0,5.61,454.12

47,11:30-11:45,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,6,42.42,0,26.87,26.87,0,5.61,453.3

48,11:45-12:00,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.55,42.42,0,26.87,26.87,0,5.61,452.85

49,12:00-12:15,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.74,42.42,0,26.87,26.87,0,5.52,452.95

50,12:15-12:30,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,6.81,42.42,0,26.87,26.87,0,5.52,454.02

51,12:30-12:45,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,6.12,42.42,0,32,32,0,5.52,463.59

52,12:45-13:00,15.19,37.24,0.87,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.91,42.42,0,32,32,0,5.52,463.38

53,13:00-13:15,15.19,37.24,0.77,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.88,42.42,0,32,32,0,5.52,463.25

54,13:15-13:30,15.19,37.24,0.77,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.69,42.42,0,32,32,0,5.52,463.06

55,13:30-13:45,15.19,37.24,0.77,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,6.57,42.42,0,32,32,0,5.52,463.94

56,13:45-14:00,15.19,37.24,0.77,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.27,42.42,0,32,32,0,5.52,462.64

57,14:00-14:15,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,2.86,42.42,0,32,32,0,5.61,460.4700000000001

58,14:15-14:30,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,8.05,42.42,0,32,32,0,5.61,465.6600000000001

59,14:30-14:45,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.47,42.42,0,26.87,26.87,0,5.61,452.8200000000001

60,14:45-15:00,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.33,42.42,0,26.87,26.87,0,5.61,452.68000000000006

61,15:00-15:15,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.6,42.42,12.42,26.87,26.87,0,5.71,465.4700000000001

62,15:15-15:30,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.74,42.42,12.42,26.87,26.87,0,5.71,465.61000000000007

63,15:30-15:45,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,5.23,42.42,12.42,26.87,26.87,0,5.71,465.1000000000001

64,15:45-16:00,15.19,37.24,0.92,37.24,2.89,12.42,37.24,175.45,6.75,0,9.64,10.6,4.71,42.42,12.42,26.87,26.87,0,5.71,464.58000000000004

65,16:00-16:15,0,37.24,0.77,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,10.6,3.42,42.42,12.42,26.87,26.87,0,5.71,463.14000000000004

66,16:15-16:30,0,37.24,0.77,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,10.6,3.33,42.42,12.42,26.87,26.87,0,5.71,463.05

67,16:30-16:45,0,37.24,0.77,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,10.6,2.58,42.42,12.42,26.87,26.87,0,5.71,462.3

68,16:45-17:00,0,37.24,0.77,37.24,2.89,12.42,37.24,175.45,0,6.75,24.83,10.6,1.77,42.42,12.42,26.87,26.87,0,5.71,461.49

