Time,Block,NR/2024/20248/C,NR/2024/20090/A/18803,NR/2024/20037/A/18984,NR/2024/20031/A/19097,NR/2024/19588/A/18873,NR/2024/20050/A/19058,NR/2024/20263/C,NR/2024/20033/A/19098,NR/2024/20048/A/19059,NR/2024/20144/A/18869,NR/2024/20269/C,NR/2024/20265/C,NR/2024/19355/A/19248,NR/2024/19637/A/18852,NR/2024/19432/A/19102,NR/2024/19779/A/18790,NR/2024/19918/A/19093,NR/2024/20109/A/19247,NR/2024/20040/A/19091,NR/2024/20267/C,NR/2024/20270/C,NR/2024/20034/A/19096,NR/2024/20041/A/19060,NR/2024/20247/C,NR/2024/20246/C,NR/2024/20052/A/18670,NR/2024/19760/A/18989,NR/2024/19475/A/19044,NR/2024/20142/A/18865,NR/2024/19683/A/18820,NR/2024/20141/A/18867,NR/2024/20082/A/19092,NR/2024/19699/A/19100,NR/2024/19966/A/18853,NR/2024/20130/A/18953,Total
,,NVVNL,IEXL,TPTCL,NVVNL,GMRETL,PTC,PXIL,NVVNL,PTC,BAL234,IEXL,HPXL,TPDDL,INSTINCT,NVVNL,ITCLH,APPCPL,TPDDL,APPCPL,HPXL,IEXL,NVVNL,PTC,NVVNL,NVVNL,DIAPL,TPTCL,AEL,BAL224,IEXL,BAL184,APPCPL,NVVNL,BRPL,DTCP,Total

,,NA,MAHARASHTRA,MAHARASHTRA,NA,RAJASTHAN,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,NA,NA,NA,ANDHRA PRADESH,NAGALAND,NA,MANIPUR,NA,HIMACHAL PRADESH,NA,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,SIKKIM,MP,MAHARASHTRA,HIMACHAL PRADESH,
,,SOLAPUR_SOLAR,A_A_Energy_MH_Bio,JPL_DHULE,RKM_POWER,RUVNL,HP,SKS Raigarh,SKS Raigarh,HP,SHPPBPL,ACBIL,Meghalaya_Ben,JPL-2,JPL-2,SEIL,ITCWIND,Nagaland_Ben,JHAJJAR,Manipur_Ben,SINGOLI,HP-GOVT,RKM_POWER,JPL_DHULE,KAMENG,SORANG_HEP,GBHHPL,SIMHAPURI,APL_Raipur TPP,SHPPBPL,NHCPL_HP,SHPPBPL,SIKKIM,JP BINA,IEPLBELA2022,SHPPBPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),MES (Delhi),TPDDL,NDMC,BYPL,BRPL,BRPL,NDMC,BYPL,BAL234,TPDDL,BRPL,TPDDL,BRPL,TPDDL,ITCLH,BYPL,TPDDL,BYPL,BYPL,BRPL,NDMC,BRPL,TPDDL,TPDDL,DIAPL,BRPL,BRPL,BAL224,MES (Delhi),BAL184,BYPL,TPDDL,BRPL,DTCP,
,,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,North-North,North-North,West-North,North East-East-North,West-North,West-North,South-West-North,South-West-North,North East-East-North,North-North,North East-East-North,North-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,South-West-North,West-North,North-North,North-North,North-North,East-North,West-North,West-North,North-North,
1,00:00-00:15,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,237.590000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,38.630000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1809.44

2,00:15-00:30,0,1.930000,72.440000,43.900000,66.820000,162.980000,86.920000,14.630000,54.330000,0.880000,62.780000,228.890000,96.580000,0.000000,24.140000,0.630000,13.520000,241.450000,14.490000,38.630000,144.870000,43.900000,0.000000,111.360000,9.660000,8.690000,0.000000,193.160000,0.520000,1.930000,0.350000,11.590000,48.290000,0.000000,0.480000,1800.74
