Block,Time,ANTA_CRF,SALAL,UNCHAHAR2,KOTESHWR,SINGRAULI_HYDRO,URI,UNCHAHAR3,TANDA2,BSIUL,RAPPB,RIHAND2,RAPPC,AURY_CRF,NJPC,TEHRI,SEWA2,CHAMERA1,ANTA_RF,KOLDAM,UNCHAHAR1,DULHASTI,DADRI_RF,RIHAND3,RIHAND1,CHAMERA2,JHAJJAR,ANTA_LF,UNCHAHAR4,KISHANGANGA,DHAULIGNGA,DADRI_GF,SINGRAULI,TANAKPUR,RAMPUR,DADRI_LF,ANTA_GF,AURY_LF,URI2,NAPP,DADRT2,AURY_GF,PARBATI3,AURY_RF,CHAMERA3,DADRI_CRF,SASAN,KHSTPP-I,FSTPP I & II,TALA,BRBCL,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,1.335277,24.531510,8.497742,0.000000,38.058854,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,2.208034,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,22.202593,8.586895,0.000000,14.364024,121.615200,0,0,0,0,0

2,00:15-00:30,0.000000,1.335277,18.206013,8.497742,0.000000,38.058854,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,2.208034,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,4.586435,0.000000,14.364024,121.615200,0,0,0,0,0

3,00:30-00:45,0.000000,1.335277,10.533600,8.497742,0.000000,4.757357,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,2.208034,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,3.830400,0.000000,14.364024,92.887200,0,0,0,0,0

4,00:45-01:00,0.000000,1.335277,10.533600,8.497742,0.000000,4.757357,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,2.208034,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,3.830400,0.000000,14.364024,99.590400,0,0,0,0,0

5,01:00-01:15,0.000000,12.240043,10.533600,8.497742,0.000000,4.757357,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,7.973456,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,3.830400,0.000000,14.364024,104.378400,0,0,0,0,0

6,01:15-01:30,0.000000,67.876603,10.533600,8.497742,0.000000,4.757357,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,47.340446,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,7.973456,0.000000,0.000000,0.000000,0.000000,23.702209,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,3.830400,0.000000,14.364024,99.590400,0,0,0,0,0

7,01:30-01:45,0.000000,67.876603,10.533600,8.497742,0.567886,4.757357,4.788000,0.000000,0.000000,0.000000,113.116500,52.010320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.872800,15.780149,0.000000,118.422202,80.438400,0.000000,112.039200,0.000000,0.000000,0.000000,0.000000,0.000000,118.143900,7.973456,0.000000,0.000000,0.000000,0.000000,6.440818,0.000000,336.117600,0.000000,0.000000,0.000000,0.000000,0.000000,401.014152,20.381750,3.830400,0.000000,14.364024,99.590400,0,0,0,0,0

