Block,Time,RAPPC,DHAULIGNGA,CHAMERA2,UNCHAHAR1,PARBATI3,JHAJJAR,UNCHAHAR4,CHAMERA1,ANTA_RF,DADRI_CRF,ANTA_LF,DADRI_RF,ANTA_GF,TANDA2,AURY_GF,NAPP,RIHAND1,SALAL,RIHAND3,CHAMERA3,KISHANGANGA,SEWA2,KHSTPP-II,SASAN,FSTPP I & II,TALA,KHSTPP-I,BRBCL,RAPPB,DADRI_LF,TEHRI,KOLDAM,DADRI_GF,AURY_RF,TANAKPUR,AURY_LF,BSIUL,UNCHAHAR3,SINGRAULI,DULHASTI,DADRT2,SINGRAULI_HYDRO,URI,RIHAND2,ANTA_CRF,KOTESHWR,UNCHAHAR2,RAMPUR,NJPC,AURY_CRF,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.010320,0.000000,0.000000,2.872800,0.000000,225.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.268800,2.225462,118.422202,0.000000,0.000000,0.000000,107.501038,401.014152,9.544495,0.000000,21.624903,14.363958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453371,0.000000,0.000000,3.830400,118.143900,0.000000,337.075200,0.567886,4.228762,113.116500,0.000000,0.000000,25.489110,0.000000,0.000000,0.000000,15.973228,0,0,0,0,0

2,00:15-00:30,52.010320,0.000000,0.000000,2.872800,0.000000,225.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.268800,14.465506,118.422202,0.000000,0.000000,0.000000,88.856470,401.014152,9.544495,0.000000,20.381750,14.363958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453371,0.000000,0.000000,3.830400,118.143900,0.000000,337.075200,0.567886,4.228762,113.116500,0.000000,0.000000,25.489110,0.000000,0.000000,0.000000,15.973228,0,0,0,0,0

3,00:30-00:45,52.010320,0.000000,0.000000,2.872800,0.000000,225.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.268800,67.876603,118.422202,0.000000,0.000000,0.000000,88.856470,401.014152,4.788000,0.000000,20.381750,14.363958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453371,0.000000,0.000000,3.830400,118.143900,0.000000,337.075200,0.567886,4.228762,113.116500,0.000000,0.000000,13.406400,0.000000,0.000000,0.000000,15.973228,0,0,0,0,0

4,00:45-01:00,52.010320,0.000000,0.000000,2.872800,0.000000,225.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.268800,67.876603,118.422202,0.000000,0.000000,0.000000,88.856470,401.014152,4.788000,0.000000,20.381750,14.363958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453371,0.000000,0.000000,3.830400,118.143900,0.000000,337.075200,0.567886,4.228762,113.116500,0.000000,0.000000,13.406400,0.000000,0.000000,0.000000,15.973228,0,0,0,0,0

5,01:00-01:15,52.010320,0.000000,0.000000,2.872800,0.000000,225.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84.268800,67.876603,118.422202,0.000000,0.000000,0.000000,88.856470,401.014152,4.788000,0.000000,20.381750,14.363958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.453371,0.000000,0.000000,3.830400,118.143900,0.000000,337.075200,0.567886,4.228762,113.116500,0.000000,0.000000,13.406400,0.000000,0.000000,0.000000,6.440818,0,0,0,0,0

