Block,Time,RIHAND1,TANDA2,RIHAND3,UNCHAHAR4,RAPPC,ANTA_GF,URI,CHAMERA3,DADRI_CRF,CHAMERA2,ANTA_RF,DULHASTI,RIHAND2,JHAJJAR,KOLDAM,KOTESHWR,RAPPB,DHAULIGNGA,URI2,CHAMERA1,BSIUL,DADRI_LF,DADRT2,SINGRAULI_HYDRO,AURY_LF,AURY_GF,PARBATI3,SALAL,SEWA2,DADRI_GF,TANAKPUR,ANTA_CRF,NAPP,AURY_RF,UNCHAHAR1,TALA,FSTPP I & II,SASAN,KUDGI,KHSTPP-I,KHSTPP-II,BRBCL,KISHANGANGA,ANTA_LF,UNCHAHAR2,NJPC,UNCHAHAR3,DADRI_RF,RAMPUR,AURY_CRF,TEHRI,SINGRAULI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,1.762995,8.170728,0.000000,18.524972,33.462286,40.786697,6.342112,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,11.156613,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,62.90,42.288877,141.988395,14.914937,1.409267,0.000000,41.659485,118.414019,14.205936,21.289400,1.346616,0.000000,25.034071,123.412147,0,0,0,0,0

2,00:15-00:30,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,1.175330,8.170728,0.000000,18.524972,33.462286,40.786697,6.342112,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,11.156613,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,62.90,42.288877,141.988395,13.487399,1.409267,0.000000,41.659485,118.414019,14.205936,21.289400,1.346616,0.000000,25.034071,127.244397,0,0,0,0,0

3,00:30-00:45,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,1.175330,8.170728,0.000000,18.524972,33.462286,40.786697,6.342112,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,11.156613,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,62.90,42.288877,141.988395,9.842704,1.409267,0.000000,41.659485,94.731215,14.205936,21.289400,1.077294,0.000000,25.034071,108.009778,0,0,0,0,0

4,00:45-01:00,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,1.175330,8.170728,0.000000,18.524972,33.462286,40.786697,6.342112,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,11.156613,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,62.90,42.288877,141.988395,10.325954,1.409267,0.000000,41.659485,71.048411,14.205936,21.289400,0.807970,0.000000,25.034071,108.009778,0,0,0,0,0

5,01:00-01:15,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,0.587665,8.170728,0.000000,18.524972,33.462286,40.786697,12.684225,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,11.156613,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,58.06,42.288877,141.988395,10.744511,1.409267,0.000000,41.659485,71.048411,14.205936,21.289400,0.807970,0.000000,25.034071,108.683004,0,0,0,0,0

6,01:15-01:30,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,0.587665,8.170728,0.000000,18.524972,33.462286,40.786697,12.684225,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,3.718871,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,58.06,42.288877,141.988395,10.640205,1.409267,0.000000,41.659485,71.048411,14.205936,21.289400,0.807970,0.000000,25.034071,108.749572,0,0,0,0,0

7,01:30-01:45,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,0.000000,8.170728,0.000000,18.524972,33.462286,40.786697,12.684225,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,3.718871,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,58.06,42.288877,141.988395,11.114754,1.409267,0.000000,41.659485,71.048411,14.205936,21.289400,0.807970,0.000000,25.034071,108.749572,0,0,0,0,0

8,01:45-02:00,90.305764,1.347745,121.248253,0.783837,53.141608,0.000000,36.323587,29.586066,0.000000,40.512341,0.000000,50.308022,115.727243,636.640056,0.000000,8.170728,0.000000,9.262486,33.462286,40.786697,12.684225,0.000000,666.018571,0.976787,0.000000,0.000000,3.239850,82.198567,16.053045,0.000000,3.718871,0.000000,39.552583,0.000000,20.084614,0.000000,20.060421,405.243729,58.06,42.288877,141.988395,9.058510,1.409267,0.000000,41.659485,71.048411,14.205936,21.289400,0.807970,0.000000,25.034071,108.749572,0,0,0,0,0

