Column1,Time,SR/01102023/07102043/L_NR_2018_61,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/1564,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/9989,GNA/NR/2024/10/01/5097,GNA/NR/2024/10/01/8106,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/4766,GNA/NR/2024/10/01/7496,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/4083,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/2732,GNA/NR/2024/10/01/3642,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19
1,00:00-00:15,7,273.25,31.5,87.17,0,4.46,193.28,0,12.45,31.29,0,28.64,8.03,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.38,32,0,100.68,0,35,0,11.66,0,12.83,0,0,0,0,0,38.5,0,12.84,0,35,0,0

2,00:15-00:30,7,273.25,31.5,87.17,0,4.46,193.28,0,12.45,31.29,0,28.64,8.03,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.38,32,0,100.68,0,34.67,0,11.66,0,12.67,0,0,0,0,0,38,0,12.66,0,34.67,0,0

3,00:30-00:45,7,273.25,31.5,87.17,0,4.46,193.28,0,12.45,31.29,0,28.64,8.03,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.38,31.5,0,100.68,0,34.67,0,11.66,0,12.67,0,0,0,0,0,38,0,12.66,0,34.67,0,0

4,00:45-01:00,7,273.25,31.5,87.17,0,4.46,193.28,0,12.45,31.29,0,28.64,8.03,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.38,31.5,0,100.68,0,35,0,11.66,0,12.33,0,0,0,0,0,37,0,12.34,0,35,0,0

5,01:00-01:15,7,273.25,31.5,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.93,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.23,31.5,0,100.68,0,35.33,0,11.66,0,12,0,0,0,0,0,36,0,12,0,35.33,0,0

6,01:15-01:30,7,273.25,31.5,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.93,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.23,31.5,0,100.68,0,35.67,0,12,0,12,0,0,0,0,0,36,0,12,0,35.67,0,0

7,01:30-01:45,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.93,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.23,32,0,100.68,0,36,0,12,0,11.83,0,0,0,0,0,35.5,0,11.84,0,36,0,0

8,01:45-02:00,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.93,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.23,32,0,100.68,0,36.33,0,12.34,0,12,0,0,0,0,0,36,0,12,0,36.33,0,0

9,02:00-02:15,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.84,54.36,37.33,0,37.33,115.54,37.33,12.45,0,262.38,0,5.67,5.07,1.35,0,100.68,0,36.33,0,12.34,0,12.5,0,0,0,0,0,37.5,0,12.5,0,36.33,0,0

10,02:15-02:30,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.84,54.36,37.33,0,37.33,94.71,37.33,12.45,0,262.38,0,5.67,5.07,1.35,0,100.68,0,36.33,0,12.66,0,12.67,0,0,0,0,0,38,0,12.66,0,36.33,0,0

11,02:30-02:45,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.84,54.36,37.33,0,37.33,86.18,37.33,12.45,0,262.38,0,5.05,5.07,1.35,0,100.68,0,36,0,12.66,0,12.5,0,0,0,0,0,37.5,0,12.5,0,36,0,0

12,02:45-03:00,7,273.25,32,87.17,0,4.32,193.28,0,12.45,31.29,0,28.64,7.84,54.36,37.33,0,37.33,66.3,37.33,12.45,0,262.38,0,5.05,5.07,1.35,0,100.68,0,36.33,0,13,0,12.33,0,0,0,0,0,37,0,12.34,0,36.33,0,0

13,03:00-03:15,7,273.25,16.67,87.17,0,4.14,193.28,0,12.45,31.29,0,28.64,7.75,54.36,37.33,0,37.33,66.3,37.33,12.45,0,262.38,0,5.05,5.07,16.67,0,100.68,0,36.67,0,13,0,12.33,0,0,0,0,0,37,0,12.34,0,36.67,0,0

14,03:15-03:30,7,273.25,16.67,87.17,0,4.14,193.28,0,12.45,31.29,0,28.64,7.75,54.36,37.33,0,37.33,66.3,37.33,12.45,0,262.38,0,5.05,5.07,16.67,0,100.68,0,37,0,13,0,12.33,0,0,0,0,0,37,0,12.34,0,37,0,0

