Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2024/09/24/6792,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/22052037/LT-59,NR/22102023/11042047/L_NR_2021_16,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/24/5398,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/24/2277,NR/01102023/19072037/LT-05,GNA/NR/2024/09/24/4602,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/9821,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,NR/01102023/31052040/LT-31,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,0,13,0,0,15.83,0,0,47.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,0,32.9,273.62,24.19,10.34,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,50,39.02

2,00:15-00:30,0,13,0,0,15.83,0,0,47.5,50.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,0,32.9,273.62,24.19,10.34,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,50.33,38.02

3,00:30-00:45,0,13,0,0,15.83,0,0,47.5,50.67,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.34,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,50.67,37.62

4,00:45-01:00,0,13,0,0,15.83,0,0,47.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.53,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,43.33,37.02

5,01:00-01:15,0,13,0,0,15.83,0,0,47.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.26,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,43.33,40.02

6,01:15-01:30,0,13,0,0,15.83,0,0,47.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.26,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,43.33,40.02

7,01:30-01:45,0,13,0,0,15.83,0,0,47.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.26,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,43.33,40.02

8,01:45-02:00,0,13,0,0,15.83,0,0,47.5,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,193.54,100.81,32,32.9,273.62,24.19,10.26,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,43.33,40.02

9,02:00-02:15,0,13,0,0,15.83,0,0,47.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,32,32.9,273.62,24.19,10.16,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,40,39.42

10,02:15-02:30,0,13,0,0,15.83,0,0,47.5,40.33,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,32,87.29,220.64,31.3,0,0,115.66,0,100.81,32,32.9,273.62,24.19,10.16,96.77,21.77,2.42,0,163.3,8.8,7.96,15.84,40.33,37.62

