Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/22052037/LT-59,L_NR_2019_19,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/1196,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/6209,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/2952,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/1044
1,00:00-00:15,0,0,0,0,0,0,0,7.4,0,15,0,0,0,45,0,23.34,14,15,23.33,0,0,24.13,24.13,14.62,14.62,29.03,0,48.26,19.31,0,15.3,20.83,96.53,-0,48.26,0,100.56,12.69,130.61,8.43,271.49,8.54,26.25,87.07,0,15.06,0,115.83,0,5.92

2,00:15-00:30,0,0,0,0,0,0,0,7.4,0,14.5,0,0,0,43.5,0,23.34,14,14.5,23.33,0,0,24.13,24.13,14.62,14.62,29.03,0,48.26,19.31,0,15.3,20.83,96.53,-0,48.26,0,100.56,12.69,130.61,8.43,271.49,8.54,27.25,87.07,0,15.06,0,115.83,0,5.92

3,00:30-00:45,0,0,0,0,0,0,0,7.4,0,14.33,0,0,0,43.01,0,33.34,14.33,14.33,33.33,0,0,24.13,24.13,14.62,14.62,29.03,0,48.26,19.31,0,15.3,20.83,96.53,-0,48.26,0,100.56,12.69,130.61,8.43,271.49,8.54,27.25,87.07,0,15.06,0,115.83,0,5.92

4,00:45-01:00,0,0,0,0,0,0,0,7.4,0,14.67,0,0,0,43.99,0,34.53,14.67,14.67,34.54,0,0,24.13,24.13,14.62,14.62,29.03,0,48.26,19.31,0,15.3,20.83,96.53,-0,48.26,0,100.56,12.69,130.61,8.43,271.49,8.54,27.25,87.07,0,15.06,0,115.83,0,5.92

5,01:00-01:15,0,0,0,0,0,0,0,3,0,20.5,0,0,0,61.5,0,46.66,30,20.5,46.67,0,0,24.13,24.13,14.62,14.62,29.03,0,48.26,19.31,0,15.3,20.83,96.53,-0,48.26,0,100.56,12.69,130.61,8.43,271.49,8.54,27.25,87.07,0,15.06,0,115.83,0,5.92

